行	型	該当	本文
c416-2	同形異音語（一般）	下	上の鉄筋が下がったぶん、鉄筋から板の下面までの距離が縮む。
c417-1	§6-1の語	押し抜き	押し抜きに耐える力は、この距離の大きさで決まる。
c419-1	同形異音語（一般）	上	この違いは、机の上で出した数字ではない。
c421-1	数詞＋助数詞	25パーセント	柱の帯にあたる部分の鉄筋の、少なくとも25パーセントを、
c421-2	同形異音語（一般）	上	柱の真上に集めること。そう書かれている。
c422-1	同形異音語（一般）	上	押し抜きに効くのは、柱の真上を通っている鉄筋である。
c422-1	§6-1の語	押し抜き	押し抜きに効くのは、柱の真上を通っている鉄筋である。
c424-2	§6-1の語	NIST	そこに残っている上端の鉄筋を、NIST は数えている。
c424-2	英字・記号	NIST	そこに残っている上端の鉄筋を、NIST は数えている。
c425-1	数詞＋助数詞	4本	片方向について、あるべき本数は4本だった。
c425-2	数詞＋助数詞	2本	数えて出てきたのは、2本である。
c426-2	文頭の数字	4	4本のはずが、2本だった
c426-2	数詞＋助数詞	4本	4本のはずが、2本だった
c426-2	数詞＋助数詞	2本	4本のはずが、2本だった
c427-1	同形異音語（一般）	上	柱の真上を通る鉄筋が、半分しかない。
c427-2	§6-1の語	押し抜き	押し抜きに対して、いちばん効くはずの場所の鉄筋である。
c428-1	同形異音語（実績）	方	ただし、NIST の書き方は慎重である。
c428-1	§6-1の語	NIST	ただし、NIST の書き方は慎重である。
c428-1	英字・記号	NIST	ただし、NIST の書き方は慎重である。
c429-1	同形異音語（一般）	物	建物じゅうがそうだった、とまでは書いていない。
c429-2	§6-1の語	プールデッキ	書いてあるのは、プールデッキの床では、指定より少ないのが通例だった、
c431-2	§6-1の語	NIST	運ぶときには警察の護衛が付いた、と NIST は書いている。
c431-2	英字・記号	NIST	運ぶときには警察の護衛が付いた、と NIST は書いている。
c432-2	数詞＋助数詞	2つ	この2つだけが、括弧でくくられている理由である。
c433-1	数詞＋助数詞	3つ	では、残る3つは何か。括弧の外にあるのは、
c433-2	同形異音語（実績）	間	あとから足されていった、重さと、時間である。
c434-1	同形異音語（実績）	間	建物は、この状態のまま、40年間、立っていた。
c434-1	同形異音語（一般）	物	建物は、この状態のまま、40年間、立っていた。
c434-1	数詞＋助数詞	40年	建物は、この状態のまま、40年間、立っていた。
c434-2	同形異音語（実績）	間	では何が、最後の3週間を作ったのか。
c434-2	数詞＋助数詞	3週間	では何が、最後の3週間を作ったのか。
c501-1	数詞＋助数詞	3つ	括弧の外にある3つを、順に見ていく。
c501-2	同形異音語（実績）	間	プランター、盛土と舗装、そして、時間による劣化である。
c503-1	同形異音語（実績）	方	NIST の書き方は、より重く、より広い、というものである。
c503-1	§6-1の語	NIST	NIST の書き方は、より重く、より広い、というものである。
c503-1	英字・記号	NIST	NIST の書き方は、より重く、より広い、というものである。
c503-2	同形異音語（実績）	側	場所は、プールデッキの北側の近く、としている。
c503-2	§6-1の語	プールデッキ	場所は、プールデッキの北側の近く、としている。
c504-1	同形異音語（実績）	側	北側というのは、建物本体に接している側である。
c504-1	同形異音語（実績）	側	北側というのは、建物本体に接している側である。
c504-2	文頭の数字	3	3週間前にプランターが割れていた、あの場所もそこにある。
c504-2	数詞＋助数詞	3週間	3週間前にプランターが割れていた、あの場所もそこにある。
c508-1	同形異音語（一般）	上	屋外の床は、傷んだとき、上から重ねて直されることが多い。
c509-1	同形異音語（一般）	上	ただし、重ねるたびに、床の上に載る重さは増えていく。
c511-1	同形異音語（実績）	間	みっつめが、時間である。
c511-2	§6-1の語	NIST	NIST は、これについては、別の節を立てて扱っている。
c511-2	英字・記号	NIST	NIST は、これについては、別の節を立てて扱っている。
c512-2	同形異音語（実績）	間	長い時間をかけて進む劣化として、いちばん可能性が高いとしている。
c513-2	同形異音語（実績）	側	膨らんだ鉄筋は、周りのコンクリートを、内側から押し広げる。
c515-1	同形異音語（実績）	間	この繰り返しが、どれだけの間、続いていたのか。
c515-2	文頭の数字	2	25年以上、進み続けていた
c515-2	同形異音語（一般）	上	25年以上、進み続けていた
c515-2	数詞＋助数詞	25年	25年以上、進み続けていた
c516-1	数詞＋助数詞	25年	崩落の25年前は、1996年ごろにあたる。
c516-1	数詞＋助数詞	1996年	崩落の25年前は、1996年ごろにあたる。
c516-2	同形異音語（一般）	物	建物が建ってから、15年ほどたったころである。
c516-2	数詞＋助数詞	15年	建物が建ってから、15年ほどたったころである。
c517-1	同形異音語（一般）	物	つまり、この建物が立っていた40年のうち、
c517-1	数詞＋助数詞	40年	つまり、この建物が立っていた40年のうち、
c517-2	同形異音語（実績）	間	後ろの25年は、鉄筋が錆び続けていた期間だったことになる。
c517-2	数詞＋助数詞	25年	後ろの25年は、鉄筋が錆び続けていた期間だったことになる。
c518-1	同形異音語（一般）	上	どうして25年以上と言えるのか。
c518-1	数詞＋助数詞	25年	どうして25年以上と言えるのか。
c518-2	§6-1の語	NIST	NIST は、鉄筋の標本を、数百本の単位で評価している。
c518-2	英字・記号	NIST	NIST は、鉄筋の標本を、数百本の単位で評価している。
c519-2	同形異音語（実績）	方	コア抜き、と呼ばれるやり方である。
c521-2	同形異音語（一般）	物	崩れた建物が、そのままの形で並んでいる。
c523-1	同形異音語（一般）	物	この建物が建っていたのは、大西洋のすぐそばである。
c525-1	同形異音語（実績）	話	ここで、第4章のかぶりの話が戻ってくる。
c525-1	§6-1の語	かぶり	ここで、第4章のかぶりの話が戻ってくる。
c525-2	同形異音語（実績）	間	かぶりが厚ければ、塩が鉄筋に届くまでの時間は長くなる。
c525-2	§6-1の語	かぶり	かぶりが厚ければ、塩が鉄筋に届くまでの時間は長くなる。
c526-1	数詞＋助数詞	2インチ	錆に対しては、2インチのかぶりは、有利に働いていた。
c526-1	§6-1の語	かぶり	錆に対しては、2インチのかぶりは、有利に働いていた。
c526-2	同形異音語（一般）	一	押し抜きに対しては、不利に働いた。同じ一つの数字である。
c526-2	§6-1の語	押し抜き	押し抜きに対しては、不利に働いた。同じ一つの数字である。
c527-1	同形異音語（実績）	間	重さが足され、塩が入り、時間が進み、
c528-1	数詞＋助数詞	2021年	そして2021年6月のはじめ。
c528-1	数詞＋助数詞	6月	そして2021年6月のはじめ。
c528-2	文頭の数字	2	2本の柱のつなぎ目が、とうとう限界を越えた。
c528-2	同形異音語（一般）	目	2本の柱のつなぎ目が、とうとう限界を越えた。
c528-2	数詞＋助数詞	2本	2本の柱のつなぎ目が、とうとう限界を越えた。
c601-2	同形異音語（一般）	下	壊れたのは、プールデッキの下にある、柱2本と床とのつなぎ目だった。
c601-2	同形異音語（一般）	目	壊れたのは、プールデッキの下にある、柱2本と床とのつなぎ目だった。
c601-2	数詞＋助数詞	2本	壊れたのは、プールデッキの下にある、柱2本と床とのつなぎ目だった。
c601-2	§6-1の語	プールデッキ	壊れたのは、プールデッキの下にある、柱2本と床とのつなぎ目だった。
c602-1	同形異音語（一般）	物	プールデッキは、建物の本体ではない。
c602-1	§6-1の語	プールデッキ	プールデッキは、建物の本体ではない。
c602-2	同形異音語（一般）	人	人が住んでいたのは、12階建てのほうである。
c602-2	数詞＋助数詞	12階	人が住んでいたのは、12階建てのほうである。
c603-2	同形異音語（一般）	人	なぜ、人の住んでいる建物を倒すことになるのか。
c603-2	同形異音語（一般）	物	なぜ、人の住んでいる建物を倒すことになるのか。
c604-2	同形異音語（一般）	物	プールデッキは、建物に、そのまま取り付いていた。
c604-2	§6-1の語	プールデッキ	プールデッキは、建物に、そのまま取り付いていた。
c605-1	同形異音語（一般）	物	平らな床の端が、建物の壁と柱に、そのまま続いている。
c605-2	同形異音語（一般）	物	隣り合った別々の建物、という関係ではない。
c606-1	同形異音語（一般）	下	だから、落ちるときも、ただ下に落ちるのではない。
c606-2	同形異音語（実績）	側	つながっている側を、引っぱりながら落ちていく。
c607-1	§6-1の語	NIST	NIST が実物大で作ったのは、まさにこの部分だった。
c607-1	英字・記号	NIST	NIST が実物大で作ったのは、まさにこの部分だった。
c607-2	同形異音語（一般）	物	プールデッキと、建物との、境目である。
c607-2	同形異音語（一般）	目	プールデッキと、建物との、境目である。
c607-2	§6-1の語	プールデッキ	プールデッキと、建物との、境目である。
c608-1	§6-1の語	プールデッキ	試験の名前も、プールデッキと塔の接続部の試験、となっている。
c608-2	同形異音語（実績）	側	落ちる側と、残る側を、両方まとめて作ってある。
c608-2	同形異音語（実績）	側	落ちる側と、残る側を、両方まとめて作ってある。
c608-2	同形異音語（実績）	方	落ちる側と、残る側を、両方まとめて作ってある。
c609-2	数詞＋助数詞	4本	柱が4本、D、E、H、I の記号で並んでいる。
c609-2	英字・記号	D	柱が4本、D、E、H、I の記号で並んでいる。
c609-2	英字・記号	E	柱が4本、D、E、H、I の記号で並んでいる。
c609-2	英字・記号	H	柱が4本、D、E、H、I の記号で並んでいる。
c609-2	英字・記号	I	柱が4本、D、E、H、I の記号で並んでいる。
c610-1	同形異音語（実績）	側	左側の床は、そのまま水平に残っている。
c610-2	英字・記号	E	変わるのは、Eと書かれた柱から、右である。
c611-1	同形異音語（実績）	側	右側の床は、外れて、斜めに下がっている。
c611-1	同形異音語（一般）	下	右側の床は、外れて、斜めに下がっている。
c613-1	同形異音語（実績）	方	その切れ方に、NIST は札を付けている。
c613-1	§6-1の語	NIST	その切れ方に、NIST は札を付けている。
c613-1	英字・記号	NIST	その切れ方に、NIST は札を付けている。
c613-2	同形異音語（実績）	側	指しているのは、板の下側に入っていた鉄筋である。
c614-1	同形異音語（実績）	方	上の鉄筋が切れた、という書き方ではない。
c614-1	同形異音語（一般）	上	上の鉄筋が切れた、という書き方ではない。
c614-2	同形異音語（一般）	下	下端筋が、下から抜けていく
c614-2	§6-1の語	下端筋	下端筋が、下から抜けていく
c617-2	同形異音語（一般）	目	そこが支えていた重さが、隣のつなぎ目に移っていく。
c618-1	同形異音語（一般）	目	移された隣のつなぎ目も、同じ設計、同じ施工である。
c621-1	数詞＋助数詞	2つ	その範囲は、さらに2つに分けられている。
c621-2	同形異音語（実績）	方	ゾーンAと、ゾーンBという呼び方である。
c621-2	英字・記号	A	ゾーンAと、ゾーンBという呼び方である。
c621-2	英字・記号	B	ゾーンAと、ゾーンBという呼び方である。
c622-1	同形異音語（実績）	側	Aは、コンクリートの壁があった側。
c622-1	英字・記号	A	Aは、コンクリートの壁があった側。
c622-2	同形異音語（実績）	側	Bは、床と柱だけでできていた側である。
c622-2	英字・記号	B	Bは、床と柱だけでできていた側である。
c624-1	同形異音語（一般）	目	平面図に引かれた崩落の境目にも、その差が出ている。
c624-2	同形異音語（実績）	側	壁のあった側はまっすぐに切れ、柱だけだった側は、段になって出入りしている。
c624-2	同形異音語（実績）	側	壁のあった側はまっすぐに切れ、柱だけだった側は、段になって出入りしている。
c625-1	§6-1の語	NIST	NIST の第4章の見出しは、
c625-1	英字・記号	NIST	NIST の第4章の見出しは、
c626-1	同形異音語（一般）	目	プールデッキが外れたとき、塔を支えていたつなぎ目が2つ、傷ついた。
c626-1	数詞＋助数詞	2つ	プールデッキが外れたとき、塔を支えていたつなぎ目が2つ、傷ついた。
c626-1	§6-1の語	プールデッキ	プールデッキが外れたとき、塔を支えていたつなぎ目が2つ、傷ついた。
c626-2	同形異音語（実績）	側	破壊はまず中央部を通り、そのあとで、東側へ進んでいる。
c627-1	同形異音語（一般）	目	ひとつのつなぎ目が壊れても、そこで止まる。
c627-2	同形異音語（一般）	物	そういう区切りは、この建物には無かった。
c628-1	同形異音語（一般）	物	残った棟の断面は、刃物で切ったように、まっすぐ立っている。
c629-1	§6-1の語	NIST	ここまでが、NIST の説明する筋書きである。
c629-1	英字・記号	NIST	ここまでが、NIST の説明する筋書きである。
c629-2	数詞＋助数詞	24通り	検討された24通りのうち、最後に残った1つである。
c629-2	数詞＋助数詞	1つ	検討された24通りのうち、最後に残った1つである。
c701-1	§6-1の語	NIST	NIST は、崩落がどこでなぜ始まったかについて、
c701-1	英字・記号	NIST	NIST は、崩落がどこでなぜ始まったかについて、
c701-2	文頭の数字	2	24通りの筋書きを検討した、と書いている。
c701-2	数詞＋助数詞	24通り	24通りの筋書きを検討した、と書いている。
c704-1	同形異音語（実績）	話	どれも、報道や、住民の話や、裁判のなかから出てきたもので、
c704-2	同形異音語（実績）	話	確かめられてはいない、あくまで噂の段階の話である。
c705-1	同形異音語（一般）	事	なかでもいちばん強く言われたのが、隣の工事である。
c705-2	同形異音語（実績）	側	建物のすぐ南側に、別の高層マンションが建てられていた。
c705-2	同形異音語（一般）	物	建物のすぐ南側に、別の高層マンションが建てられていた。
c706-1	同形異音語（一般）	物	エイティセブン・パークという建物である。
c706-1	§6-1の語	エイティセブン	エイティセブン・パークという建物である。
c706-2	同形異音語（一般）	事	地面を掘り、鋼の板を打ち込む工事が行われていた。
c707-1	同形異音語（一般）	物	その打ち込んだ場所と、崩れた建物の壁との距離。
c707-2	数詞＋助数詞	9フィート	NIST が測った最短の距離は、およそ9フィートだった。
c707-2	§6-1の語	NIST	NIST が測った最短の距離は、およそ9フィートだった。
c707-2	英字・記号	NIST	NIST が測った最短の距離は、およそ9フィートだった。
c708-1	文頭の数字	2	2.7メートルである。
c708-1	小数	2.7	2.7メートルである。
c708-1	数詞＋助数詞	7メートル	2.7メートルである。
c709-1	同形異音語（実績）	話	住民は、その工事のあいだ、揺れを感じたと話している。
c709-1	同形異音語（一般）	事	住民は、その工事のあいだ、揺れを感じたと話している。
c709-2	同形異音語（一般）	物	建物が振動していた、という証言が残っている。
c710-2	同形異音語（一般）	事	隣の工事の振動が、この建物を傷めたのではないか、と。
c710-2	同形異音語（一般）	物	隣の工事の振動が、この建物を傷めたのではないか、と。
c711-1	§6-1の語	NIST	NIST は、この説を、名指しで検討している。
c711-1	英字・記号	NIST	NIST は、この説を、名指しで検討している。
c711-2	同形異音語（一般）	物	使ったのは、地面と建物を一緒に解く計算である。
c712-1	同形異音語（一般）	物	建物を、上の骨組み、地下、基礎、そして地盤に分け、
c712-1	同形異音語（一般）	上	建物を、上の骨組み、地下、基礎、そして地盤に分け、
c712-1	同形異音語（一般）	下	建物を、上の骨組み、地下、基礎、そして地盤に分け、
c713-2	同形異音語（実績）	方	振動は、地面の性質しだいで、伝わり方がまるで変わるからである。
c714-1	数詞＋助数詞	3つ	出てきた答えは、3つある。
c715-1	同形異音語（実績）	側	建物の南側にあった地下と、鋼の板でできた壁。
c715-1	同形異音語（一般）	物	建物の南側にあった地下と、鋼の板でできた壁。
c715-1	同形異音語（一般）	下	建物の南側にあった地下と、鋼の板でできた壁。
c715-2	数詞＋助数詞	2つ	この2つが、伝わってくる振動を大きく減らしていた。
c716-2	同形異音語（一般）	目	問題になったつなぎ目に、どれだけ届いたか、である。
c717-1	同形異音語（実績）	方	NIST の書き方は、こうである。
c717-1	§6-1の語	NIST	NIST の書き方は、こうである。
c717-1	英字・記号	NIST	NIST の書き方は、こうである。
c717-2	同形異音語（一般）	目	傷んだつなぎ目を壊すにも、小さすぎた
c718-2	同形異音語（一般）	事	ここが、この章でいちばん大事なところである。
c719-1	同形異音語（実績）	話	解析は、住民が揺れを感じたという話のほうを、裏付けている。
c720-1	同形異音語（一般）	人	人が感じ取れる振動の大きさは、建物を壊す振動の大きさより、
c720-1	同形異音語（一般）	物	人が感じ取れる振動の大きさは、建物を壊す振動の大きさより、
c720-2	同形異音語（一般）	下	はるかに下にある、と NIST は書いている。
c720-2	§6-1の語	NIST	はるかに下にある、と NIST は書いている。
c720-2	英字・記号	NIST	はるかに下にある、と NIST は書いている。
c722-1	数詞＋助数詞	1枚	NIST は、こうした説をまとめた1枚に、見出しを付けている。
c722-1	§6-1の語	NIST	NIST は、こうした説をまとめた1枚に、見出しを付けている。
c722-1	英字・記号	NIST	NIST は、こうした説をまとめた1枚に、見出しを付けている。
c723-1	数詞＋助数詞	5つ	そこに並んでいるのは、5つである。
c723-2	同形異音語（一般）	事	隣の工事の振動。基礎の破壊、陥没、そして不同沈下。
c723-2	同形異音語（一般）	下	隣の工事の振動。基礎の破壊、陥没、そして不同沈下。
c723-2	§6-1の語	不同沈下	隣の工事の振動。基礎の破壊、陥没、そして不同沈下。
c724-1	§6-1の語	衝撃荷重	ハリケーンと高潮。突発的にかかる、衝撃荷重。
c724-2	同形異音語（一般）	上	そして、崩落の当時に進んでいた、屋上の改修と、アンカーの工事。
c724-2	同形異音語（一般）	事	そして、崩落の当時に進んでいた、屋上の改修と、アンカーの工事。
c725-2	同形異音語（実績）	方	陥没も、場所ごとに沈み方が違うことも、大きくは効いていない。
c726-2	同形異音語（一般）	物	この建物は、建物自身のつくりだけで、限界を越えている。
ep01-1	数詞＋助数詞	1枚	NIST の説明の、いちばん最後の1枚を見る。
ep01-1	§6-1の語	NIST	NIST の説明の、いちばん最後の1枚を見る。
ep01-1	英字・記号	NIST	NIST の説明の、いちばん最後の1枚を見る。
ep02-1	文頭の数字	5	5つの箱が、左から順に並んでいる。
ep02-1	数詞＋助数詞	5つ	5つの箱が、左から順に並んでいる。
ep03-2	同形異音語（実績）	間	そして、時間による劣化である。
ep04-1	文頭の数字	1	1つめには、最大、そして広い範囲、と書き添えてある。
ep04-1	数詞＋助数詞	1つ	1つめには、最大、そして広い範囲、と書き添えてある。
ep04-2	文頭の数字	2	2つめにも、広い範囲、と付いている。
ep04-2	数詞＋助数詞	2つ	2つめにも、広い範囲、と付いている。
ep05-1	数詞＋助数詞	5つ	そして、この5つのうち、
ep05-2	同形異音語（一般）	下	左の2つだけが、下から括弧でくくられている。
ep05-2	数詞＋助数詞	2つ	左の2つだけが、下から括弧でくくられている。
ep06-1	同形異音語（一般）	下	括弧の下には、一文が書かれている。
ep06-2	数詞＋助数詞	2つ	この2つが何をもたらしたのか、という文である。
ep07-2	数詞＋助数詞	2つ	壊れるまでの余裕が乏しかった原因の大半は、この2つにある。
ep08-1	同形異音語（実績）	間	余裕とは、壊れるまでに、どれだけ間があるか、ということである。
ep08-2	同形異音語（一般）	物	建物の設計は、ふつう、この余裕を持たせて行われる。
ep10-1	文頭の数字	4	40年のあいだの、どこかの時点からではない。
ep10-1	数詞＋助数詞	40年	40年のあいだの、どこかの時点からではない。
ep11-1	数詞＋助数詞	3枚	NIST が3枚のスライドで繰り返している言葉が、ひとつある。
ep11-1	§6-1の語	NIST	NIST が3枚のスライドで繰り返している言葉が、ひとつある。
ep11-1	英字・記号	NIST	NIST が3枚のスライドで繰り返している言葉が、ひとつある。
ep12-1	同形異音語（実績）	間	つまり、40年間、持ちこたえていたのではない。
ep12-1	数詞＋助数詞	40年	つまり、40年間、持ちこたえていたのではない。
ep12-2	文頭の数字	4	40年間、まだ落ちていなかった、ということである。
ep12-2	同形異音語（実績）	間	40年間、まだ落ちていなかった、ということである。
ep12-2	数詞＋助数詞	40年	40年間、まだ落ちていなかった、ということである。
ep13-1	同形異音語（実績）	間	そして、その40年のうち、最後の3週間だけが、人の目に見えた。
ep13-1	同形異音語（一般）	人	そして、その40年のうち、最後の3週間だけが、人の目に見えた。
ep13-1	同形異音語（一般）	目	そして、その40年のうち、最後の3週間だけが、人の目に見えた。
ep13-1	数詞＋助数詞	40年	そして、その40年のうち、最後の3週間だけが、人の目に見えた。
ep13-1	数詞＋助数詞	3週間	そして、その40年のうち、最後の3週間だけが、人の目に見えた。
ep13-2	同形異音語（実績）	間	開かなくなった門。柱を伝う水。床にできた、10センチの隙間。
ep13-2	数詞＋助数詞	10センチ	開かなくなった門。柱を伝う水。床にできた、10センチの隙間。
ep14-1	同形異音語（一般）	物	どれも、建物が沈んでいる印には見えない。
ep15-2	数詞＋助数詞	2026年	次の諮問委員会が開かれるのは、2026年の9月である。
ep15-2	数詞＋助数詞	9月	次の諮問委員会が開かれるのは、2026年の9月である。
ep15-2	§6-1の語	諮問	次の諮問委員会が開かれるのは、2026年の9月である。
