場面	一致率	送った文	聞こえた文	送信文
c322-1	1.000	場所は、ミネソタ大学の試験場である。	場所はミネソタ大学の試験場である。	場所は、ミネソタ大学の試験場である。
c322-2	1.000	崩れた建物の柱と梁と床を、同じ寸法、同じ配筋で作った。	崩れた建物の柱と梁と床を同じ寸法、同じ配筋で作った	崩れた建物の柱と梁とゆかを、同じ寸法、同じ配筋で作った。
c323-1	1.000	小さな模型では、この壊れ方は正しく出ない。	小さな模型ではこの壊れ方は正しく出ない。	小さな模型では、この壊れ方は正しく出ない。
c323-2	1.000	コンクリートの割れ方は、寸法が変わると変わってしまう。	コンクリートの割れ方は寸法が変わると変わってしまう。	コンクリートの割れ方は、寸法が変わると変わってしまう。
c324-1	1.000	板の上には格子が引かれ、計測器がびっしりと並ぶ。	板の上には格子が引かれ、計測器がびっしりと並ぶ。	板の上には格子が引かれ、計測器がびっしりと並ぶ。
c324-2	1.000	どこがどれだけ動いたかを、余さず記録するためである。	どこがどれだけ動いたかを余さず記録するためである。	どこがどれだけ動いたかを、余さず記録するためである。
c325-1	0.950	使ったコンクリートも、当てずっぽうではない。	使ったコンクリートもあてずっぽうではない。	使ったコンクリートも、当てずっぽうではない。
c325-2	1.000	現場から抜いた実物を試験して、強さを合わせてある。	現場から抜いた実物を試験して強さを合わせてある。	現場から抜いた実物を試験して、強さを合わせてある。
c326-1	0.963	鉄筋も同じである。瓦礫から取り出した鉄筋を実際に引っぱり、	鉄筋も同じである。瓦礫から取り出した鉄筋を実際に引っ張り	鉄筋も同じである。瓦礫から取り出した鉄筋を実際に引っぱり、
c326-2	1.000	どれだけの力で伸び、どこで切れるかを測っている。	どれだけの力で伸び、どこで切れるかを測っている。	どれだけの力で伸び、どこで切れるかを測っている。
c327-1	1.000	そして、載せた。	そして載せた	そして、載せた。
c327-2	0.941	崩落のときにかかっていたと考えられる条件で、押していく。	崩落の時にかかっていたと考えられる条件で押していく	ほうらくのときにかかっていたと考えられる条件で、押していく。
c328-1	0.741	柱の周りに、ひびが入りはじめる。	柱の周りにヒビが入り始める。	柱の周りに、ひびが入りはじめる。
c328-2	0.909	ひびは、板の裏側を回り込むようにして伸びていく。	ヒビは板の裏側を回り込むようにして伸びていく。	ひびは、板の裏側を回り込むようにして伸びていく。
c329-1	0.936	このとき、板の上の面は、まだほとんど平らなままである。	この時、板の上の面はまだほとんど平らなままである。	このとき、板の上の面は、まだほとんど平らなままである。
c329-2	0.894	上から見ているかぎり、何が起きているかは分からない。	上から見ている限り、何が起きているかはわからない。	上から見ているかぎり、何が起きているかは分からない。
c330-1	1.000	壊れていくのは、いつも板の下側である。	壊れていくのはいつも板の下側である。	壊れていくのは、いつも板の下側である。
c330-2	1.000	プールサイドを歩いている人からは、絶対に見えない。	プールサイドを歩いている人からは絶対に見えない。	プールサイドを歩いている人からは、絶対に見えない。
c331-1	1.000	そして、外れる。	そして外れる。	そして、外れる。
c331-2	1.000	板と梁が、柱を残したまま、下へ落ちていく。	板と梁が柱を残したまま下へ落ちていく。	板と梁が、柱を残したまま、下へ落ちていく。
c332-1	1.000	別の試験では、同じ過程を早回しで撮っている。	別の試験では同じ過程を早回しで撮っている。	別の試験では、同じ過程を早回しで撮っている。
c332-2	0.941	ここでは逆に、その映像を遅くして見る。	ここでは逆にその映像を遅くしてみる	ここでは逆に、その映像を遅くして見る。
c333-1	0.818	ひびが入り、それが広がり、	ヒビが入り、それが広がり	ひびが入り、それが広がり、
c333-2	1.000	板が柱から離れていく。	板が柱から離れていく。	板が柱から離れていく。
c334-1	1.000	実際にかかった時間は、これよりずっと短い。	実際にかかった時間はこれよりずっと短い。	実際にかかった時間は、これよりずっと短い。
c334-2	0.875	もとの映像は、全部で6.8秒しかない。	元の映像は全部で六点八秒しかない。	もとの映像は、全部で6.8秒しかない。
c335-1	1.000	実物と同じ大きさで作り直しても、同じように壊れた。	実物と同じ大きさで作り直しても同じように壊れた。	実物と同じ大きさで作り直しても、同じように壊れた。
c335-2	1.000	筋書きは、計算だけでなく、実験でも確かめられている。	筋書きは計算だけでなく実験でも確かめられている。	筋書きは、計算だけでなく、実験でも確かめられている。
c336-1	0.941	ここまでで、何が起きたのかは分かった。	ここまでで何が起きたのかはわかった。	ここまでで、何が起きたのかは分かった。
c336-2	1.000	残っているのは、なぜ、その2本だったのか、である。	残っているのはなぜその二本だったのかである。	残っているのは、なぜ、その2本だったのか、である。
c401-1	1.000	NIST は、つなぎ目が壊れた理由として、5つを挙げている。	NISTはつなぎ目が壊れた理由として五つを挙げている。	ニスト は、つなぎ目が壊れた理由として、5つを挙げている。
c401-2	1.000	ただし、その5つを、同じ重さでは扱っていない。	ただし、その五つを同じ重さでは扱っていない。	ただし、その5つを、同じ重さでは扱っていない。
c402-1	1.000	図をよく見ると、下に括弧が引いてある。	図をよく見ると下に括弧が引いてある	図をよく見ると、下に括弧が引いてある。
c402-2	1.000	括弧に入っているのは、5つのうち、左の2つだけである。	括弧に入っているのは五つのうち左の二つだけである。	括弧に入っているのは、5つのうち、左の2つだけである。
c403-1	0.914	ひとつは、設計そのものの、耐える力の不足。	一つは設計そのものの耐える力の不足。	ひとつは、設計そのものの、耐える力の不足。
c403-2	0.936	もうひとつは、実際の施工が、設計図から外れていたこと。	もう一つは、実際の施工が設計図から外れていたこと。	もうひとつは、実際の施工が、設計図から外れていたこと。
c404-1	0.800	NIST は、この調査の問いを、こう立てている。	nistはこの調査の問いをこう立てている。	ニスト は、この調査の問いを、こう立てている。
c404-2	0.950	なぜ、建てて40年たったその日に、崩れたのか。	なぜ建てて40年経ったその日に崩れたのか。	なぜ、建てて40年たったその日に、崩れたのか。
c405-1	1.000	その答えの片方が、この図である。	その答えの片方がこの図である。	その答えの片方が、この図である。
c405-2	1.000	プールデッキと、街路側の駐車場の、床を上から見た地図。	プールデッキと街路側の駐車場の床を上から見た地図	プールデッキと、街路側の駐車場の、ゆかを上から見た地図。
c406-1	0.966	印が付いているのは、当時の基準を満たしていなかった場所である。	印がついているのは当時の基準を満たしていなかった場所である。	印が付いているのは、当時の基準を満たしていなかった場所である。
c406-2	1.000	赤が、重い不足。黄が、中くらいの不足。	赤が重い不足、黄が中くらいの不足	赤が、重い不足。黄が、中くらいの不足。
c407-1	0.815	印は、1か所や2か所ではない。	目印は一箇所や二箇所ではない。	印は、1か所や2か所ではない。
c407-2	1.000	床のほぼ全体に、散らばるように並んでいる。	床のほぼ全体に散らばるように並んでいる	ゆかのほぼ全体に、散らばるように並んでいる。
c408-1	0.930	弱いつなぎ目が、たまたまひとつあったのではない。	弱いつなぎ目がたまたま一つあったのではない。	弱いつなぎ目が、たまたまひとつあったのではない。
c408-2	1.000	建てた時点から、広い範囲で、足りていなかった。	建てた時点から広い範囲で足りていなかった。	建てた時点から、広い範囲で、足りていなかった。
c409-1	1.000	ここからは、計算ではなく実物である。	ここからは計算ではなく実物である	ここからは、計算ではなく実物である。
c409-2	0.903	瓦礫のなかから回収された、床の断面。	瓦礫の中から回収された床の断面	がれきのなかから回収された、ゆかの断面。
c410-1	0.936	黄色い線が、2本引かれている。上の線が、図面どおりなら	黄色い線が二本引かれている。上の線が図面通りなら	黄色い線が、2本引かれている。上の線が、図面どおりなら
c410-2	1.000	鉄筋があるはずの深さ。下の線が、実際に鉄筋のあった深さである。	鉄筋があるはずの深さ。下の線が実際に鉄筋のあった深さである。	鉄筋があるはずの深さ。下の線が、実際に鉄筋のあった深さである。
c411-1	0.962	鉄筋の上に載っているコンクリートの厚みを、かぶりという。	鉄筋の上に乗っているコンクリートの厚みをかぶりという。	鉄筋の上に載っているコンクリートの厚みを、かぶりという。
c411-2	0.939	鉄筋を錆から守るために、わざと付けてある厚みである。	鉄筋を錆びから守るためにわざとつけてある厚みである。	鉄筋を錆から守るために、わざと付けてある厚みである。
c412-1	1.000	このかぶりが、図面に書かれた値と、実物とで違っていた。	このかぶりが図面に書かれた値と実物とで違っていた。	このかぶりが、図面に書かれた値と、実物とで違っていた。
c412-2	0.848	図面は¾インチ、実物は2インチ	図面は四分の三インチ、実物は二インチ	図面はよんぶんのさんインチ、実物は2インチ
c413-1	0.792	4分の3インチは、約1.9センチ。2インチは、約5.1センチ。	四分の三インチは約1.9cm、2インチは約5.1cm。	4分の3インチは、約いってんきゅうセンチ。2インチは、約5.1センチ。
c413-2	0.900	3.2センチ、実物のほうが厚かったことになる。	三点二センチ。実物の方が厚かったことになる。	3.2センチ、実物のほうが厚かったことになる。
c414-1	1.000	かぶりが厚いというのは、一見、悪いことに思えない。	かぶりが厚いというのは一見悪いことに思えない。	かぶりが厚いというのは、一見、悪いことに思えない。
c414-2	1.000	鉄筋が守られて、錆びにくくなるからである。	鉄筋が守られて錆びにくくなるからである。	鉄筋が守られて、錆びにくくなるからである。
c415-1	1.000	ところが、押し抜きに対しては、逆に働いてしまう。	ところが、押し抜きに対しては逆に働いてしまう。	ところが、押し抜きに対しては、逆に働いてしまう。
c415-2	0.943	かぶりが厚いぶんだけ、鉄筋が下に押し下げられるからである。	かぶりが厚い分だけ鉄筋が下に押し下げられるからである。	かぶりが厚いぶんだけ、鉄筋が下に押し下げられるからである。
c416-1	1.000	板そのものの厚みは、変わらない。変わるのは鉄筋の深さで、	板そのものの厚みは変わらない。変わるのは鉄筋の深さで	板そのものの厚みは、変わらない。変わるのは鉄筋の深さで、
c416-2	0.943	上の鉄筋が下がったぶん、鉄筋から板の下面までの距離が縮む。	上の鉄筋が下がった分、鉄筋から板の下面までの距離が縮む。	上の鉄筋が下がったぶん、鉄筋から板のかめんまでの距離が縮む。
c417-1	1.000	押し抜きに耐える力は、この距離の大きさで決まる。	押し抜きに耐える力はこの距離の大きさで決まる。	押し抜きに耐える力は、この距離の大きさで決まる。
c417-2	1.000	専門用語では、有効せい、と呼ぶ。これが縮むほど、板は薄い板として振る舞う。	専門用語では有効せいと呼ぶ。これが縮むほど、板は薄い板として振る舞う。	専門用語では、有効せい、と呼ぶ。これが縮むほど、板は薄い板として振る舞う。
c418-1	1.000	つまりこの床は、厚さは同じままで、	つまりこの床は厚さは同じままで	つまりこのゆかは、厚さは同じままで、
c418-2	1.000	構造としては、薄い床になっていた。	構造としては薄い床になっていた	構造としては、薄いゆかになっていた。
c419-1	1.000	この違いは、机の上で出した数字ではない。	この違いは机の上で出した数字ではない。	この違いは、机の上で出した数字ではない。
c419-2	1.000	回収した部材を、実際に測って出てきた数字である。	回収した部材を実際に測って出てきた数字である。	回収した部材を、実際に測って出てきた数字である。
c420-1	0.936	もうひとつ、当時の設計図そのものにも、書き込みがある。	もう一つ、当時の設計図そのものにも書き込みがある。	もうひとつ、当時の設計図そのものにも、書き込みがある。
c420-2	0.778	手書きの、注記である。	手書きの中期である。	手書きの、注記である。
c421-1	1.000	柱の帯にあたる部分の鉄筋の、少なくとも25パーセントを、	柱の帯にあたる部分の鉄筋の少なくとも二十五パーセントを	柱の帯にあたる部分の鉄筋の、少なくとも25パーセントを、
c421-2	1.000	柱の真上に集めること。そう書かれている。	柱の真上に集めること、そう書かれている。	柱の真上に集めること。そう書かれている。
c422-1	1.000	押し抜きに効くのは、柱の真上を通っている鉄筋である。	押し抜きに効くのは柱の真上を通っている鉄筋である。	押し抜きに効くのは、柱の真上を通っている鉄筋である。
c422-2	1.000	だからそこに集めろ、と、設計者はわざわざ書いていた。	だからそこに集めろと設計者はわざわざ書いていた。	だからそこに集めろ、と、設計者はわざわざ書いていた。
c423-1	1.000	図面には、そう書いてあった。	図面にはそう書いてあった。	図面には、そう書いてあった。
c423-2	1.000	では、実際に建てられたものは、どうだったか。	では、実際に建てられたものはどうだったか。	では、実際に建てられたものは、どうだったか。
c424-1	0.962	回収された柱の標本には、床の断面が付いたまま残っていた。	回収された柱の標本には床の断面がついたまま残っていた。	回収された柱の標本には、ゆかの断面が付いたまま残っていた。
c424-2	1.000	そこに残っている上端の鉄筋を、NIST は数えている。	そこに残っている上端の鉄筋をNISTは数えている	そこに残っている上端の鉄筋を、ニスト は数えている。
c425-1	1.000	片方向について、あるべき本数は4本だった。	片方向についてあるべき本数は四本だった	片方向について、あるべき本数は4本だった。
c425-2	1.000	数えて出てきたのは、2本である。	数えて出てきたのは二本である。	数えて出てきたのは、2本である。
c426-1	1.000	しかも、縦横のどちらの向きでも、同じだった。	しかも縦横のどちらの向きでも同じだった。	しかも、縦横のどちらの向きでも、同じだった。
c426-2	1.000	4本のはずが、2本だった	四本のはずが二本だった。	4本のはずが、2本だった
c427-1	1.000	柱の真上を通る鉄筋が、半分しかない。	柱の真上を通る鉄筋が半分しかない。	柱の真上を通る鉄筋が、半分しかない。
c427-2	0.875	押し抜きに対して、いちばん効くはずの場所の鉄筋である。	押し抜きに対して一番効くはずの場所の鉄筋である	押し抜きに対して、いちばん効くはずの場所の鉄筋である。
c428-1	1.000	ただし、NIST の書き方は慎重である。	ただし、NISTの書き方は慎重である。	ただし、ニスト の書き方は慎重である。
c428-2	0.952	この場所では、という断りが、はっきり付けてある。	「この場所では」という断りがはっきりつけてある。	この場所では、という断りが、はっきり付けてある。
c429-1	0.900	建物じゅうがそうだった、とまでは書いていない。	建物中がそうだったとまでは書いていない。	建物じゅうがそうだった、とまでは書いていない。
c429-2	1.000	書いてあるのは、プールデッキの床では、指定より少ないのが通例だった、	書いてあるのはプールデッキの床では指定より少ないのが通例だった。	書いてあるのは、プールデッキのゆかでは、指定より少ないのが通例だった、
c429-3	1.000	ということである。	ということである。	ということである。
c430-1	0.923	こうしたことが分かったのは、	こうしたことがわかったのは	こうしたことが分かったのは、
c430-2	1.000	崩れた部材を、捨てずに、証拠として取っておいたからである。	崩れた部材を捨てずに証拠として取っておいたからである。	崩れた部材を、捨てずに、証拠として取っておいたからである。
c431-1	0.898	瓦礫はひとつずつ番号をふられ、記録され、倉庫へ運ばれた。	瓦礫は一つずつ番号を振られ、記録され、倉庫へ運ばれた。	がれきはひとつずつ番号をふられ、記録され、倉庫へ運ばれた。
c431-2	0.760	運ぶときには警察の護衛が付いた、と NIST は書いている。	運ぶ時には警察の護衛がついたとニストは書いている。	運ぶときには警察の護衛が付いた、と ニスト は書いている。
c432-1	1.000	設計そのものが足りず、施工がそこからさらに外れていた。	設計そのものが足りず、施工がそこからさらに外れていた。	設計そのものが足りず、施工がそこからさらに外れていた。
c432-2	0.930	この2つだけが、括弧でくくられている理由である。	この二つだけが括弧で括られている理由である。	この2つだけが、括弧でくくられている理由である。
c433-1	1.000	では、残る3つは何か。括弧の外にあるのは、	では、残る三つは何か。括弧の外にあるのは	では、残る3つは何か。括弧の外にあるのは、
c433-2	0.919	あとから足されていった、重さと、時間である。	後から足されていった重さと時間である。	あとから足されていった、重さと、時間である。
c434-1	0.919	建物は、この状態のまま、40年間、立っていた。	建物はこの状態のまま四十年間建っていた。	建物は、この状態のまま、40年間、立っていた。
c434-2	1.000	では何が、最後の3週間を作ったのか。	では、何が最後の三週間を作ったのか。	では何が、最後の3週間を作ったのか。
c501-1	1.000	括弧の外にある3つを、順に見ていく。	括弧の外にある三つを順に見ていく。	括弧の外にある3つを、順に見ていく。
c501-2	0.979	プランター、盛土と舗装、そして、時間による劣化である。	プランター、盛り土と舗装、そして時間による劣化である。	プランター、もりどと舗装、そして、時間による劣化である。
c502-1	0.737	ひとつめは、プランター。	一つ目はプランター	ひとつめは、プランター。
c502-2	1.000	植木を植えるために作られた、コンクリートの箱である。	植木を植えるために作られたコンクリートの箱である。	植木を植えるために作られた、コンクリートの箱である。
c503-1	0.857	NIST の書き方は、より重く、より広い、というものである。	ニストの書き方はより重く、より広いというものである。	ニスト の書き方は、より重く、より広い、というものである。
c503-2	1.000	場所は、プールデッキの北側の近く、としている。	場所はプールデッキの北側の近くとしている。	場所は、プールデッキの北側の近く、としている。
c504-1	1.000	北側というのは、建物本体に接している側である。	北側というのは建物本体に接している側である。	北側というのは、建物本体に接している側である。
c504-2	1.000	3週間前にプランターが割れていた、あの場所もそこにある。	三週間前にプランターが割れていたあの場所もそこにある。	3週間前にプランターが割れていた、あの場所もそこにある。
c505-1	1.000	プランターには土が入り、水が入り、植木が育つ。	プランターには土が入り、水が入り、植木が育つ。	プランターには土が入り、水が入り、植木が育つ。
c505-2	0.947	載っている重さは、年が経つほど増えていく。	乗っている重さは年が経つほど増えていく。	載っている重さは、年が経つほど増えていく。
c506-1	0.870	土は、乾いているときと、水を含んだときで重さが変わる。	土は乾いている時と水を含んだ時で重さが変わる。	土は、乾いているときと、水を含んだときで重さが変わる。
c506-2	1.000	同じ体積でも、二割から三割は違ってくる。	同じ体積でも二割から三割は違ってくる	同じ体積でも、二割から三割は違ってくる。
c507-1	0.700	ふたつめは、盛土と舗装。	二つ目は盛り土と舗装。	ふたつめは、もりどと舗装。
c507-2	1.000	こちらには、ばらつきがある、という言葉が添えられている。	こちらにはばらつきがあるという言葉が添えられている。	こちらには、ばらつきがある、という言葉が添えられている。
c508-1	0.939	屋外の床は、傷んだとき、上から重ねて直されることが多い。	屋外の床は傷んだ時、上から重ねて直されることが多い。	屋外のゆかは、傷んだとき、上から重ねて直されることが多い。
c508-2	1.000	剥がしてから貼り直すより、安く、早く終わるからである。	剥がしてから貼り直すより安く早く終わるからである。	剥がしてから貼り直すより、安く、早く終わるからである。
c509-1	0.957	ただし、重ねるたびに、床の上に載る重さは増えていく。	ただし、重ねるたびに床の上に乗る重さは増えていく。	ただし、重ねるたびに、ゆかの上に載る重さは増えていく。
c509-2	0.818	どれだけ増えたかは、場所によってばらばらである。	どれだけ増えたかは場所によってバラバラである。	どれだけ増えたかは、場所によってばらばらである。
c510-1	0.941	建てるときに見込んでいた重さは、あらかじめ決まっている。	建てる時に見込んでいた重さはあらかじめ決まっている。	建てるときに見込んでいた重さは、あらかじめ決まっている。
c510-2	0.850	あとから足されたぶんは、その見込みの外にある。	後から足された分はその見込みの外にある	あとから足されたぶんは、その見込みの外にある。
c511-1	0.737	みっつめが、時間である。	三つ目が時間である。	みっつめが、時間である。
c511-2	0.833	NIST は、これについては、別の節を立てて扱っている。	nistはこれについては別の節を立てて扱っている。	ニスト は、これについては、別の節を立てて扱っている。
c512-1	1.000	見出しは、鉄筋の腐食。	見出しは「鉄筋の腐食」。	見出しは、鉄筋の腐食。
c512-2	0.897	長い時間をかけて進む劣化として、いちばん可能性が高いとしている。	長い時間をかけて進む劣化として一番可能性が高いとしている	長い時間をかけて進む劣化として、いちばん可能性が高いとしている。
c513-1	1.000	鉄筋は、錆びると体積が増える。	鉄筋は錆びると体積が増える。	鉄筋は、錆びると体積が増える。
c513-2	1.000	膨らんだ鉄筋は、周りのコンクリートを、内側から押し広げる。	膨らんだ鉄筋は周りのコンクリートを内側から押し広げる。	膨らんだ鉄筋は、周りのコンクリートを、内側から押し広げる。
c514-1	1.000	押されたコンクリートは、やがて割れて剥がれ落ちる。	押されたコンクリートはやがて割れて剥がれ落ちる。	押されたコンクリートは、やがて割れて剥がれ落ちる。
c514-2	0.955	剥がれれば、鉄筋はさらに濡れ、錆はもっと速く進む。	剥がれれば鉄筋はさらに濡れ、錆はもっと早く進む。	剥がれれば、鉄筋はさらに濡れ、錆はもっと速く進む。
c515-1	1.000	この繰り返しが、どれだけの間、続いていたのか。	この繰り返しがどれだけの間続いていたのか。	この繰り返しが、どれだけの間、続いていたのか。
c515-2	1.000	25年以上、進み続けていた	25年以上進み続けていた	25年以上、進み続けていた
c516-1	0.919	崩落の25年前は、1996年ごろにあたる。	崩落の25年前は1996年頃にあたる。	ほうらくの25年前は、1996年ごろにあたる。
c516-2	0.850	建物が建ってから、15年ほどたったころである。	建物が建ってから十五年ほど経った頃である。	建物が建ってから、15年ほどたったころである。
c517-1	0.919	つまり、この建物が立っていた40年のうち、	つまり、この建物が建っていた四十年のうち	つまり、この建物が立っていた40年のうち、
c517-2	1.000	後ろの25年は、鉄筋が錆び続けていた期間だったことになる。	後ろの25年は鉄筋が錆び続けていた期間だったことになる。	後ろの25年は、鉄筋が錆び続けていた期間だったことになる。
c518-1	1.000	どうして25年以上と言えるのか。	どうして二十五年以上と言えるのか。	どうして25年以上と言えるのか。
c518-2	1.000	NIST は、鉄筋の標本を、数百本の単位で評価している。	NISTは鉄筋の標本を数百本の単位で評価している。	ニスト は、鉄筋の標本を、数百本の単位で評価している。
c519-1	1.000	現場からは、コンクリートを円柱の形に抜き取っている。	現場からはコンクリートを円柱の形に抜き取っている	現場からは、コンクリートを円柱の形に抜き取っている。
c519-2	1.000	コア抜き、と呼ばれるやり方である。	コア抜きと呼ばれるやり方である。	コア抜き、と呼ばれるやり方である。
c520-1	1.000	抜き取ったコアは、割れるまで押しつぶされる。	抜き取ったコアは割れるまで押しつぶされる	抜き取ったコアは、割れるまで押しつぶされる。
c520-2	0.960	どれだけの力で割れたかで、コンクリートの強さが分かる。	どれだけの力で割れたかでコンクリートの強さがわかる。	どれだけの力で割れたかで、コンクリートの強さが分かる。
c521-1	0.957	試験に回された部材は、倉庫の床を埋めつくしていた。	試験に回された部材は倉庫の床を埋め尽くしていた。	試験に回された部材は、倉庫のゆかを埋めつくしていた。
c521-2	1.000	崩れた建物が、そのままの形で並んでいる。	崩れた建物がそのままの形で並んでいる。	崩れた建物が、そのままの形で並んでいる。
c522-1	0.815	腐食のほうには、別の試験がある。	不食の方には別の試験がある	腐食のほうには、別の試験がある。
c522-2	0.947	標本を塩水に浸し、電極をあてて、電気を流す。	標本を塩水に浸し、電極を当てて電気を流す。	標本を塩水に浸し、電極をあてて、電気を流す。
c523-1	1.000	この建物が建っていたのは、大西洋のすぐそばである。	この建物が建っていたのは大西洋のすぐそばである。	この建物が建っていたのは、大西洋のすぐそばである。
c523-2	0.941	塩は、波でも、風でも、霧でも運ばれてくる。	潮は波でも風でも霧でも運ばれてくる。	塩は、波でも、風でも、霧でも運ばれてくる。
c524-1	0.933	塩は、コンクリートのなかを、何年もかけて進んでいく。	塩はコンクリートの中を何年もかけて進んでいく。	塩は、コンクリートのなかを、何年もかけて進んでいく。
c524-2	1.000	そして鉄筋のところまで届くと、錆が始まる。	そして鉄筋のところまで届くと錆が始まる。	そして鉄筋のところまで届くと、錆が始まる。
c525-1	1.000	ここで、第4章のかぶりの話が戻ってくる。	ここで第四章のかぶりの話が戻ってくる。	ここで、第4章のかぶりの話が戻ってくる。
c525-2	1.000	かぶりが厚ければ、塩が鉄筋に届くまでの時間は長くなる。	かぶりが厚ければ塩が鉄筋に届くまでの時間は長くなる。	かぶりが厚ければ、塩が鉄筋に届くまでの時間は長くなる。
c526-1	0.870	錆に対しては、2インチのかぶりは、有利に働いていた。	サピに対しては二インチの被りは有利に働いていた。	錆に対しては、2インチのかぶりは、有利に働いていた。
c526-2	1.000	押し抜きに対しては、不利に働いた。同じ一つの数字である。	押し抜きに対しては不利に働いた同じ一つの数字である。	押し抜きに対しては、不利に働いた。同じ一つの数字である。
c527-1	1.000	重さが足され、塩が入り、時間が進み、	重さが足され、塩が入り、時間が進み	重さが足され、塩が入り、時間が進み、
c527-2	1.000	もともと小さかった余裕が、少しずつ削られていった。	もともと小さかった余裕が少しずつ削られていった。	もともと小さかった余裕が、少しずつ削られていった。
c528-1	0.846	そして2021年6月のはじめ。	そして二千二十一年六月の初め	そして2021年6月のはじめ。
c528-2	0.950	2本の柱のつなぎ目が、とうとう限界を越えた。	二本の柱のつなぎ目がとうとう限界を超えた。	2本の柱のつなぎ目が、とうとう限界を越えた。
c601-1	0.889	ここで、大きな疑問がひとつ残る。	ここで大きな疑問が一つ残る。	ここで、大きな疑問がひとつ残る。
c601-2	1.000	壊れたのは、プールデッキの下にある、柱2本と床とのつなぎ目だった。	壊れたのはプールデッキの下にある柱二本と床とのつなぎ目だった。	壊れたのは、プールデッキの下にある、柱2本とゆかとのつなぎ目だった。
c602-1	1.000	プールデッキは、建物の本体ではない。	プールデッキは建物の本体ではない。	プールデッキは、建物の本体ではない。
c602-2	0.895	人が住んでいたのは、12階建てのほうである。	人が住んでいたのは十二階建ての方である。	人が住んでいたのは、12階建てのほうである。
c603-1	1.000	屋外の平らな床が落ちたことが、	屋外の平らな床が落ちたことが	屋外の平らなゆかが落ちたことが、
c603-2	1.000	なぜ、人の住んでいる建物を倒すことになるのか。	なぜ人の住んでいる建物を倒すことになるのか。	なぜ、人の住んでいる建物を倒すことになるのか。
c604-1	1.000	答えは、つながっていたから、である。	答えはつながっていたからである。	答えは、つながっていたから、である。
c604-2	1.000	プールデッキは、建物に、そのまま取り付いていた。	プールデッキは建物にそのまま取り付いていた	プールデッキは、建物に、そのまま取り付いていた。
c605-1	1.000	平らな床の端が、建物の壁と柱に、そのまま続いている。	平らな床の端が建物の壁と柱にそのまま続いている。	平らなゆかの端が、建物の壁と柱に、そのまま続いている。
c605-2	1.000	隣り合った別々の建物、という関係ではない。	隣り合った別々の建物という関係ではない。	隣り合った別々の建物、という関係ではない。
c606-1	0.927	だから、落ちるときも、ただ下に落ちるのではない。	だから落ちる時もただ下に落ちるのではない。	だから、落ちるときも、ただ下に落ちるのではない。
c606-2	0.952	つながっている側を、引っぱりながら落ちていく。	つながっている側を引っ張りながら落ちていく。	つながっている側を、引っぱりながら落ちていく。
c607-1	1.000	NIST が実物大で作ったのは、まさにこの部分だった。	NISTが実物大で作ったのはまさにこの部分だった。	ニスト が実物大で作ったのは、まさにこの部分だった。
c607-2	1.000	プールデッキと、建物との、境目である。	プールデッキと建物との境目である。	プールデッキと、建物との、境目である。
c608-1	1.000	試験の名前も、プールデッキと塔の接続部の試験、となっている。	試験の名前もプールデッキと塔の接続部の試験となっている。	試験の名前も、プールデッキと塔の接続部の試験、となっている。
c608-2	1.000	落ちる側と、残る側を、両方まとめて作ってある。	落ちる側と残る側を両方まとめて作ってある	落ちる側と、残る側を、両方まとめて作ってある。
c609-1	1.000	起きたことは、線図に描かれている。	起きたことは線図に描かれている。	起きたことは、線図に描かれている。
c609-2	1.000	柱が4本、D、E、H、I の記号で並んでいる。	柱が四本、D、E、H、Iの記号で並んでいる。	柱が4本、D、E、H、I の記号で並んでいる。
c610-1	1.000	左側の床は、そのまま水平に残っている。	左側の床はそのまま水平に残っている。	左側のゆかは、そのまま水平に残っている。
c610-2	0.919	変わるのは、Eと書かれた柱から、右である。	変わるのはいいと書かれた柱から右である。	変わるのは、Eと書かれた柱から、右である。
c611-1	1.000	右側の床は、外れて、斜めに下がっている。	右側の床は外れて斜めに下がっている。	右側のゆかは、外れて、斜めに下がっている。
c611-2	1.000	端に行くほど、深く落ちている。	端に行くほど深く落ちている。	端に行くほど、深く落ちている。
c612-1	1.000	板は、真ん中から折れたのではない。	板は真ん中から折れたのではない。	板は、真ん中から折れたのではない。
c612-2	1.000	柱のあるところで、切れている。	柱のあるところで切れている	柱のあるところで、切れている。
c613-1	0.743	その切れ方に、NIST は札を付けている。	その切れ方にニストは札をつけている。	その切れ方に、ニスト は札を付けている。
c613-2	1.000	指しているのは、板の下側に入っていた鉄筋である。	指しているのは板の下側に入っていた鉄筋である。	指しているのは、板の下側に入っていた鉄筋である。
c614-1	1.000	上の鉄筋が切れた、という書き方ではない。	上の鉄筋が切れたという書き方ではない	上の鉄筋が切れた、という書き方ではない。
c614-2	0.870	下端筋が、下から抜けていく	肩筋が下から抜けていく。	かたんきんが、下から抜けていく
c615-1	1.000	切れたのではなく、抜けた。	切れたのではなく抜けた。	切れたのではなく、抜けた。
c615-2	0.962	コンクリートに埋まっていた鉄筋が、引き出されたのである。	コンクリートに埋まっていた鉄筋が引き出されたのであり	コンクリートに埋まっていた鉄筋が、引き出されたのである。
c616-1	1.000	鉄筋は、コンクリートに埋まっている長さで力を伝えている。	鉄筋はコンクリートに埋まっている長さで力を伝えている。	鉄筋は、コンクリートに埋まっている長さで力を伝えている。
