場面	一致率	送った文	聞こえた文	送信文
c420-1	0.921	組合の手順では、緊急のときはまず沿岸警備隊へ掛けることになっていた。	組合の手順では、緊急の時はまず沿岸警備隊へかけることになっていた。	組合の手順では、緊急のときはまず沿岸警備隊へ掛けることになっていた。
c420-2	0.923	配車係は一覧に州交通局の番号を見つけ、昔の訓練どおり、先にそこへ掛けた。	配車係は一覧に州交通局の番号を見つけ、昔の訓練通り先にそこへかけた。	配車係は一覧に州交通局の番号を見つけ、昔の訓練どおり、先にそこへ掛けた。
c421-1	0.824	1時27分02秒。橋まで1500フィート。	一時二十七分二秒。端まで千五百フィート。	1時27分02秒。橋まで1500フィート。
c421-2	0.833	上級水先人が、左舷の錨を投げよと命じる。	上級聖戦陣が左舷の錨を投げよと命じる。	上級水先人が、さげんの錨を投げよと命じる。
c422-1	1.000	その2秒後、船の電気を見張る電力管理装置が、周波数の低下を検知した。	その二秒後、船の電気を見張る電力管理装置が周波数の低下を検知した。	その2秒後、船の電気を見張る電力管理装置が、周波数の低下を検知した。
c422-2	1.000	3号機と4号機が母線から切り離され、高圧も低圧も落ちる。二度目の停電である。	三号機と四号機が母線から切り離され、高圧も低圧も落ちる。二度目の停電である。	3号機と4号機が母線から切り離され、高圧も低圧も落ちる。二度目の停電である。
c423-1	0.963	1時27分36秒。電気技師が、もう一組の遮断器を手で閉じた。	1時27分36秒、電気技師がもう一組の遮断機を手で閉じた。	1時27分36秒。電気技師が、もう一組の遮断器を手で閉じた。
c423-2	0.818	低圧が戻る。それでも主機関は止まったままである。	制圧が戻る。それでも指揮官は止まったままである。	低圧が戻る。それでも主機関は止まったままである。
c424-1	0.949	1時27分46秒。橋まで939フィート。船の長さ1隻ぶんを切った。	一時二十七分四十六秒。橋まで九百三十九フィート。船の長さ一隻分を切った。	1時27分46秒。橋まで939フィート。船の長さ1隻ぶんを切った。
c424-2	0.933	速力7.5ノット。	速力七点五ノット	速力7.5ノット。
c425-1	1.000	上級水先人が、船首スラスターを左いっぱいと命じる。	上級水先人が船首スラスターを左いっぱいと命じる。	上級水先人が、船首スラスターを左いっぱいと命じる。
c425-2	0.971	二等航海士がつまみを回した。補機が最初の停電で止まっており、動かなかった。	二等航海士がつまみを回した。帆機が最初の停電で止まっており、動かなかった。	にとう航海士がつまみを回した。補機が最初の停電で止まっており、動かなかった。
c426-1	1.000	1時27分55秒。船首から甲板長の報告が返る。	1時27分55秒。船首から甲板長の報告が返る。	1時27分55秒。船首からかんぱんちょうの報告が返る。
c426-2	0.889	錨のブレーキが、開かなかった	怒りのブレーキが開かなかった。	いかりのブレーキが、開かなかった
c427-1	0.830	1時28分10秒、船首が航路の外へ出て、泥に乗り上げはじめる。	一時二十八分十秒。選手が航路の外へ出て泥に乗り上げ始める。	1時28分10秒、船首が航路の外へ出て、泥に乗り上げはじめる。
c427-2	1.000	1時28分42秒、甲板長が手でブレーキを外し、錨が落ちた。	1時28分42秒。甲板長が手でブレーキを外し、錨が落ちた。	1時28分42秒、かんぱんちょうが手でブレーキを外し、錨が落ちた。
c427-3	0.936	1時29分09秒。船首の右舷が、17番橋脚に当たった。	一時二十九分二十九秒、船首の右舷が十七番橋脚に当たった。	1時29分09秒。船首のうげんが、17番橋脚に当たった。
c501-1	1.000	時計を、1分16秒だけ戻す。	時計を1分16秒だけ戻す。	時計を、1分16秒だけ戻す。
c501-2	1.000	1時27分53秒。州交通局の当直が、橋の両端の警官に指示を出した。	一時二十七分五十三秒、州交通局の当直が橋の両端の警官に指示を出した。	1時27分53秒。州交通局の当直が、橋の両端の警官に指示を出した。
c502-1	1.000	内容は、橋を車の通行止めにせよ。	内容は橋を車の通行止めにせよ。	内容は、橋を車の通行止めにせよ。
c502-2	1.000	警官2人は、工事のために元からそこにいた。	警官二人は工事のために元からそこにいた。	警官2人は、工事のために元からそこにいた。
c503-1	1.000	1時28分21秒。北端の警官が車を横向きに動かし、南行きの2車線を塞いだ。	一時二十八分二十一秒。北端の警官が車を横向きに動かし、南行きの二車線を塞いだ。	1時28分21秒。北端の警官が車を横向きに動かし、南行きの2車線を塞いだ。
c503-2	0.923	南端の警官も、北行きを塞いだ。	南段の警官も北行きを塞いだ。	南端の警官も、北行きを塞いだ。
c504-1	1.000	船が当たるまで、あと48秒。	船が当たるまであと48秒。	船が当たるまで、あと48秒。
c504-2	0.865	このあと、橋に入った一般の車は1台も無い。	この後、橋に入った一般の車は一台もない。	このあと、橋に入った一般の車は1台も無い。
c505-1	1.000	報告書は、この動きを高く評価している。	報告書はこの動きを高く評価している。	報告書は、この動きを高く評価している。
c505-2	0.984	水先人と配車係と州交通局の素早さが、より大きな人命の損失を防いだ、と。	水先人と配車係と州交通局の素早さがより大きな人命の損失を防いだ	みずさきにんと配車係と州交通局の素早さが、より大きな人命の損失を防いだ、と。
c506-1	0.951	ほぼ同じころ、当直は北端の警官に、橋の上の補修班のことを尋ねている。	ほぼ同じ頃、当直は北端の警官に橋の上の補修班のことを尋ねている。	ほぼ同じころ、当直は北端の警官に、橋の上の補修班のことを尋ねている。
c506-2	0.133	警官は、こう答えた。	景観は考古台だ。	警官は、こう答えた。
c507-1	1.000	もう1人来て自分と交代したら、橋に乗り入れて知らせに行く。	もう一人来て自分と交代したら橋に乗り入れて知らせに行く	もう1人来て自分と交代したら、橋に乗り入れて知らせに行く。
c507-2	1.000	応援が来てから、知らせに行くつもりだった	応援が来てから知らせに行くつもりだった。	応援が来てから、知らせに行くつもりだった
c508-1	1.000	その前に、船が当たった。	その前に船が当たった。	その前に、船が当たった。
c508-2	0.930	警官が知らせに行けるよりも、船のほうが早かった。	警官が知らせに行けるよりも船の方が早かった。	警官が知らせに行けるよりも、船のほうが早かった。
c509-1	1.000	ここで、番号の話に戻る。	ここで番号の話に戻る。	ここで、番号の話に戻る。
c509-2	1.000	点検員は、両端の警官と番号を交換していた。作業長の番号も持っていた。	点検員は両端の警官と番号を交換していた。作業長の番号も持っていた。	てんけん員は、両端の警官と番号を交換していた。作業長の番号も持っていた。
c510-1	0.945	橋を閉めろという指示が入ったとき、その番号は使われなかった。	橋を閉めろという指示が入った時、その番号は使われなかった。	橋を閉めろという指示が入ったとき、その番号は使われなかった。
c510-2	1.000	警官は、点検員に電話をかけなかった	警官は点検員に電話をかけなかった。	警官は、てんけん員に電話をかけなかった
c511-1	0.947	決められた手順が無かった、と報告書は書く。	決められた手順がなかったと報告書は書く。	決められた手順が無かった、と報告書は書く。
c511-2	0.896	警官と、橋の上の作業員や点検員のあいだに、即時の連絡の取り決めは無かった。	警官と橋の上の作業員や点検員との間に即時の連絡の取り決めはなかった。	警官と、橋の上の作業員やてんけん員のあいだに、即時の連絡の取り決めは無かった。
c512-1	0.755	そのとき、7人は第18径間と第20径間の車の中で休んでいた。	その時七人は第十八警官と第二十警官の車の中で休んでいた。	そのとき、7人は第18径間と第20径間の車の中で休んでいた。
c512-2	0.867	点検員は第22径間を歩いていた。	点検員は第二十二計館を歩いていた。	てんけん員は第22径間を歩いていた。
c513-1	0.706	崩れなかった径間のうち、いちばん近いのは第16径間だった。	崩れなかった桂馬のうち、一番近いのは第十六景観だった。	崩れなかった径間のうち、いちばん近いのは第16径間だった。
c513-2	1.000	本人たちは知らなかった、と報告書は書いている。	本人たちは知らなかったと報告書は書いている。	本人たちは知らなかった、と報告書は書いている。
c514-1	0.766	第20径間のいちばん北の車から、およそ892メートル。	第二十警管の一番北の車からおよそ八百九十二メートル。	第20径間のいちばん北の車から、およそ892メートル。
c514-2	0.851	第18径間の4台からは、およそ516メートルである。	Y18景観の四台からはおよそ五百十六メートルである。	第18径間の4台からは、およそ516メートルである。
c515-1	1.000	知らされて車で逃げたなら、向かう先は南だっただろう、と報告書は書く。	知らされて車で逃げたなら、向かう先は南だっただろうと報告書は書く。	知らされて車で逃げたなら、向かう先は南だっただろう、と報告書は書く。
c516-1	1.000	車は全部が南を向いていた。発電機を引いているものもある。	車は全部が南を向いていた。発電機を引いているものもある。	車は全部が南を向いていた。発電機を引いているものもある。
c516-2	1.000	向きを変えられないほど大きいものもある。中央には分離帯がある。	向きを変えられないほど大きいものもある。中央には分離帯がある。	向きを変えられないほど大きいものもある。中央には分離帯がある。
c517-1	1.000	点検員は、音を聞いた。報告書の言葉では、崩れるような雷の音。	点検員は音を聞いた。報告書の言葉では崩れるような雷の音。	てんけん員は、音を聞いた。報告書の言葉では、崩れるような雷の音。
c517-2	0.867	北へ走った。第23径間まで抜けたところで、歩いていた径間が落ちた。	北へ走った。第二十三、警官まで抜けたところで歩いていた警官が落ちた。	北へ走った。第23径間まで抜けたところで、歩いていた径間が落ちた。
c518-1	1.000	点検員は州の運用センターに崩落を伝え、無事に橋の北の端へ着いた。	点検員は州の運用センターに崩落を伝え、無事に橋の北の端へ着いた。	てんけん員は州の運用センターに崩落を伝え、無事に橋の北の端へ着いた。
c518-2	1.000	そこで警官2人と落ち合っている。	そこで警官二人と落ち合っている。	そこで警官2人と落ち合っている。
c519-1	0.741	7人は、径間とともに川へ落ちた。	七人は警官と共に川へ落ちた。	7人は、径間とともに川へ落ちた。
c519-2	1.000	1人が車の開いた窓から抜け出し、近くの残骸まで泳いだ。	一人が車の開いた窓から抜け出し、近くの残骸まで泳いだ。	1人が車の開いた窓から抜け出し、近くの残骸まで泳いだ。
c520-1	0.921	1時55分。州交通局警察の艇が、20番橋脚の近くでその1人を見つけた。	一時五十五分。州交通局、警察の手が二十番閉脚の近くでその一人を見つけた。	1時55分。州交通局警察の艇が、20番橋脚の近くでその1人を見つけた。
c520-2	1.000	重傷を負っていたが、生きていた。	重傷を負っていたが、生きていた。	重傷を負っていたが、生きていた。
c521-1	1.000	報告書の結論は、こうである。	報告書の結論はこうである。	報告書の結論は、こうである。
c521-2	0.894	警官と同じころに、点検員と作業員にも伝わっていたら。	上官と同じ頃に点検員と作業員にも伝わっていたら	警官と同じころに、てんけん員と作業員にも伝わっていたら。
c521-3	0.882	崩れない径間まで、行けたかもしれない	崩れない経過まで行けたかもしれない。	崩れない径間まで、行けたかもしれない
c522-1	0.915	個人どうしで携帯の番号を交換していただけでは、有効ではなかった。	個人同士で携帯の番号を交換していただけでは有効ではなかった。	個人どうしで携帯の番号を交換していただけでは、有効ではなかった。
c522-2	1.000	携帯型の双方向無線機なら、もっと早く届いたかもしれない、とも書かれている。	携帯型の双方向無線機ならもっと早く届いたかもしれないとも書かれている。	携帯型の双方向無線機なら、もっと早く届いたかもしれない、とも書かれている。
c601-1	0.898	船首の右舷が当たったのは、17番橋脚の北西の柱だった。	店主の右舷が当たったのは十七番橋脚の北西の柱だった。	船首のうげんが当たったのは、17番橋脚の北西の柱だった。
c601-2	0.978	当たった高さは、水面から20フィートほど上である。	当たった高さは水面から二十フィートほど上である。	当たった高さは、水面から20フィートほど上である。
c602-1	0.870	当たったときの力を、橋の設計指針の式で出してみると、	渡った時の力を橋の設計指針の式で出してみると	当たったときの力を、橋の設計指針の式で出してみると、
c602-2	0.833	橋脚の耐力の、4倍を超えた	狭脚の体力の四倍を超えた	橋脚の耐力の、4倍を超えた
c603-1	0.857	耐力の値は5509キップ。1キップは1000ポンドだから、	体力の値は五千五百九キップ。一キップは千ポンドだから	耐力の値は5509キップ。1キップは1000ポンドだから、
c603-2	0.902	横向きにおよそ2500トンぶんの力まで、という計算になる。	横向きにおよそ二千五百トン分の力までという計算になる。	横向きにおよそ2500トンぶんの力まで、という計算になる。
c604-1	0.979	17番橋脚は、4本の柱を梁でつないだ形の橋脚である。	十七番。橋脚は四本の柱を梁でつないだ形の橋脚である。	17番橋脚は、4本の柱を梁でつないだ形の橋脚である。
c604-2	0.962	報告書は、そのうち2本が耐力を超えて壊れた、と書いている。	報告書はそのうち2本が体力を超えて壊れたと書いている。	報告書は、そのうち2本が耐力を超えて壊れた、と書いている。
c605-1	1.000	1時29分22秒。	一時二十九分二十二秒。	1時29分22秒。
c605-2	1.000	接触から13秒で、橋脚が崩れた	接触から13秒で橋脚が崩れた。	接触から13秒で、橋脚が崩れた
c606-1	0.846	続いて、中央の3径間が落ちた。	続いて中央の三景館が落ちた。	続いて、中央の3径間が落ちた。
c606-2	0.909	北側でも、橋脚3基と径間3つが続けて落ちている。	北側でも橋脚三基と警官三つが続けて落ちている。	北側でも、橋脚3基と径間3つが続けて落ちている。
c607-1	1.000	落ちた橋桁は、川へ、そして船の船首の上へ落ちた。	落ちた橋桁は川へ、そして船の船首の上へ落ちた。	落ちた橋桁は、川へ、そして船の船首の上へ落ちた。
c607-2	0.926	船首にいた甲板員1人が、逃げる途中で軽いけがを負っている。	船首にいた甲板員一人が逃げる途中で軽い怪我を負っている。	船首にいたかんぱん員1人が、逃げる途中で軽いけがを負っている。
c608-1	1.000	ここで、まず疑われるところがある。	ここでまず疑われるところがある。	ここで、まず疑われるところがある。
c608-2	0.963	橋の骨組みが、1本壊れれば落ちる造りだったからではないか。	橋の骨組みが一本壊れれば落ちる作りだったからではないか。	橋の骨組みが、1本壊れれば落ちる造りだったからではないか。
c609-1	0.889	第1章で置いた、非冗長鋼引張部材である。	第一章で置いた非常調鋼引張部材である。	第1章で置いた、非冗長鋼ひっぱり部材である。
c609-2	0.792	キー橋の川の上の3径間は、たしかにその部材で組まれていた。	ひい橋の川の上の三景館は確かにその部材で組まれていた。	キー橋の川の上の3径間は、たしかにその部材で組まれていた。
c610-1	0.933	だから24か月ごとに、手の届く距離での検査が義務づけられていた。	だから二十四ヶ月ごとに手の届く距離での検査が義務付けられていた。	だから24か月ごとに、手の届く距離での検査が義務づけられていた。
c610-2	1.000	最後の検査は2023年5月で、不具合は見つかっていない。	最後の検査は2023年5月で不具合は見つかっていない。	最後の検査は2023年5月で、不具合は見つかっていない。
c611-1	1.000	報告書は、この事故の要因ではなかったものを6つ挙げている。	報告書はこの事故の要因ではなかったものを六つ挙げている。	報告書は、この事故の要因ではなかったものを6つ挙げている。
c611-2	1.000	天候。乗員の資格。飲酒や薬物。燃料の質。前日の停泊中の停電。そして。	天候、乗員の資格、飲酒や薬物、燃料の質、前日の停泊中の停電、そして	天候。乗員の資格。飲酒や薬物。燃料の質。前日の停泊中の停電。そして。
c612-1	1.000	6つ目が、その部材だった。	六つ目がその部材だった。	6つ目が、その部材だった。
c612-2	1.000	その部材は、要因ではなかった	その部材は要因ではなかった。	その部材は、要因ではなかった
c613-1	1.000	理由は単純である。先に壊れたのは骨組みではなく、それを支えていた橋脚だった。	理由は単純である。先に壊れたのは骨組みではなく、それを支えていた橋脚だった。	理由は単純である。先に壊れたのは骨組みではなく、それを支えていた橋脚だった。
c613-2	0.938	力の道筋から、支点そのものが抜けた。	力の道筋から視点そのものが抜けた。	ちからの道筋から、支点そのものが抜けた。
c614-1	0.949	報告書はこう書いている。橋脚のほうには、その部材は使われていない。	報告書はこう書いている。「橋脚の方にはその部材は使われていない。」	報告書はこう書いている。橋脚のほうには、その部材は使われていない。
c614-2	0.926	17番橋脚が崩れたとき、力の道筋の重要な部分が取り除かれた。	十七番。橋脚が崩れた時、力の道筋の重要な部分が取り除かれた。	17番橋脚が崩れたとき、ちからの道筋の重要な部分が取り除かれた。
c615-1	1.000	つまり、骨組みの側は原因ではなかった。	つまり骨組みの側は原因ではなかった。	つまり、骨組みの がわは原因ではなかった。
c615-2	0.786	寄与要因に挙がったのも、船が橋脚に届いたときの備えの側だった。	十、要員に上がったのも、船が橋脚に届いた時の備えのガワだった。	寄与要因に挙がったのも、船が橋脚に届いたときの備えの がわだった。
c616-1	1.000	報告書の言葉では、橋のかなりの部分が川に崩れ落ちた。	報告書の言葉では、橋のかなりの部分が川に崩れ落ちた	報告書の言葉では、橋のかなりの部分が川に崩れ落ちた。
c616-2	1.000	橋脚も、床版も、トラスも、船首と前の船倉の上に落ちた。	橋脚も床版もトラスも船首と前の船倉の上に落ちた。	橋脚も、床版も、トラスも、船首と前の船倉の上に落ちた。
c617-1	1.000	船の被害は、右舷の船首に集中していた。	船の被害は右舷の船首に集中していた。	船の被害は、うげんの船首に集中していた。
c617-2	0.929	損害額は1800万ドルを超えている。積荷の損害は確定していない。	損害額は千八百万ドルを超えている。積み荷の損害は確定していない。	損害額は1800万ドルを超えている。積み荷の損害は確定していない。
c618-1	0.842	人の被害は、亡くなった補修班6人、重傷1人。	人の被害は亡くなった保守派6人、重傷1人。	人の被害は、亡くなった補修班6人、重傷1人。
c618-2	0.829	船の乗員が軽傷1人。点検員にけがは無かった。	船の乗員が軽傷を一人、点検員に怪我はなかった。	船の乗員が軽傷1人。てんけん員にけがは無かった。
c619-1	1.000	捜索が生存者を探す段階を終えたのは、その日の午後8時27分。	捜索が生存者を探す段階を終えたのは、その日の午後8時27分	捜索が生存者を探す段階を終えたのは、その日の午後8時27分。
c619-2	1.000	翌27日、沈んだ車の中から2人が見つかった。	翌27日、沈んだ車の中から2人が見つかった。	翌27日、沈んだ車の中から2人が見つかった。
c620-1	1.000	残る4人も、5月7日までに見つかっている。	残る四人も五月七日までに見つかっている。	残る4人も、5月7日までに見つかっている。
c620-2	1.000	6人は全員、車の中で見つかった。	六人は全員車の中で見つかった。	6人は全員、車の中で見つかった。
c701-1	0.889	事故のあと、船は現場に残された。	事故の後、船は現場に残された。	事故のあと、船は現場に残された。
c701-2	1.000	調査員が乗り込んだのは、4月1日である。	調査員が乗り込んだのは四月一日である。	調査員が乗り込んだのは、4月1日である。
c702-1	1.000	目的は1つ。なぜ停電したのかを突き止めることだった。	目的は一つ。なぜ停電したのかを突き止めることだった。	目的は1つ。なぜ停電したのかを突き止めることだった。
c702-2	1.000	船主、運航会社、造船所、船籍国、船の検査機関である船級協会も加わった。	船主、運航会社、造船所、船籍国、船の検査機関である船級協会も加わった。	船主、運航会社、造船所、船籍国、船の検査機関である船級協会も加わった。
c703-1	1.000	まず、事故の日と同じ配電の形に戻すところから始めた。	まず事故の日と同じ配電の形に戻すところから始めた。	まず、事故の日と同じ配電の形に戻すところから始めた。
c703-2	0.837	1号の変圧器につながる、高圧の遮断器を閉じる。	一号の部屋付きにつながる高圧の遮断器を閉じる。	1号の変圧器につながる、高圧の遮断器を閉じる。
c704-1	0.938	ところが、その遮断器は閉じなかった。	ところが、その遮断機は閉じなかった。	ところが、その遮断器は閉じなかった。
c704-2	0.950	造船所の遮断器の専門家を呼ぶことになった。	造船所の遮断機の専門家を呼ぶことになった。	造船所の遮断器の専門家を呼ぶことになった。
c705-1	0.923	4月10日。専門家が来て試すと、遮断器は何度も正常に動いた。	四月十日、専門家が来て試すと、遮断機は何度も正常に動いた。	4月10日。専門家が来て試すと、遮断器は何度も正常に動いた。
c705-2	0.936	変圧器を切り替えたときだけ、警報が出て閉じなくなる。	変圧器を切り替えた時だけ警報が出て閉じなくなる。	変圧器を切り替えたときだけ、警報が出て閉じなくなる。
c706-1	1.000	造船所は、これは無関係だと判断した。	造船所はこれは無関係だと判断した。	造船所は、これは無関係だと判断した。
c706-2	1.000	切り替えを繰り返した試験のせいで出た、誤った警報だ、と。	切り替えを繰り返した試験のせいで出た誤った警報だと。	切り替えを繰り返した試験のせいで出た、誤った警報だ、と。
c707-1	0.941	このときの調査は、原因を確かめられないまま終わっている。	この時の調査は原因を確かめられないまま終わっている。	このときの調査は、原因を確かめられないまま終わっている。
c707-2	0.955	1号の変圧器はつないだままにされた。停電がまた起きるかを見るためである。	一号の変圧器は繋いだままにされた。停電がまた起きるかを見るためである。	1号の変圧器はつないだままにされた。停電がまた起きるかを見るためである。
c708-1	0.872	4月12日。前ぶれも警報も無く、低圧が落ちた。	四月十二日、前触れも警報もなく低圧が落ちた。	4月12日。前ぶれも警報も無く、低圧が落ちた。
c708-2	1.000	3月26日の停電と、同じ形だった。	三月二十六日の停電と同じ形だった。	3月26日の停電と、同じ形だった。
c709-1	0.962	4月24日、造船所の技術者が電力解析器を2台取り付けた。	四月二十四日、造船所の技術者が電力解析機を二台取り付けた	4月24日、造船所の技術者が電力解析器を2台取り付けた。
c709-2	0.875	さまざまな機器を動かして負荷を変えても、異常は出ない。	様々な機器を動かして負荷を変えても異常は出ない	さまざまな機器を動かして負荷を変えても、異常は出ない。
c710-1	0.875	4月29日、午前6時12分ごろ。また同じ遮断器が落ちた。	四月二十九日午前六時十二分頃、また同じ遮断機が落ちた	4月29日、午前6時12分ごろ。また同じ遮断器が落ちた。
c710-2	0.923	今度は、測る道具が付いていた。	今度は測る道具がついていた。	今度は、測る道具が付いていた。
c711-1	0.964	解析器の記録は、故障が変圧器より上流にあることを示していた。	解析機の記録は故障が変圧器より上流にあることを示していた。	解析器の記録は、故障が変圧器より上流にあることを示していた。
c711-2	1.000	調査は、その遮断器そのものへ向かう。	調査はその遮断器そのものへ向かう。	調査は、その遮断器そのものへ向かう。
c712-1	0.873	この遮断器には、不足電圧引外し装置という部品が付いている。	この遮断機には不足電圧引きずし装置という部品がついている。	この遮断器には、不足電圧引外し装置という部品が付いている。
c712-2	1.000	電圧が下がると遮断器を開く、安全のための装置である。	電圧が下がると遮断器を開く安全のための装置である。	電圧が下がると遮断器を開く、安全のための装置である。
c713-1	0.952	裏を返すと、遮断器が閉じたままでいるためには、	裏を返すと、遮断機が閉じたままでいるためには	裏を返すと、遮断器が閉じたままでいるためには、
c713-2	1.000	この装置に電気が来ていなければならない。	この装置に電気が来ていなければならない。	この装置に電気が来ていなければならない。
c714-1	0.963	技術者が調べると、途中の接点はどれも正常だった。それなのに、	医術者が調べると、途中の接点はどれも正常だった。それなのに	技術者が調べると、途中の接点はどれも正常だった。それなのに、
c714-2	1.000	装置は、電気を失っていた	装置は電気を失っていた。	装置は、電気を失っていた
c715-1	0.944	そこで、信号線を1本ずつ当たっていった。	そこで信号線を一本ずつあたっていった。	そこで、信号線を1本ずつ当たっていった。
c715-2	0.900	緩んだつなぎ目が1つ見つかる。ワゴ社の3口の端子台。番号は381。	緩んだつなぎ目が一つ見つかる。輪暴車の三口の端子台、番号は三百八十一。	緩んだつなぎ目が1つ見つかる。ワゴ社の3口のたんし台。番号は381。
c716-1	1.000	報告書は、その端子台の右の線をワイヤーワン、左をワイヤースリーと呼ぶ。	報告書はその端子台の右の線をワイヤーワン、左をワイヤースリーと呼ぶ。	報告書は、そのたんし台の右の線をワイヤーワン、左をワイヤースリーと呼ぶ。
c716-2	1.000	ワイヤーワンを抜いて挿し直すと、装置に電気が戻った。	ワイヤーワンを抜いて挿し直すと装置に電気が戻った。	ワイヤーワンを抜いて挿し直すと、装置に電気が戻った。
c717-1	0.800	遮断器は、設計どおりに閉じた。	遮断機は設計通りに閉じた。	遮断器は、設計どおりに閉じた。
c717-2	1.000	1号の変圧器に電気が通り、低圧の母線が生き返った。	一号の変圧器に電気が通り、低圧の母線が生き返った。	1号の変圧器に電気が通り、低圧の母線が生き返った。
c718-1	1.000	技術者は、もう一度その線を外してみた。	技術者はもう一度その線を外してみた。	技術者は、もう一度その線を外してみた。
c718-2	1.000	遮断器が開き、船は停電した。3月26日と同じ形の、警報の出ない停電である。	遮断器が開き、船は停電した。三月二十六日と同じ形の警報の出ない停電である。	遮断器が開き、船は停電した。3月26日と同じ形の、警報の出ない停電である。
c719-1	1.000	ここで、NTSBは結論を出した。	ここでNTSBは結論を出した。	ここで、NTSBは結論を出した。
c719-2	1.000	最初の停電は、この線で起きた	最初の停電はこの線で起きた。	最初の停電は、この線で起きた
c720-1	0.905	材料研究室に運んで調べると、端子台の口の面と、	材料研究室に運んで調べると、端次第の口の面と	ざいりょう研究室に運んで調べると、たんし台の口の面と、
c720-2	1.000	線の先の金具に、放電で焼けた跡があった。	線の先の金具に放電で焼けた跡があった。	線の先の金具に、放電で焼けた跡があった。
c721-1	1.000	先端が口の面に触れているだけでも、電気は通ってしまう。	先端が口の面に触れているだけでも電気は通ってしまう。	先端が口の面に触れているだけでも、電気は通ってしまう。
c721-2	0.750	だから遮断器は、ときどき正常に動いた。	だから遮断機は時々正常に動いた。	だから遮断器は、ときどき正常に動いた。
c722-1	1.000	しかもこの外れ方は、人が手で開いたのと同じ形をしている。	しかもこの外れ方は人が手で開いたのと同じ形をしている。	しかもこの外れ方は、人が手で開いたのと同じ形をしている。
c722-2	1.000	電力管理装置は、異常と見なさない。	電力管理装置は異常と見なさない。	電力管理装置は、異常と見なさない。
c722-3	0.880	警報は、ひとつも鳴らなかった	警報は一つも鳴らなかった。	警報は、ひとつも鳴らなかった
c723-1	1.000	では、なぜその線は緩んだのか。	では、なぜその線は緩んだのか。	では、なぜその線は緩んだのか。
c723-2	0.912	船を造るとき、配電盤の線には1本ずつ、ラベルの帯が巻かれていた。	船を作る時、配電盤の線には一本ずつラベルの帯が巻かれていた。	船を造るとき、配電盤の線には1本ずつ、ラベルの帯が巻かれていた。
c724-1	1.000	熱で縮ませる薄い筒に、つなぐべき端子台の番号が刷ってある。	熱で縮ませる薄い筒につなぐべき端子台の番号が刷ってある。	熱で縮ませる薄い筒に、つなぐべきたんし台の番号が刷ってある。
c724-2	1.000	線を正しい回路につなぐための、間違いを防ぐ工夫である。	線を正しい回路につなぐための間違いを防ぐ工夫である。	線を正しい回路につなぐための、間違いを防ぐ工夫である。
c725-1	0.943	ワイヤーワンでは、その帯が、先の金具の青い襟まで覆っていた。	ワイヤー1ではその帯が先の金具の青い襟まで覆っていた	ワイヤーワンでは、その帯が、先の金具の青い襟まで覆っていた。
c725-2	0.800	覆ったぶんだけ、外まわりが太くなる。	覆った分だけ外回りが太くなる。	おおったぶんだけ、外まわりが太くなる。
c725-3	0.903	帯が、線を奥まで入れさせなかった	語尾が線を奥まで入れさせなかった。	帯が、線を奥まで入れさせなかった
c726-1	1.000	報告書の推定原因を、短く言えばこうなる。	報告書の推定原因を短く言えばこうなる。	報告書の推定原因を、短く言えばこうなる。
c726-2	1.000	ラベルの帯の付け方が悪く、端子台の信号線が緩み、停電した。	ラベルの帯の付け方が悪く、端子台の信号線が緩み停電した。	ラベルの帯の付け方が悪く、たんし台の信号線が緩み、停電した。
c726-3	1.000	それが、橋の近くで推進と操舵を失わせた。	それが橋の近くで推進と操舵を失わせた。	それが、橋の近くで推進と操舵を失わせた。
c801-1	0.833	キー橋に船が当たったのは、2024年が初めてではない。	日吉に船が立ったのは2024年が初めてではない。	キー橋に船が当たったのは、2024年が初めてではない。
c802-1	1.000	1980年。日本船籍の390フィートのコンテナ船が、	1980年、日本船籍の390フィートのコンテナ船が	1980年。日本船籍の390フィートのコンテナ船が、
c802-2	0.826	橋からおよそ600ヤードのところで操舵を失った。	橋からおよそ六百ヤードのところでSODAを失った。	橋からおよそ600ヤードのところで操舵を失った。
c803-1	0.846	船の名はブルー・ナゴヤ。重さはダリのおよそ10分の1である。	船の名はブルー名古屋。重さはダリのおよそ十分の一である。	船の名はブルー・ナゴヤ。重さはダリのおよそ10分の1である。
c803-2	0.867	当たった先は、同じ17番橋脚だった。	渡った先は同じ十七番橋脚だった。	当たった先は、同じ17番橋脚だった。
c804-1	0.915	このときは、潰れて力を吸うコンクリートと木の防衝工が船を止めた。	この時は潰れて力を吸うコンクリートと木の防潮工が船を止めた。	このときは、潰れて力を吸うコンクリートと木の防衝工が船を止めた。
c804-2	1.000	柱に残ったのは、表面の軽い傷だけである。	柱に残ったのは表面の軽い傷だけである。	はしらに残ったのは、表面の軽い傷だけである。
c805-1	0.744	防衝工は壊れたが、元の設計どおりに造り直された。	道承公は壊れたが、元の設計通りに作り直された。	防衝工は壊れたが、元の設計どおりに造り直された。
c805-2	0.960	同じ橋脚に、44年後、10倍の重さの船が当たることになる。	同じ橋脚に四十四年後、十倍の重さの船が当たることになる。	同じ橋脚に、44年後、10倍の重さの船が当たることになる。
c806-1	0.927	橋が架かってからの47年で、船は大きくなった。	橋がかかってからの四十七年で船は大きくなっ	橋が架かってからの47年で、船は大きくなった。
