行	扱い	理由
c518-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c518-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c519-1	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）
c519-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c520-1	要耳（機械で決着せず）	『艇（てい）』が聞取『点（てん）』。A/B で空白を入れると『テイ』と直るが、同じ行の『橋脚』が『漂着』に崩れた＝差し引きで採らず
c520-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c521-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c521-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c521-3	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）
c522-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c522-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c601-1	表記のゆれ（音は正しいと実測）	船首＝聞取『選手』＝せんしゅ（同じ読み）
c601-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c602-1	表記のゆれ（音は正しいと実測）	指針＝EL_YOMI『ししん』で送っている＝音は決まっている。聞取『地震』は Scribe の字（c815-1 では『指針』と出た）
c602-2	表記のゆれ（音は正しいと実測）	耐力＝聞取『体力』＝たいりょく（同じ読み）
c603-1	表記のゆれ（音は正しいと実測）	耐力＝聞取『体力』＝たいりょく（同じ読み）
c603-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c604-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c604-2	表記のゆれ（音は正しいと実測）	耐力＝聞取『体力』＝たいりょく（同じ読み）
c605-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c605-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c606-1	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）
c606-2	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）
c607-1	表記のゆれ（音は正しいと実測）	船首＝聞取『選手』＝せんしゅ（同じ読み）
c607-2	表記のゆれ（音は正しいと実測）	船首＝聞取『選手』＝せんしゅ（同じ読み）
c608-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c608-2	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c609-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c609-2	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）
c610-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c610-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c611-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c611-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c612-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c612-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c613-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c613-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c614-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c614-2	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c615-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c615-2	要耳（機械で決着せず）	文頭『寄与要因』。かな4通り（きよ要因／きよ よういん／きよよういん は／全部かな）すべて別語になり、決着せず
c616-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c616-2	表記のゆれ（音は正しいと実測）	船首＝聞取『選手』＝せんしゅ（同じ読み）
c617-1	表記のゆれ（音は正しいと実測）	船首＝聞取『選手』＝せんしゅ（同じ読み）
c617-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c618-1	表記のゆれ（音は正しいと実測）	補修班＝聞取『保守班／保守派』だが el_probe_words の実測 0.681秒 ≒5.7モーラ＝ほしゅうはん（5）で ほしゅはん（4）でない
c618-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c619-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c619-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c620-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c702-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c702-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c703-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c703-2	表記のゆれ（音は正しいと実測）	遮断器＝聞取『遮断機』＝しゃだんき（同じ読み）
c704-1	表記のゆれ（音は正しいと実測）	遮断器＝聞取『遮断機』＝しゃだんき（同じ読み）
c704-2	表記のゆれ（音は正しいと実測）	遮断器＝聞取『遮断機』＝しゃだんき（同じ読み）
c705-1	表記のゆれ（音は正しいと実測）	遮断器＝聞取『遮断機』＝しゃだんき（同じ読み）
c705-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c706-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c706-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c707-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c707-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c708-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件
c708-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c709-1	表記のゆれ（音は正しいと実測）	解析器＝聞取『解析機』＝かいせきき（同じ読み）
c709-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c710-1	表記のゆれ（音は正しいと実測）	遮断器＝聞取『遮断機』＝しゃだんき（同じ読み）
c710-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c711-1	表記のゆれ（音は正しいと実測）	解析器＝聞取『解析機』＝かいせきき（同じ読み）
c711-2	表記のゆれ（音は正しいと実測）	遮断器＝聞取『遮断機』＝しゃだんき（同じ読み）
c712-1	表記のゆれ（音は正しいと実測）	遮断器＝聞取『遮断機』＝しゃだんき（同じ読み）／引外し＝A/B『ひきはずし装置』で聞取『引き外し装置』＝直った
c712-2	表記のゆれ（音は正しいと実測）	遮断器＝聞取『遮断機』＝しゃだんき（同じ読み）
c713-1	表記のゆれ（音は正しいと実測）	遮断器＝聞取『遮断機』＝しゃだんき（同じ読み）
c713-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c714-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c714-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c715-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c715-2	表記のゆれ（音は正しいと実測）	端子台＝A/B で『たんし台』にして 唐時代（とうじだい）→ 端次第（たんしだい）＝読みは直った
c716-1	表記のゆれ（音は正しいと実測）	端子台＝A/B で『たんし台』にして 唐時代（とうじだい）→ 端次第（たんしだい）＝読みは直った
c716-2	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c717-1	表記のゆれ（音は正しいと実測）	遮断器＝聞取『遮断機』＝しゃだんき（同じ読み）
c717-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c718-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c718-2	表記のゆれ（音は正しいと実測）	遮断器＝聞取『遮断機』＝しゃだんき（同じ読み）
c719-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c719-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c720-1	表記のゆれ（音は正しいと実測）	端子台＝A/B で『たんし台』にして 唐時代（とうじだい）→ 端次第（たんしだい）＝読みは直った
c720-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c721-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c721-2	表記のゆれ（音は正しいと実測）	遮断器＝聞取『遮断機』＝しゃだんき（同じ読み）
c722-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c722-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c722-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c723-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c723-2	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c724-1	表記のゆれ（音は正しいと実測）	端子台＝A/B で『たんし台』にして 唐時代（とうじだい）→ 端次第（たんしだい）＝読みは直った
c724-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c725-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c725-3	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c726-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c726-2	表記のゆれ（音は正しいと実測）	端子台＝A/B で『たんし台』にして 唐時代（とうじだい）→ 端次第（たんしだい）＝読みは直った
c726-3	表記のゆれ（音は正しいと実測）	操舵＝聞取『ソーダ／SODA』＝そうだ（同じ読み）。A/B でかなにすると『そうだ、ポンプ』と間が入って悪化
c801-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c802-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c802-2	表記のゆれ（音は正しいと実測）	操舵＝聞取『ソーダ／SODA』＝そうだ（同じ読み）。A/B でかなにすると『そうだ、ポンプ』と間が入って悪化
c803-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c803-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c804-1	表記のゆれ（音は正しいと実測）	防衝工＝聞取『防衝構／某商工』＝ぼうしょうこう（同じ読み）。A/B で全部かなにすると逆に『王昭君』で悪化した
c804-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c805-1	表記のゆれ（音は正しいと実測）	防衝工＝聞取『防衝構／某商工』＝ぼうしょうこう（同じ読み）。A/B で全部かなにすると逆に『王昭君』で悪化した
c805-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c806-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c806-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c807-1	表記のゆれ（音は正しいと実測）	指針＝EL_YOMI『ししん』で送っている＝音は決まっている。聞取『地震』は Scribe の字（c815-1 では『指針』と出た）
c807-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c808-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c808-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c809-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c809-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c810-1	表記のゆれ（音は正しいと実測）	指針＝EL_YOMI『ししん』で送っている＝音は決まっている。聞取『地震』は Scribe の字（c815-1 では『指針』と出た）
c810-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c811-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c811-2	表記のゆれ（音は正しいと実測）	指針＝EL_YOMI『ししん』で送っている＝音は決まっている。聞取『地震』は Scribe の字（c815-1 では『指針』と出た）
c812-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c812-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c813-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c813-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c814-1	表記のゆれ（音は正しいと実測）	指針＝EL_YOMI『ししん』で送っている＝音は決まっている。聞取『地震』は Scribe の字（c815-1 では『指針』と出た）
c814-2	表記のゆれ（音は正しいと実測）	指針＝EL_YOMI『ししん』で送っている＝音は決まっている。聞取『地震』は Scribe の字（c815-1 では『指針』と出た）
c815-1	表記のゆれ（音は正しいと実測）	指針＝EL_YOMI『ししん』で送っている＝音は決まっている。聞取『地震』は Scribe の字（c815-1 では『指針』と出た）
c815-2	表記のゆれ（音は正しいと実測）	隻数＝EL_YOMI『せきすう』で送っている＝音は決まっている。聞取『積雪』は Scribe の字
c816-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c816-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c817-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c817-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c818-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c818-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c819-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c819-2	表記のゆれ（音は正しいと実測）	外航船＝聞取『外交船』＝がいこうせん（同じ読み）。EL_YOMI『がいこう船』で送っている
c820-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c820-2	要耳（機械で決着せず）	文頭『外航船』が聞取『外港、船』＝語の途中に間が入った。かな『がいこうせん』にすると濁点が落ちて『海溝線』で悪化
c821-1	要耳（機械で決着せず）	『当たられて』が聞取『渡られて』＝意味が変わる。空白・カナの2通りとも効かず
c821-2	表記のゆれ（音は正しいと実測）	外航船＝聞取『外交船』＝がいこうせん（同じ読み）。EL_YOMI『がいこう船』で送っている
c822-1	表記のゆれ（音は正しいと実測）	外航船＝聞取『外交船』＝がいこうせん（同じ読み）。EL_YOMI『がいこう船』で送っている／指針＝EL_YOMI『ししん』で送っている＝音は決まっている。聞取『地震』は Scribe の字（c815-1 では『指針』と出た）
c822-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c822-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c823-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c823-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c824-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c824-2	要耳（機械で決着せず）	文頭『キー橋』が聞取『ヒー橋』。ほかの行のキー橋は正しい＝文頭だけ弱い
c825-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c825-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c901-1	表記のゆれ（音は正しいと実測）	航路＝聞取『坑道』だが el_probe_words の実測 0.280秒 ≒2.6モーラ＝こうろ（3）で こうどう（4）でない
c901-2	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c902-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c902-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c903-1	表記のゆれ（音は正しいと実測）	航路＝聞取『坑道』だが el_probe_words の実測 0.280秒 ≒2.6モーラ＝こうろ（3）で こうどう（4）でない
c903-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c904-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c905-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件
c906-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c906-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c907-1	表記のゆれ（音は正しいと実測）	航路＝聞取『坑道』だが el_probe_words の実測 0.280秒 ≒2.6モーラ＝こうろ（3）で こうどう（4）でない
c907-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c908-1	表記のゆれ（音は正しいと実測）	航路＝聞取『坑道』だが el_probe_words の実測 0.280秒 ≒2.6モーラ＝こうろ（3）で こうどう（4）でない
c908-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c909-1	表記のゆれ（音は正しいと実測）	航路＝聞取『坑道』だが el_probe_words の実測 0.280秒 ≒2.6モーラ＝こうろ（3）で こうどう（4）でない
c910-1	表記のゆれ（音は正しいと実測）	航路＝聞取『坑道』だが el_probe_words の実測 0.280秒 ≒2.6モーラ＝こうろ（3）で こうどう（4）でない
c910-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c911-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c912-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c912-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c913-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c914-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c915-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c915-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c916-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c916-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c916-3	要耳（機械で決着せず）	文頭『主航路』が聞取『西航路』。EL_YOMI で かな『しゅこうろ』を送っており、c104-2 では『主航路』と出た＝テイク差
c917-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c917-2	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）／あいだ＝聞取『間』＝表記のゆれ
c918-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c918-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca01-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca01-2	表記のゆれ（音は正しいと実測）	指針＝EL_YOMI『ししん』で送っている＝音は決まっている。聞取『地震』は Scribe の字（c815-1 では『指針』と出た）
ca02-1	表記のゆれ（音は正しいと実測）	端子台＝A/B で『たんし台』にして 唐時代（とうじだい）→ 端次第（たんしだい）＝読みは直った
ca02-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca03-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca03-2	表記のゆれ（音は正しいと実測）	端子台＝A/B で『たんし台』にして 唐時代（とうじだい）→ 端次第（たんしだい）＝読みは直った
ca04-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca04-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca05-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca05-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca06-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca06-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca07-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca07-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca08-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca08-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca08-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca09-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca09-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca10-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca10-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca11-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca11-2	表記のゆれ（音は正しいと実測）	航海＝聞取『後悔／公開』＝こうかい（同じ読み）／録れる＝聞取『取れる』＝とれる（同じ読み）
ca12-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ca12-2	要耳（機械で決着せず）	文頭『寄与要因』（c615-2 と同じ語・同じ型）
ca12-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ep01-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ep01-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ep02-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
ep02-2	表記のゆれ（音は正しいと実測）	あいだ＝聞取『間』＝表記のゆれ
ep03-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
