場面	一致率	送った文	聞こえた文	送信文
c401-2	1.000	信号は3か所へ同時に流れている。消防署2つと、通信棟である。	信号は三か所へ同時に流れている。消防署二つと通信棟である。	信号は3か所へ同時に流れている。消防署2つと、通信棟である。
c402-1	0.980	ほぼ同じ時刻、北西へ0.9マイル離れた別の施設の門衛所で、	ほぼ同じ時刻、北西0.9マイル離れた別の施設の門衛所で	ほぼ同じ時刻、北西へ0.9マイル離れた別の施設の門衛所で、
c402-2	1.000	人の汚染を測る装置が鳴った。	人の汚染を測る装置が鳴った。	人の汚染を測る装置が鳴った。
c403-1	1.000	報告書は、その様子をこう書いている。	報告書はその様子をこう書いている。	報告書は、その様子をこう書いている。
c403-2	1.000	針は全部、振り切れていた	針は全部振り切れていた。	針は全部、振り切れていた
c404-1	1.000	しかも、装置は元に戻せなかった。ただし施設の制御室の計器は、	しかも装置は元に戻せなかった。ただし、施設の制御室の計器は	しかも、装置は元に戻せなかった。ただし施設の制御室の計器は、
c404-2	0.923	放出を示していない。門衛所を測っても、背景の値だけである。	放出を示していない。毛営所を測っても背景の値だけである。	ほうしゅつを示していない。門衛所を測っても、背景の値だけである。
c405-1	0.950	つまりこの時点では、誰にも意味が分からない。	つまり、この時点では誰にも意味がわからない。	つまりこの時点では、誰にも意味が分からない。
c405-2	1.000	現場は火災として動いた。6人が3号車に乗り、副隊長は自分の車で出た。	現場は火災として動いた。六人が三号車に乗り、副隊長は自分の車で出た。	現場は火災として動いた。6人が3号車に乗り、副隊長は自分の車で出た。
c406-1	1.000	9時2分、警報は試験場全体の無線に流れた。	九時二分、警報は試験場全体の無線に流れた。	9時2分、警報は試験場全体の無線に流れた。
c406-2	1.000	同じ通報で、放射線の管理をする技術者を呼ぶよう頼んでいる。	同じ通報で放射線の管理をする技術者を呼ぶよう頼んでいる。	同じ通報で、放射線の管理をする技術者を呼ぶよう頼んでいる。
c407-1	1.000	9時4分、隣の炉の技術者が現場へ向かった。	九時四分、隣の炉の技術者が現場へ向かった。	9時4分、隣の炉の技術者が現場へ向かった。
c407-2	1.000	途中で、警備員から空気呼吸器を受け取っている。	途中で警備員から空気呼吸器を受け取っている。	途中で、警備員から空気呼吸器を受け取っている。
c408-1	0.889	9時10分ごろ、消防が到着した。中央施設から8マイル。	九時十分頃、消防が到着した。中央施設から八マイル	9時10分ごろ、消防が到着した。中央施設から8マイル。
c408-2	0.945	副隊長は、建屋の上に出ている蒸気を、いつもどおりだと見ている。	副隊長は建屋の上に出ている蒸気をいつも通りだと見ている。	副隊長は、建屋の上に出ている蒸気を、いつもどおりだと見ている。
c409-1	1.000	隊長は門衛所に入り、炉の制御室に電話をかけた。誰も出ない。	隊長は門衛所に入り、炉の制御室に電話をかけた。誰も出ない。	隊長は門衛所に入り、炉の制御室に電話をかけた。誰も出ない。
c409-2	0.900	そのあいだ、どこかで警報の音が鳴り続けていた。	その間、どこかで警報の音が鳴り続けていた。	そのあいだ、どこかで警報の音が鳴り続けていた。
c410-1	0.943	9時12分、消防車が構内に入る。副隊長は南東の扉へ向かった。	九時十二分、消防車が校内に入る。副隊長は南東の扉へ向かった	9時12分、消防車が構内に入る。副隊長は南東の扉へ向かった。
c410-2	0.944	鍵がかかっている。蹴り、叩いた。応答は無い。	鍵がかかっている。蹴り、叩いた。応答はない。	鍵がかかっている。蹴り、叩いた。応答は無い。
c411-1	0.984	別の入口から6人が中へ入った。持っていた線量計2台が示したのは、	別の入り口から六人が中へ入った。持っていた線量計二台が示したのは	別の入口から6人が中へ入った。持っていた線量計2台が示したのは、
c411-2	0.939	毎時1.5レントゲン。人が働いてよい場所の値ではない。	毎時一点五レントゲン。人が働いて良い場所の値ではない。	毎時1.5レントゲン。人が働いてよい場所の値ではない。
c412-1	0.950	副隊長は、消防車を構外の道路まで下げさせた。	副隊長は消防車を郊外の道路まで下げさせた。	副隊長は、消防車を構外の道路まで下げさせた。
c412-2	1.000	中に入ってから、まだ2分半である。火も煙も人も、見ていない。	中に入ってからまだ二分半である。火も煙も人も見ていない。	中に入ってから、まだ2分半である。火も煙も人も、見ていない。
c413-1	0.885	9時15分、副隊長は線量計を持って、もう一度ひとりで入った。	九時十五分、副隊長は線量計を持ってもう一度一人で入った。	9時15分、副隊長は線量計を持って、もう一度ひとりで入った。
c413-2	1.000	炉の運転階へ上がる階段の、手前までである。	炉の運転階へ上がる階段の手前までである。	炉の運転階へ上がる階段の、手前までである。
c414-1	0.936	このとき彼が制御室で見たものを、報告書は残している。	この時彼が制御室で見たものを報告書は残している。	このとき彼が制御室で見たものを、報告書は残している。
c414-2	0.870	上着が3人ぶん、残っていた	上着が三人分残っていた。	上着が3人ぶん、残っていた
c415-1	1.000	弁当箱と、コーヒーのカップも一緒だった。制御盤の明かりは消え、	弁当箱とコーヒーのカップも一緒だった。制御盤の明かりは消え	弁当箱と、コーヒーのカップも一緒だった。制御盤の明かりは消え、
c415-2	1.000	その先は暗い。呼吸器の面体、つまり顔を覆う窓が曇って、よく見えなかった。	その先は暗い。呼吸器の面体、つまり顔を覆う窓が曇ってよく見えなかった。	その先は暗い。呼吸器の面体、つまり顔を覆う窓が曇って、よく見えなかった。
c416-1	0.909	階段の入口で、毎時200から250ミリレントゲン。	階段の入り口で毎時二百から二百五十ミリレントゲン	階段の入口で、毎時200から250ミリレントゲン。
c416-2	1.000	深くは入れない。彼はすぐ引き返した。	深くは入れない。彼はすぐ引き返した。	深くは入れない。彼はすぐ引き返した。
c417-1	0.952	門衛所のそばに止めた車のところでも、値が出た。	門衛所のそばに停めた車のところでも値が出た。	門衛所のそばに止めた車のところでも、あたいが出た。
c417-2	1.000	全員が空気呼吸器をつけている。	全員が空気呼吸器をつけている。	全員が空気呼吸器をつけている。
c418-1	0.963	9時17分までに、ここにいた全員が構外の道路まで下がった。	9時17分までにここにいた全員が郊外の道路まで下がった。	9時17分までに、ここにいた全員が構外の道路まで下がった。
c418-2	0.960	警報から、16分が経っている。	警報から十六分が経っている。	警報から、16分が経っている。
c419-1	0.979	同じ9時17分、放射線の技術者が着いた。門衛所の前で、	同じ九時十七分、放射線の技術者が着いた。門衛所の前で	同じ9時17分、放射線の技術者が着いた。門衛所の前で、
c419-2	0.943	毎時125から150ミリレントゲン。風は北北東から6マイル。	毎時百二十五から百五十ミリレントゲン。風は北北東から六マイル。	毎時125から150ミリレントゲン。風は北北東から6マイル。
c420-1	1.000	彼はまず消防隊を風上へ回らせ、それから中へ入った。	彼はまず消防隊を風上へ回らせ、それから中へ入った。	彼はまず消防隊を風上へ回らせ、それから中へ入った。
c420-2	0.983	建物の角で700、入口で250、廊下の扉で500ミリレントゲン。	建物の角で700、入り口で250、廊下の扉で500ミリレントゲン	建物の角で700、入口で250、廊下の扉で500ミリレントゲン。
c421-1	0.914	2人は、通る部屋をほとんど全部のぞいた。	二人は通る部屋をほとんど全部覗いた。	2人は、通る部屋をほとんど全部のぞいた。
c421-2	1.000	建物の中にいるはずの3人を探していた。誰もいない。	建物の中にいるはずの三人を探していた。誰もいない。	建物の中にいるはずの3人を探していた。誰もいない。
c422-1	0.960	運転階へ上がる階段の、3段目か4段目まで来たところで、	運転会へ上がる階段の三段目か四段目まで来たところで	運転階へ上がる階段の、3段目か4段目まで来たところで、
c422-2	0.955	計器が振り切れた。毎時25レントゲン、それまでの100倍だ。2人は引き返した。	計器が振り切れた。毎時二十五レントゲン。それまでの百倍だ。二人は引き返した。	計器が振り切れた。毎時25レントゲン、それまでの100倍だ。2人は引き返した。
c423-1	0.915	9時25分。ほかの施設に無線で確かめ、3人はどこへも移っていない。	九時二十五分。他の施設に無線で確かめ、三人はどこへも映っていない。	9時25分。ほかの施設に無線で確かめ、3人はどこへも移っていない。
c423-2	1.000	つまり、建物の中にいる。	つまり建物の中にいる	つまり、建物の中にいる。
c501-1	0.978	9時50分、3度目の立ち入り。階段の最初の踊り場で、	九時五十分。三度目の立ち入り。階段の最初の踊り場で	9時50分、3度目の立ち入り。階段の最初の踊り場で、
c501-2	0.941	毎時200レントゲン。技術者はその場で全員を退がらせた。	毎時二百レントゲン。技術者はその場で全員を退治がらせた。	毎時200レントゲン。技術者はその場で全員を退がらせた。
c502-1	0.929	10時ちょうど、無線で許可が出る。	十時ちょうど無線で許可が出る。	10時ちょうど、無線で許可が出る。
c502-2	0.944	毎時200レントゲンを超える場所にも入ってよい。ただし空気呼吸器をつけること。	毎時二百レントゲンを超える場所にも入って良い。ただし、空気呼吸器をつけること。	毎時200レントゲンを超える場所にも入ってよい。ただし空気呼吸器をつけること。
c503-1	0.903	現場は、もうひとつ自分たちで決めた。	現場はもう一つ自分たちで決めた。	現場は、もうひとつ自分たちで決めた。
c503-2	0.966	毎時500レントゲンで止める。計器が、そこまでしか読めないからだ。	毎時五百レントゲンで止める。計器がそこまでしか読めないからだ。	毎時500レントゲンで止める。計器が、そこまでしか読めないからだ。
c504-1	0.966	10時10分。3人が階段を上がりきると、運転階の扉は開いていた。	10時10分、3人が階段を上がりきると、運転会の扉は開いていた。	10時10分。3人が階段を上がりきると、運転階の扉は開いていた。
c504-2	0.829	戸口に計器を差し出す。針は500で振り切れた。	戸口にケーキを差し出す。針は五百で振り切れた。	戸口に計器を差し出す。針は500で振り切れた。
c505-1	0.857	副隊長が灯りを差し入れ、技術者が中をのぞいた。	副隊長が明かりを差し入れ、技術者が中を覗いた。	副隊長が灯りを差し入れ、技術者が中をのぞいた。
c505-2	1.000	見えたのは瓦礫だけである。人の姿は見えなかった。	見えたのは瓦礫だけである。人の姿は見えなかった。	見えたのは瓦礫だけである。人の姿は見えなかった。
c506-1	0.941	10時25分、クラス1災害が宣言された。	十時二十五分、クラス一災害が宣言された。	10時25分、クラス1災害が宣言された。
c506-2	1.000	試験場の無線で、全部の施設に流されている。	試験場の無線で全部の施設に流されている	試験場の無線で、全部の施設に流されている。
c507-1	0.955	10時35分、現場の指揮が、最初に着いた技術者から	十時三十五分、現場の指揮が最初に着いた技術者から	10時35分、現場の指揮が、最初に着いた技術者から
c507-2	0.824	アイダホ支所へ移った。管理点が置かれ、測定が組み直される。	会田保守所へ移った。管理点が置かれ、測定が組み直される。	アイダホ支所へ移った。管理点が置かれ、測定が組み直される。
c508-1	0.964	10時45分、運転を請け負っていた会社の2人が階段を上がった。	十時四十五分、運転を請け負っていた会社の二人が階段を上がった。	10時45分、運転を請け負っていた会社の2人が階段を上がった。
c508-2	0.927	最初の踊り場のあたりで、片方が、音を聞いている。	最初の踊り場の辺りで片方が音を聞いている。	最初の踊り場のあたりで、片方が、音を聞いている。
c509-1	0.957	運転階に2、3フィート入ったところで、2人が見えた。	運転会に二、三フィート入ったところで二人が見えた。	運転階に2、3フィート入ったところで、2人が見えた。
c509-2	0.933	1人は配電盤のそば。もう1人は、遮蔽ブロックと炉の頭のあいだにいた。	一人は配電盤のそば、もう一人は遮蔽ブロックと炉の頭の間にいた。	1人は配電盤のそば。もう1人は、遮蔽ブロックと炉の頭のあいだにいた。
c510-1	0.917	報告書の90ページは、このときのことをこう書いている。	報告書の九十ページはこの時のことをこう書いている。	報告書の90ページは、このときのことをこう書いている。
c510-2	1.000	動いているのが、見えた	動いているのが見えた。	動いているのが、見えた
c511-1	1.000	そこは、配電盤のそばで毎時500から600レントゲン。	そこは配電盤のそばで毎時500から600レントゲン	そこは、配電盤のそばで毎時500から600レントゲン。
c511-2	1.000	炉の真上は、毎時1000レントゲンを超えると見積もられている。	炉の真上は毎時1,000レントゲンを超えると見積もられている。	炉の真上は、毎時1000レントゲンを超えると見積もられている。
c512-1	1.000	2人はすぐ引き返した。救助の人手と道具を呼ぶためである。	二人はすぐ引き返した。救助の人手と道具を呼ぶためである。	2人はすぐ引き返した。救助の人手と道具を呼ぶためである。
c512-2	0.947	見つけて出てくるまで、およそ3分だった。	見つけて出てくるまでおよそ三分だったはず。	見つけて出てくるまで、およそ3分だった。
c513-1	0.958	10時50分、5人が担架を2つ持って運転階に入った。	10時50分、五人が担架を二つ持って運転会に入った。	10時50分、5人が担架を2つ持って運転階に入った。
c513-2	1.000	最初に見つかった1人を運び出すためである。	最初に見つかった一人を運び出すためである。	最初に見つかった1人を運び出すためである。
c514-1	0.939	担架を入口の近くに置き、2人がそこまで運んで載せた。	担架を入り口の近くに置き、二人がそこまで運んで乗せた。	担架を入口の近くに置き、2人がそこまで運んで載せた。
c514-2	0.897	この作業のあいだに、もう1人が亡くなっていることが分かっている。	この作業の間にもう一人が亡くなっていることがわかっている。	この作業のあいだに、もう1人が亡くなっていることが分かっている。
c515-1	1.000	ここで1人の空気呼吸器が詰まった。非常口から出ようとしたが、	ここで一人の空気呼吸器が詰まった非常口から出ようとしたが	ここで1人の空気呼吸器が詰まった。非常口から出ようとしたが、
c515-2	1.000	発電機のところで担架が通らない。入った道を戻っている。	発電機のところで担架が通らない。入った道を戻っている。	発電機のところで担架が通らない。入った道を戻っている。
c516-1	0.960	救助にかかったのは、およそ8分。運転階に3分、構内に5分。	救助にかかったのはおよそ八分。運転会に三分、構内に五分	救助にかかったのは、およそ8分。運転階に3分、構内に5分。
c516-2	1.000	1分でも短くする、という作業だった。	一分でも短くする、という作業だった。	1分でも短くする、という作業だった。
c517-1	0.944	11時ちょうど、担架は連絡車に載せられ、	11時ちょうど、担架は連絡車に乗せられ	11時ちょうど、担架は連絡車に載せられ、
c517-2	1.000	門から4分の1マイル離れた道路で、救急車と落ち合った。	門から四分の一マイル離れた道路で救急車と落ち合った。	門から4分の1マイル離れた道路で、救急車と落ち合った。
c518-1	0.791	11時5分、管理点で看護師が診た。報告書はこう書く。	十一時五分、管理点で看護師が見た。報告書は口角。	11時5分、管理点で看護師が診た。報告書はこう書く。
c518-2	0.980	目の前で息が絶えたように見えたが、蘇生器が当てられた、と。	目の前で息が絶えたように見えたが、蘇生器が当てられた。	目の前で息が絶えたように見えたが、蘇生器が当てられた、と。
c519-1	0.913	11時14分。医師が診て、亡くなったことが確認された。	十一時十四分、医師が見て亡くなったことが確認された。	11時14分。医師が診て、亡くなったことが確認された。
c519-2	0.968	警報から、2時間13分が経っている。	警報から二時間十三分が経っている。	警報から、2時間13分が経っている。
c520-1	0.884	ほぼ同じころ、支所と軍と会社から4人が組を作り、	ほぼ同じ頃、支所と郡と会社から四人が組を作り	ほぼ同じころ、支所と軍と会社から4人が組を作り、
c520-2	0.950	運転階に入っている。3人目を探すためである。	運転会に入っている三人目を探すためである。	運転階に入っている。3人目を探すためである。
c521-1	1.000	3人目は見つかった。報告書の90ページは、その状態を1行で書いている。	三人目は見つかった。報告書の90ページはその状態を一行で書いている。	3人目は見つかった。報告書の90ページは、その状態を1行で書いている。
c521-2	1.000	3人目は、天井にあった	三人目は天井にあった	3人目は、天井にあった
c522-1	1.000	原文の語は「天井に突き刺さっていた」である。	原文の語は天井に突き刺さっていたである。	原文の語は「天井に突き刺さっていた」である。
c522-2	1.000	報告書の書き方に合わせて、そのまま読む。ここでは絵にしない。	報告書の書き方に合わせてそのまま読む。ここでは絵にしない。	報告書の書き方に合わせて、そのまま読む。ここでは絵にしない。
c523-1	1.000	確認は2分で終わった。その日はそこまでである。	確認は二分で終わった。その日はそこまでである。	確認は2分で終わった。その日はそこまでである。
c523-2	1.000	3人目を降ろす方法は、まだ誰も持っていなかった。	三人目を降ろす方法はまだ誰も持っていなかった。	3人目を降ろす方法は、まだ誰も持っていなかった。
c601-1	1.000	1月4日の午前5時半。5人の組が、1人目の衣類を外す作業に入った。	1月4日の午前5時半、五人の組が一人目の衣類を外す作業に入った。	1月4日の午前5時半。5人の組が、1人目の衣類を外す作業に入った。
c601-2	1.000	記録係と時間係を置き、1分で交代する。	記録係と時間係を置き、一分で交代する。	記録係と時間係を置き、1分で交代する。
c602-1	0.792	体の上で毎時100から200レントゲン。腕のあたりで300。	体の上で毎時百から二百レントゲン、腕の辺りで三百	体の上で毎時100から200レントゲン。腕のあたりで300。
c602-2	1.000	衣類を外しても、値は目に見えて下がらなかった。	衣類を外しても値は目に見えて下がらなかった。	衣類を外しても、あたいは目に見えて下がらなかった。
c603-1	0.977	午前9時半から11時半まで、洗剤を使って洗った。	午前九時半から十一時半まで洗剤を使って洗った。	午前9時半から11時半まで、洗剤を使って洗った。
c603-2	1.000	それでも落ちない。除染は、そこで打ち切られている。	それでも落ちない。除染はそこで打ち切られている。	それでも落ちない。除染は、そこで打ち切られている。
c604-1	0.920	3人目を担架に降ろせたのは、1月9日の午前0時45分。	三人目を担架に降ろしたのは一月九日の午前零時四十五分	3人目を担架に降ろせたのは、1月9日の午前0時45分。
c604-2	1.000	回収が終わったと宣言されたのは、同じ日の午前4時42分である。	回収が終わったと宣言されたのは同じ日の午前4時42分である。	回収が終わったと宣言されたのは、同じ日の午前4時42分である。
c605-1	0.957	1月10日、4インチの鉛を張った容器に納められた。	1月10日、四インチの鉛を張った容器に収められた。	1月10日、4インチの鉛を張った容器に納められた。
c605-2	0.950	接して測ると、頭で毎時30レントゲン、胸で50。	接して測ると、頭で毎時三十レントゲン、胸で五十	接して測ると、頭で毎時30レントゲン、胸で50。
c606-1	1.000	1月13日の朝、8人の組が3人を埋葬のために整えた。	1月13日の朝、8人の組が3人を埋葬のために整えた。	1月13日の朝、8人の組が3人を埋葬のために整えた。
c606-2	1.000	報告書は、その手順を1行ずつ書いている。	報告書はその手順を一行ずつ書いている。	報告書は、その手順を1行ずつ書いている。
c606-3	1.000	鉛で包み、金属の帯で締めた	鉛で包み、金属の帯で締めた。	鉛で包み、金属の帯で締めた
c607-1	0.944	使った鉛は、450ポンドから750ポンド。	使った鉛は四百五十ポンドから七百五十ポンド	使った鉛は、450ポンドから750ポンド。
c607-2	1.000	3人目だけは、8分の1インチでなく4分の3インチの厚い板だった。	三人目だけは八分の一インチでなく四分の三インチの厚い板だった	3人目だけは、8分の1インチでなく4分の3インチの厚い板だった。
c608-1	1.000	棺の中には、札が2枚入れられた。	棺の中には札が二枚入れられた。	棺の中には、札が2枚入れられた。
c608-2	1.000	「注意、高線量区域」。そして「注意、放射性物質」。	注意、高線量区域。そして注意、放射性物質。	「注意、高線量区域」。そして「注意、放射性物質」。
c609-1	1.000	1月22日。2人は空軍機でニューヨークとワシントンへ、	一月二十二日、二人は空軍機でニューヨークとワシントンへ。	1月22日。2人は空軍機でニューヨークとワシントンへ、
c609-2	1.000	1人は海軍機でミシガンへ運ばれた。	一人は海軍機でミシガンへ運ばれた。	1人は海軍機でミシガンへ運ばれた。
c610-1	1.000	ミシガンの墓地では、棺を輸送箱から出して並べてほしい、と求められた。	ミシガンの墓地では棺を輸送箱から出して並べてほしいと求められた。	ミシガンの墓地では、棺を輸送箱から出して並べてほしい、と求められた。
c610-2	1.000	報告書は「軍の形式で並べられた」と書く。	報告書は軍の形式で並べられたと書く。	報告書は「軍の形式で並べられた」と書く。
c611-1	1.000	3つの墓には、いずれもコンクリートが打たれた。	三つの墓にはいずれもコンクリートが打たれた。	3つの墓には、いずれもコンクリートが打たれた。
c611-2	0.889	下に18インチ、横に2フィート、上に20インチ。ひとつは深さ10フィートだ。	下に十八インチ、横に二フィート、上に二十インチ。一つは深さ十フィートだ。	下に18インチ、横に2フィート、上に20インチ。ひとつは深さ10フィートだ。
c701-1	1.000	炉の中の写真は撮れた。壊れ方も読めた。	炉の中の写真は撮れた。壊れ方も読めた。	炉の中の写真は撮れた。壊れ方も読めた。
c701-2	1.000	それでも、なぜ棒が動いたのかは、この報告書には書かれていない。	それでも、なぜ棒が動いたのかはこの報告書には書かれていない。	それでも、なぜ棒が動いたのかは、この報告書には書かれていない。
c702-1	1.000	書かれていないのは、手が回らなかったからではない。	書かれていないのは手が回らなかったからではない。	書かれていないのは、手が回らなかったからではない。
c702-2	1.000	最初からそう決めて作られている。	最初からそう決めて作られている	最初からそう決めて作られている。
c703-1	1.000	原因は、別に置かれた調査委員会が扱う。	原因は別に置かれた調査委員会が扱う	原因は、別に置かれた調査委員会が扱う。
c703-2	0.952	この208ページが扱うのは、そのあとの作業だ。前書きに、そう書いてある。	この208ページが扱うのはその後の作業だ。前書きにそう書いてある。	この208ページが扱うのは、そのあとの作業だ。前書きに、そう書いてある。
c704-1	1.000	その調査委員会の報告は、1961年6月に出ている。43ページ。	その調査委員会の報告は 1961年6月に出ている。四十三ページ。	その調査委員会の報告は、1961年6月に出ている。43ページ。
c704-2	0.919	委員長ほか5人の名前が、表紙に並んでいる。	委員長他五人の名前が表紙に並んでいる。	委員長ほか5人の名前が、表紙に並んでいる。
c705-1	1.000	この報告書には、1枚だけ変わった紙がある。	この報告書には一枚だけ変わった紙がある。	この報告書には、1枚だけ変わった紙がある。
c705-2	0.950	101ページ。刷られているのは、2行だけである。	百一ページ。刷られているのは二行だけである。	101ページ。刷られているのは、2行だけである。
c705-3	1.000	このページの内容は削除された	このページの内容は削除された。	このページの内容は削除された
c706-1	1.000	前後は、犠牲者を埋葬のために整えた記録である。	前後は犠牲者を埋葬のために整えた記録である。	前後は、犠牲者を埋葬のために整えた記録である。
c706-2	0.963	前は墓地の話、次の102ページは棺と墓の測定表になっている。	前は墓地の話。次の百二ページは棺と墓の測定表になっている	前は墓地の話、次の102ページは棺と墓の測定表になっている。
c707-1	0.929	何が消されたのかは、分からない。	何が消されたのかはわからない。	何が消されたのかは、分からない。
c707-2	0.964	分かるのは、消された、ということだけである。ここでは推測しない。	わかるのは消されたということだけである。ここでは推測しない。	分かるのは、消された、ということだけである。ここでは推測しない。
c708-1	1.000	では、原因はどこに書かれたのか。	では、原因はどこに書かれたのか。	では、原因はどこに書かれたのか。
c708-2	1.000	1962年7月27日。回収作業の最終報告書が出ている。	1962年7月27日。回収作業の最終報告書が出ている。	1962年7月27日。回収作業の最終報告書が出ている。
c709-1	0.762	番号は、アイ・ディー・オー、19311。320ページある。	番号は IDO19311。320ページある。	番号は、アイ・ディー・オー、いちきゅうさんいちいち。320ページある。
c709-2	0.980	書いたのは、炉を解体した会社。11月には追試の報告も出た。	書いたのは炉を解体した会社。十一月には追試の報告も出た。	書いたのは、炉を解体した会社。11月には追試の報告も出た。
c710-1	1.000	圧力容器が建屋から出されたのは、1961年11月29日。	圧力容器が建屋から出されたのは1961年11月29日。	圧力容器が建屋から出されたのは、1961年11月29日。
c710-2	0.981	翌30日、試験場の北にある工場へ運ばれた。そこで分解される。	翌三十日、試験場の北にある工場へ運ばれた。そこで分解される。	翌30日、試験場の北にある工場へ運ばれた。そこで分解される。
c711-1	0.950	分解して分かったことがある。中央の制御棒が、	分解してわかったことがある。中央の制御棒が	分解して分かったことがある。中央の制御棒が、
c711-2	1.000	自分を囲う覆いに食い込んだまま、動かなくなっていた。	自分を囲う覆いに食い込んだまま動かなくなっていた。	自分を囲う覆いに食い込んだまま、動かなくなっていた。
c712-1	0.923	食い込んでいた位置は、報告書の要旨の2行目に書いてある。	食い込んでいた位置は報告書の用紙の二行目に書いてある。	食い込んでいた位置は、報告書の要旨の2行目に書いてある。
c712-2	1.000	20インチ、引き抜かれていた	20インチ引き抜かれていた。	20インチ、引き抜かれていた
c713-1	0.971	およそ50センチである。そしてこの炉は、	およそ五十センチである。そしてこの炉は	およそ50センチである。そしてこの炉は、
c713-2	0.898	中央の1本だけを引き抜いて動かすことは、ふつうしない。	中央の一本だけを引き抜いて動かすことは普通しない。	中央の1本だけを引き抜いて動かすことは、ふつうしない。
c714-1	1.000	限られた実験の数字から見積もると、	限られた実験の数字から見積もると	限られた実験の数字から見積もると、
c714-2	0.966	中央の棒を16.7インチ引き抜いたところで、この炉は臨界になる。	中央の棒を十六点七インチ引き抜いたところで、この炉は臨界になる。	中央の棒を16.7インチ引き抜いたところで、この炉は臨界になる。
c715-1	0.958	20インチは、臨界を3.3インチ通り越した位置である。	二十インチは臨界を三点三インチ通り越した位置である。	20インチは、臨界を3.3インチ通り越した位置である。
c715-2	0.982	反応を押し上げる余力、反応度で言えば、余分が2.4パーセント。	反応を押し上げる余力、反応度で言えば余分が二点四パーセント。	反応を押し上げる余力、反応度で言えば、余分が2.4パーセント。
c716-1	1.000	では、なぜそこまで動いたのか。	では、なぜそこまで動いたのか。	では、なぜそこまで動いたのか。
c716-2	1.000	報告書は、手による引き抜き以外の説明を探している。	報告書は手による引き抜き以外の説明を探している。	報告書は、手による引き抜き以外の説明を探している。
c717-1	1.000	化学の爆薬が棒を持ち上げた、という説明。	化学の爆薬が棒を持ち上げたという説明	化学の爆薬が棒を持ち上げた、という説明。
c717-2	1.000	これは薬品の試験と、容器と炉心の部品の検査で否定された。	これは薬品の試験と容器と炉心の部品の検査で否定された。	これは薬品の試験と、容器と炉心の部品の検査で否定された。
c718-1	0.962	放射線で水が分解してたまった水素が爆発した、という説明。	放射線で水が分解して溜まった水素が爆発したという説明。	放射線で水が分解してたまった水素が爆発した、という説明。
c718-2	1.000	これも、事故の始まりを説明できない、と書かれている。	これも事故の始まりを説明できないと書かれている。	これも、事故の始まりを説明できない、と書かれている。
c719-1	1.000	そして模型を作り、人が手で引く速さを測っている。	そして模型を作り、人が手で引く速さを測っている。	そして模型を作り、人が手で引く速さを測っている。
c719-2	0.941	20インチまで引くのに要る時間は、暴走を起こすのに要る時間より短かった。	20インチまで引くのにいる時間は、暴走を起こすのにいる時間より短かった。	20インチまで引くのに要る時間は、暴走を起こすのに要る時間より短かった。
c720-1	0.897	そのうえで、報告書はこう書き出す。	その上で報告書はこう書き出す。	そのうえで、報告書はこう書き出す。
c720-2	0.909	はっきりした証明は無い	はっきりした証明はない。	はっきりした証明は無い
c721-1	0.897	続きはこうである。すべての情報が、	続きはこうである。全ての情報が	続きはこうである。すべての情報が、
c721-2	1.000	手で引き抜いたことによって暴走が起きた、と示している。	手で引き抜いたことによって暴走が起きたと示している。	手で引き抜いたことによって暴走が起きた、と示している。
c722-1	1.000	そこには、こうも書いてある。	そこにはこうも書いてある。	そこには、こうも書いてある。
c722-2	1.000	「最大の力ではない引き抜き」で、と。	最大の力ではない引き抜きでと。	「最大の力ではない引き抜き」で、と。
c723-1	1.000	引き抜いていたのは、駆動装置を組み立てている最中である。	引き抜いていたのは駆動装置を組み立てている最中である。	引き抜いていたのは、駆動装置を組み立てている最中である。
c723-2	1.000	夜間指示書の、2番だった。	夜間指示書の二番だった。	夜間指示書の、2番だった。
c724-1	1.000	つまり、原因を扱った報告書も断定はしていない。	つまり、原因を扱った報告書も断定はしていない。	つまり、原因を扱った報告書も断定はしていない。
c724-2	0.909	書いてあるのは、証拠に合う説明がほかに無かった、ということだ。	書いてあるのは証拠に合う説明が他になかったということだ。	書いてあるのは、証拠に合う説明がほかに無かった、ということだ。
c725-1	1.000	要旨には、こうある。	要旨にはこうある。	ようし には、こうある。
c725-2	1.000	棒を引き抜く別の手段で、証拠に合うものは見つかっていない、と。	棒を引き抜く別の手段で証拠に合うものは見つかっていないと。	棒を引き抜く別の手段で、証拠に合うものは見つかっていない、と。
c726-1	1.000	この動画は、そこから先へは行かない。	この動画はそこから先へは行かない。	この動画は、そこから先へは行かない。
c726-2	1.000	誰がなぜそうしたのかは、この3冊のどこにも書かれていない。	誰がなぜそうしたのかは、この三冊のどこにも書かれていない。	誰がなぜそうしたのかは、この3冊のどこにも書かれていない。
c727-1	1.000	残っているのは、2つの数字だけである。	残っているのは二つの数字だけである。	残っているのは、2つの数字だけである。
c727-2	1.000	20インチという位置と、2秒から4秒という時間。	20インチという位置と、二秒から四秒という時間	20インチという位置と、2秒から4秒という時間。
c728-1	0.941	棒が動きはじめてから、圧力容器が支えの筒に落ち戻るまで。	棒が動き始めてから圧力容器が支えの筒に落ち戻るまで	棒が動きはじめてから、圧力容器が支えの筒に落ち戻るまで。
c728-2	0.905	その全部が、2秒から4秒のあいだに終わっている。	その全部が二秒から四秒の間に終わっている。	その全部が、2秒から4秒のあいだに終わっている。
