行	型	該当	本文
c303-1	EL_YOMI 既存	管制→かんせい×1	管制は175便に、行方の分からない11便を探してくれと頼んでいる。
c303-2	文頭の数字	1	175便は11便を見つけ、そのうえで妙な無線を聞いた、と伝えた。
c303-2	§6の語（9.11）	無線	175便は11便を見つけ、そのうえで妙な無線を聞いた、と伝えた。
c303-2	EL_YOMI 既存	175便は→ヒャクナナジュウゴ便は×1	175便は11便を見つけ、そのうえで妙な無線を聞いた、と伝えた。
c304-1	文頭の数字	1	175便から届いた最後の交信は、その報告だった。
c304-1	§6の語（9.11）	交信	175便から届いた最後の交信は、その報告だった。
c305-1	文頭の数字	8	8時47分。175便の応答符号が、2回続けて書き換わった。
c305-1	数詞＋助数詞	8時	8時47分。175便の応答符号が、2回続けて書き換わった。
c305-1	数詞＋助数詞	47分	8時47分。175便の応答符号が、2回続けて書き換わった。
c305-1	数詞＋助数詞	2回	8時47分。175便の応答符号が、2回続けて書き換わった。
c305-1	§6の語（9.11）	応答符号	8時47分。175便の応答符号が、2回続けて書き換わった。
c305-2	§6の語（9.11）	応答符号	応答符号は、機体が名乗るときに使う4桁の番号である。
c305-2	§6の語（9.11）	機体	応答符号は、機体が名乗るときに使う4桁の番号である。
c306-1	§6の語（9.11）	管制	このとき担当の管制官は、ほかの便の相手で手が離せずにいた。
c306-1	EL_YOMI 既存	管制官→かんせいかん×1	このとき担当の管制官は、ほかの便の相手で手が離せずにいた。
c306-2	数詞＋助数詞	8時	符号が変わったことに気づいたのは、8時51分である。
c306-2	数詞＋助数詞	51分	符号が変わったことに気づいたのは、8時51分である。
c306-2	EL_YOMI 既存	符号が→ふごうが×1	符号が変わったことに気づいたのは、8時51分である。
c307-1	文頭の数字	8	8時53分。管制官は同僚にこう伝えている。
c307-1	数詞＋助数詞	8時	8時53分。管制官は同僚にこう伝えている。
c307-1	数詞＋助数詞	53分	8時53分。管制官は同僚にこう伝えている。
c307-1	§6の語（9.11）	管制	8時53分。管制官は同僚にこう伝えている。
c307-1	EL_YOMI 既存	管制官→かんせいかん×1	8時53分。管制官は同僚にこう伝えている。
c307-2	§6の語（9.11）	機体	乗っ取られたかもしれない、機体がどこにも見つからない、と。
c308-1	数詞＋助数詞	28分	およそ28分前に11便から流れたあの一言は、複数形だった。
c308-3	文頭の数字	1	1機だけの話ではなかった
c308-3	同形異音語（実績）	話	1機だけの話ではなかった
c309-1	文頭の数字	1	175便からも、客室乗務員と乗客が地上に電話をかけている。
c309-1	同形異音語（実績）	話	175便からも、客室乗務員と乗客が地上に電話をかけている。
c309-1	同形異音語（一般）	上	175便からも、客室乗務員と乗客が地上に電話をかけている。
c309-1	§6の語（9.11）	客室乗務員	175便からも、客室乗務員と乗客が地上に電話をかけている。
c309-2	§6の語（9.11）	操縦室	操縦室の乗員が動かない、という内容だった。
c309-2	§6の語（9.11）	乗員	操縦室の乗員が動かない、という内容だった。
c310-2	§6の語（9.11）	管制	ただしその情報は、管制にも軍にも回っていない。
c310-2	EL_YOMI 既存	ただしその→ただし その×1	ただしその情報は、管制にも軍にも回っていない。
c310-2	EL_YOMI 既存	管制→かんせい×1	ただしその情報は、管制にも軍にも回っていない。
c311-1	文頭の数字	2	2棟は、1970年から人が入りはじめた建物である。
c311-1	同形異音語（一般）	人	2棟は、1970年から人が入りはじめた建物である。
c311-1	同形異音語（一般）	物	2棟は、1970年から人が入りはじめた建物である。
c311-1	数詞＋助数詞	1970年	2棟は、1970年から人が入りはじめた建物である。
c311-1	EL_YOMI 既存	2棟は→にとうは×1	2棟は、1970年から人が入りはじめた建物である。
c311-2	数詞＋助数詞	30年	ニューヨークの街の顔として、30年のあいだ建っていた。
c312-1	同形異音語（一般）	日	そこで働いていたのは、多い日でおよそ5万人。
c312-1	同形異音語（一般）	人	そこで働いていたのは、多い日でおよそ5万人。
c312-2	同形異音語（一般）	人	ほかに4万人が、毎日この区画を通り抜けていた。
c312-2	同形異音語（一般）	日	ほかに4万人が、毎日この区画を通り抜けていた。
c313-1	同形異音語（一般）	上	北棟の上のほうから、煙が上がっている。
c313-1	同形異音語（一般）	上	北棟の上のほうから、煙が上がっている。
c313-1	§6の語（9.11）	北棟	北棟の上のほうから、煙が上がっている。
c313-1	EL_YOMI 既存	煙が上がって→煙が あがって×1	北棟の上のほうから、煙が上がっている。
c313-1	EL_YOMI 既存	北棟→きたとう×1	北棟の上のほうから、煙が上がっている。
c313-2	同形異音語（一般）	人	街の人もテレビも、この時点ではまだ事故だと思っていた。
c314-2	文頭の数字	1	17分のあいだ、街じゅうの関心が北棟に集まっていた。
c314-2	数詞＋助数詞	17分	17分のあいだ、街じゅうの関心が北棟に集まっていた。
c314-2	§6の語（9.11）	北棟	17分のあいだ、街じゅうの関心が北棟に集まっていた。
c314-2	EL_YOMI 既存	北棟→きたとう×1	17分のあいだ、街じゅうの関心が北棟に集まっていた。
c315-2	文頭の数字	1	175便は、トランスポンダを切っていない。
c315-2	§6の語（9.11）	トランスポンダ	175便は、トランスポンダを切っていない。
c315-2	EL_YOMI 既存	175便は→ヒャクナナジュウゴ便は×1	175便は、トランスポンダを切っていない。
c315-3	§6の語（9.11）	応答符号	応答符号だけを、別の番号に書き換えていた。
c316-1	文頭の数字	1	175便は、管制の画面にはちゃんと映っていた。
c316-1	§6の語（9.11）	管制	175便は、管制の画面にはちゃんと映っていた。
c316-1	EL_YOMI 既存	175便は→ヒャクナナジュウゴ便は×1	175便は、管制の画面にはちゃんと映っていた。
c316-1	EL_YOMI 既存	管制→かんせい×1	175便は、管制の画面にはちゃんと映っていた。
c316-2	鉤括弧	「	ただし「乗っ取られた便」としては、誰も見ていない。
c316-2	鉤括弧	」	ただし「乗っ取られた便」としては、誰も見ていない。
c317-1	文頭の数字	9	9時3分11秒。175便が南棟にぶつかった。
c317-1	数詞＋助数詞	9時	9時3分11秒。175便が南棟にぶつかった。
c317-1	数詞＋助数詞	3分	9時3分11秒。175便が南棟にぶつかった。
c317-1	数詞＋助数詞	11秒	9時3分11秒。175便が南棟にぶつかった。
c317-1	§6の語（9.11）	南棟	9時3分11秒。175便が南棟にぶつかった。
c317-1	EL_YOMI 既存	9時3分→クジ3分×1	9時3分11秒。175便が南棟にぶつかった。
c317-1	EL_YOMI 既存	南棟→みなみとう×1	9時3分11秒。175便が南棟にぶつかった。
c317-2	同形異音語（実績）	間	防空司令部がこの便のことを知ったのは、この瞬間である。
c317-2	§6の語（9.11）	防空司令部	防空司令部がこの便のことを知ったのは、この瞬間である。
c317-2	EL_YOMI 既存	防空司令部→ぼうくう司令部×1	防空司令部がこの便のことを知ったのは、この瞬間である。
c318-1	§6の語（9.11）	防空司令部	防空司令部は、175便の乗っ取りを事前に聞いていない。
c318-1	EL_YOMI 既存	防空司令部→ぼうくう司令部×1	防空司令部は、175便の乗っ取りを事前に聞いていない。
c318-2	同形異音語（実績）	話	ニューヨークの管制からの電話で、はじめて知らされた。
c318-2	§6の語（9.11）	管制	ニューヨークの管制からの電話で、はじめて知らされた。
c318-2	EL_YOMI 既存	管制→かんせい×1	ニューヨークの管制からの電話で、はじめて知らされた。
c319-1	文頭の数字	9	9時7分。ボストンの管制は、全機に警告を出すよう求めた。
c319-1	数詞＋助数詞	9時	9時7分。ボストンの管制は、全機に警告を出すよう求めた。
c319-1	数詞＋助数詞	7分	9時7分。ボストンの管制は、全機に警告を出すよう求めた。
c319-1	§6の語（9.11）	管制	9時7分。ボストンの管制は、全機に警告を出すよう求めた。
c319-1	EL_YOMI 既存	管制→かんせい×1	9時7分。ボストンの管制は、全機に警告を出すよう求めた。
c319-2	§6の語（9.11）	操縦室	操縦室の守りを固めろ、という内容である。
c321-1	文頭の数字	1	1機目から2機目まで、17分あった。
c321-1	同形異音語（一般）	目	1機目から2機目まで、17分あった。
c321-1	同形異音語（一般）	目	1機目から2機目まで、17分あった。
c321-1	数詞＋助数詞	17分	1機目から2機目まで、17分あった。
c321-2	文頭の数字	2	2機目がぶつかった瞬間に、事故ではないと誰もが分かった。
c321-2	同形異音語（実績）	間	2機目がぶつかった瞬間に、事故ではないと誰もが分かった。
c321-2	同形異音語（一般）	目	2機目がぶつかった瞬間に、事故ではないと誰もが分かった。
c321-3	EL_YOMI 既存	空の扱い→そらの扱い×1	ここから先、全米の空の扱いが変わっていく。
c322-1	文頭の数字	1	175便は、応答符号が変わってから衝突まで16分ほどしかない。
c322-1	数詞＋助数詞	16分	175便は、応答符号が変わってから衝突まで16分ほどしかない。
c322-1	§6の語（9.11）	応答符号	175便は、応答符号が変わってから衝突まで16分ほどしかない。
c322-1	EL_YOMI 既存	175便は→ヒャクナナジュウゴ便は×1	175便は、応答符号が変わってから衝突まで16分ほどしかない。
c322-3	文頭の数字	2	2機目は、最後まで追えていなかった
c322-3	同形異音語（一般）	目	2機目は、最後まで追えていなかった
c401-1	文頭の数字	9	9時3分11秒の時点で、乗っ取られた便はあと2機。
c401-1	数詞＋助数詞	9時	9時3分11秒の時点で、乗っ取られた便はあと2機。
c401-1	数詞＋助数詞	3分	9時3分11秒の時点で、乗っ取られた便はあと2機。
c401-1	数詞＋助数詞	11秒	9時3分11秒の時点で、乗っ取られた便はあと2機。
c401-1	EL_YOMI 既存	9時3分→クジ3分×1	9時3分11秒の時点で、乗っ取られた便はあと2機。
c401-2	文頭の数字	7	77便と93便が、まだ空を飛んでいる。
c401-2	EL_YOMI 既存	77便と→ナナジュウナナ便と×1	77便と93便が、まだ空を飛んでいる。
c401-2	EL_YOMI 既存	93便が→キュウジュウサン便が×1	77便と93便が、まだ空を飛んでいる。
c402-1	文頭の数字	7	77便は、8時20分にダレス空港を出ていた。
c402-1	数詞＋助数詞	8時	77便は、8時20分にダレス空港を出ていた。
c402-1	数詞＋助数詞	20分	77便は、8時20分にダレス空港を出ていた。
c402-1	§6の語（9.11）	ダレス	77便は、8時20分にダレス空港を出ていた。
c402-2	文頭の数字	8	8時46分には、高度およそ10,700メートルに達している。
c402-2	数詞＋助数詞	8時	8時46分には、高度およそ10,700メートルに達している。
c402-2	数詞＋助数詞	46分	8時46分には、高度およそ10,700メートルに達している。
c402-2	数詞＋助数詞	700メートル	8時46分には、高度およそ10,700メートルに達している。
c402-2	EL_YOMI 既存	10,700メートル→いちまんななひゃくメートル×1	8時46分には、高度およそ10,700メートルに達している。
c403-1	文頭の数字	8	8時51分。77便は、ふだんどおりの定時交信をしている。
c403-1	数詞＋助数詞	8時	8時51分。77便は、ふだんどおりの定時交信をしている。
c403-1	数詞＋助数詞	51分	8時51分。77便は、ふだんどおりの定時交信をしている。
c403-1	§6の語（9.11）	交信	8時51分。77便は、ふだんどおりの定時交信をしている。
c403-2	§6の語（9.11）	無線	これが、この便から届いた最後の無線になった。
c404-1	文頭の数字	8	8時54分。77便が、決められた道から南へそれた。
c404-1	数詞＋助数詞	8時	8時54分。77便が、決められた道から南へそれた。
c404-1	数詞＋助数詞	54分	8時54分。77便が、決められた道から南へそれた。
c404-2	数詞＋助数詞	8時	乗っ取りは、8時51分から8時54分のあいだに起きている。
c404-2	数詞＋助数詞	51分	乗っ取りは、8時51分から8時54分のあいだに起きている。
c404-2	数詞＋助数詞	8時	乗っ取りは、8時51分から8時54分のあいだに起きている。
c404-2	数詞＋助数詞	54分	乗っ取りは、8時51分から8時54分のあいだに起きている。
c405-1	文頭の数字	8	8時56分。まずトランスポンダが切られた。
c405-1	数詞＋助数詞	8時	8時56分。まずトランスポンダが切られた。
c405-1	数詞＋助数詞	56分	8時56分。まずトランスポンダが切られた。
c405-1	§6の語（9.11）	トランスポンダ	8時56分。まずトランスポンダが切られた。
c405-2	§6の語（9.11）	跳ね返り	さらに、跳ね返りの点のほうまで見えなくなる。
c405-3	§6の語（9.11）	管制	管制の画面から、77便は完全に消えてしまった。
c405-3	EL_YOMI 既存	管制→かんせい×1	管制の画面から、77便は完全に消えてしまった。
c406-1	§6の語（9.11）	管制	担当していたのは、インディアナポリスの管制センターである。
c406-1	EL_YOMI 既存	管制→かんせい×1	担当していたのは、インディアナポリスの管制センターである。
c407-1	§6の語（9.11）	管制	管制は、77便がどこかに墜落したのだろうと考えた。
c407-1	EL_YOMI 既存	管制→かんせい×1	管制は、77便がどこかに墜落したのだろうと考えた。
c407-2	同形異音語（実績）	側	だから探したのは、機体が消えた西側の地上である。
c407-2	同形異音語（一般）	上	だから探したのは、機体が消えた西側の地上である。
c407-2	§6の語（9.11）	機体	だから探したのは、機体が消えた西側の地上である。
c407-3	EL_YOMI 既存	落ちた機の→落ちた きの×1	州の警察にも、落ちた機の報告が無いかを聞いている。
c408-1	文頭の数字	9	9時5分。航空会社は、77便も乗っ取られたと把握する。
c408-1	数詞＋助数詞	9時	9時5分。航空会社は、77便も乗っ取られたと把握する。
c408-1	数詞＋助数詞	5分	9時5分。航空会社は、77便も乗っ取られたと把握する。
c410-1	同形異音語（一般）	物	ペンタゴンは、アメリカ国防総省が入っている建物である。
c410-1	§6の語（9.11）	ペンタゴン	ペンタゴンは、アメリカ国防総省が入っている建物である。
c410-1	§6の語（9.11）	国防総省	ペンタゴンは、アメリカ国防総省が入っている建物である。
c410-2	同形異音語（一般）	物	建物の名前そのものが、五角形という意味になっている。
c410-2	EL_YOMI 既存	五角形→ごかっけい×1	建物の名前そのものが、五角形という意味になっている。
c411-1	EL_YOMI 既存	五角形→ごかっけい×1	五角形の輪が、何重にも入れ子になった造りをしている。
c411-2	同形異音語（一般）	物	高い建物ではない。低く、横に大きく広がっている。
c412-1	EL_YOMI 既存	五角形→ごかっけい×1	五角形の真ん中には、広い中庭がある。
c412-2	同形異音語（実績）	側	外から見えるのは、いちばん外側の輪だけである。
c413-1	文頭の数字	9	9時21分。全米の便の流れを見ているコマンドセンターが、
c413-1	数詞＋助数詞	9時	9時21分。全米の便の流れを見ているコマンドセンターが、
c413-1	数詞＋助数詞	21分	9時21分。全米の便の流れを見ているコマンドセンターが、
c413-1	§6の語（9.11）	コマンドセンター	9時21分。全米の便の流れを見ているコマンドセンターが、
c413-2	§6の語（9.11）	ダレス	ダレスの管制に、跳ね返りの点を探してみてくれと頼んだ。
c413-2	§6の語（9.11）	管制	ダレスの管制に、跳ね返りの点を探してみてくれと頼んだ。
c413-2	§6の語（9.11）	跳ね返り	ダレスの管制に、跳ね返りの点を探してみてくれと頼んだ。
c413-2	EL_YOMI 既存	管制→かんせい×1	ダレスの管制に、跳ね返りの点を探してみてくれと頼んだ。
c414-1	文頭の数字	9	9時32分。ダレスの管制官たちが、画面の設定を切り替えて探した。
c414-1	数詞＋助数詞	9時	9時32分。ダレスの管制官たちが、画面の設定を切り替えて探した。
c414-1	数詞＋助数詞	32分	9時32分。ダレスの管制官たちが、画面の設定を切り替えて探した。
c414-1	§6の語（9.11）	ダレス	9時32分。ダレスの管制官たちが、画面の設定を切り替えて探した。
c414-1	§6の語（9.11）	管制	9時32分。ダレスの管制官たちが、画面の設定を切り替えて探した。
c414-1	EL_YOMI 既存	管制官→かんせいかん×1	9時32分。ダレスの管制官たちが、画面の設定を切り替えて探した。
c415-1	文頭の数字	9	9時34分。その点はホワイトハウスの方角へ向かっていた。
c415-1	同形異音語（一般）	角	9時34分。その点はホワイトハウスの方角へ向かっていた。
c415-1	数詞＋助数詞	9時	9時34分。その点はホワイトハウスの方角へ向かっていた。
c415-1	数詞＋助数詞	34分	9時34分。その点はホワイトハウスの方角へ向かっていた。
c415-1	EL_YOMI 既存	点は→てんは×1	9時34分。その点はホワイトハウスの方角へ向かっていた。
c415-2	§6の語（9.11）	大統領警護隊	空港は、すぐに大統領警護隊へ連絡を入れている。
c416-1	数詞＋助数詞	9時	あとから分かったことだが、自動操縦は9時29分に切られていた。
c416-1	数詞＋助数詞	29分	あとから分かったことだが、自動操縦は9時29分に切られていた。
c416-1	§6の語（9.11）	自動操縦	あとから分かったことだが、自動操縦は9時29分に切られていた。
c416-2	数詞＋助数詞	100メートル	高度およそ2,100メートル。ペンタゴンの西61キロの地点である。
c416-2	§6の語（9.11）	ペンタゴン	高度およそ2,100メートル。ペンタゴンの西61キロの地点である。
c417-1	§6の語（9.11）	ペンタゴン	点は、ペンタゴンの西南西8キロ（5マイル）まで来ていた。
c417-1	§6の語（9.11）	西南西	点は、ペンタゴンの西南西8キロ（5マイル）まで来ていた。
c417-1	EL_YOMI 既存	点は→てんは×1	点は、ペンタゴンの西南西8キロ（5マイル）まで来ていた。
c417-2	§6の語（9.11）	ペンタゴン	そこでほぼ一周し、向き直った先がペンタゴンだった。
c418-1	同形異音語（一般）	下	最後の数分で、高度は一気に下がっている。
c418-2	同形異音語（実績）	方	ふつうの着陸の降り方とは、線の形がまるで違う。
c418-2	EL_YOMI 既存	の降り方→の おり方×1	ふつうの着陸の降り方とは、線の形がまるで違う。
c419-1	§6の語（9.11）	管制	近くを飛んでいた軍の輸送機が、管制に頼まれてこの点を追った。
c419-1	EL_YOMI 既存	管制→かんせい×1	近くを飛んでいた軍の輸送機が、管制に頼まれてこの点を追った。
c419-1	EL_YOMI 既存	軍の→ぐんの×1	近くを飛んでいた軍の輸送機が、管制に頼まれてこの点を追った。
c419-2	EL_YOMI 既存	ボーイング757→ボーイングななごなな×1	操縦士は、あれはボーイング757だと見分けている。
c420-1	文頭の数字	9	9時37分46秒。77便がペンタゴンの西側にぶつかった。
c420-1	同形異音語（実績）	側	9時37分46秒。77便がペンタゴンの西側にぶつかった。
c420-1	数詞＋助数詞	9時	9時37分46秒。77便がペンタゴンの西側にぶつかった。
c420-1	数詞＋助数詞	37分	9時37分46秒。77便がペンタゴンの西側にぶつかった。
c420-1	数詞＋助数詞	46秒	9時37分46秒。77便がペンタゴンの西側にぶつかった。
c420-1	§6の語（9.11）	ペンタゴン	9時37分46秒。77便がペンタゴンの西側にぶつかった。
c421-1	同形異音語（一般）	人	この便に乗っていた64人が亡くなった。
c421-1	数詞＋助数詞	64人	この便に乗っていた64人が亡くなった。
c421-2	同形異音語（一般）	物	建物の中にいた125人も、亡くなっている。
c421-2	同形異音語（一般）	人	建物の中にいた125人も、亡くなっている。
c421-2	数詞＋助数詞	125人	建物の中にいた125人も、亡くなっている。
c421-3	同形異音語（一般）	人	軍人が55人、それ以外の職員が70人である。
c421-3	同形異音語（一般）	人	軍人が55人、それ以外の職員が70人である。
c421-3	同形異音語（一般）	人	軍人が55人、それ以外の職員が70人である。
c421-3	数詞＋助数詞	55人	軍人が55人、それ以外の職員が70人である。
c421-3	数詞＋助数詞	70人	軍人が55人、それ以外の職員が70人である。
c422-1	§6の語（9.11）	防空司令部	防空司令部は、77便が乗っ取られたとは聞かされていない。
c422-1	EL_YOMI 既存	防空司令部→ぼうくう司令部×1	防空司令部は、77便が乗っ取られたとは聞かされていない。
c422-2	文頭の数字	9	9時34分に、見失った、と聞いただけである。
c422-2	数詞＋助数詞	9時	9時34分に、見失った、と聞いただけである。
c422-2	数詞＋助数詞	34分	9時34分に、見失った、と聞いただけである。
c422-3	文頭の数字	3	3機目は、探されていた場所にいなかった
c422-3	同形異音語（一般）	目	3機目は、探されていた場所にいなかった
c501-1	文頭の数字	9	9時37分46秒の時点で、乗っ取られた便はあと1機。
c501-1	数詞＋助数詞	9時	9時37分46秒の時点で、乗っ取られた便はあと1機。
c501-1	数詞＋助数詞	37分	9時37分46秒の時点で、乗っ取られた便はあと1機。
c501-1	数詞＋助数詞	46秒	9時37分46秒の時点で、乗っ取られた便はあと1機。
c501-2	文頭の数字	9	93便だけが、まだ空を飛んでいる。
c502-1	同形異音語（実績）	話	ここからしばらく、空の上の話をしない。
c502-1	同形異音語（一般）	上	ここからしばらく、空の上の話をしない。
c502-2	同形異音語（実績）	話	時計を少し戻して、地上の部屋の話をする。
c502-2	同形異音語（一般）	上	時計を少し戻して、地上の部屋の話をする。
c502-3	§6の語（9.11）	コマンドセンター	バージニア州ハーンドンにある、コマンドセンターである。
c503-1	§6の語（9.11）	コマンドセンター	コマンドセンターは、全米の便の流れを見ている部屋である。
c503-3	同形異音語（一般）	日	その日の責任者は、ベン・スライニーといった。
c503-3	§6の語（9.11）	スライニー	その日の責任者は、ベン・スライニーといった。
c504-1	文頭の数字	9	9時25分。コマンドセンターが、全米の離陸を止めた。
c504-1	数詞＋助数詞	9時	9時25分。コマンドセンターが、全米の離陸を止めた。
c504-1	数詞＋助数詞	25分	9時25分。コマンドセンターが、全米の離陸を止めた。
c504-1	§6の語（9.11）	コマンドセンター	9時25分。コマンドセンターが、全米の離陸を止めた。
c505-1	§6の語（9.11）	機体	滑走路の手前まで出ていた機体が、その場で止まる。
c505-1	EL_YOMI 既存	滑走路→かっそうろ×1	滑走路の手前まで出ていた機体が、その場で止まる。
c505-2	EL_YOMI 既存	離れた機も→離れた 機も×1	搭乗口を離れた機も、動かないまま待たされた。
c506-2	EL_YOMI 既存	飛ぶ機だけ→飛ぶ きだけ×1	止められるのは、これから飛ぶ機だけだった。
c507-1	文頭の数字	9	9時42分。スライニーが、次の命令を出した。
c507-1	数詞＋助数詞	9時	9時42分。スライニーが、次の命令を出した。
c507-1	数詞＋助数詞	42分	9時42分。スライニーが、次の命令を出した。
c507-1	§6の語（9.11）	スライニー	9時42分。スライニーが、次の命令を出した。
c507-2	いま＋動詞	いま飛	いま飛んでいる全部の機を、最寄りの空港に降ろせ。
c509-1	§6の語（9.11）	管制	管制官は、自分の担当する空域の機を1機ずつ降ろしていく。
c509-1	EL_YOMI 既存	管制官→かんせいかん×1	管制官は、自分の担当する空域の機を1機ずつ降ろしていく。
c509-2	同形異音語（実績）	方	手引きに、こういう場合のやり方は書かれていなかった。
c509-2	§6の語（9.11）	手引き	手引きに、こういう場合のやり方は書かれていなかった。
c510-2	§6の語（9.11）	委員会報告	委員会報告は、この命令をこう書いている。
c511-1	同形異音語（一般）	下	画面には、降下を始めた点がずらりと並ぶ。
c511-2	同形異音語（実績）	側	受け入れる空港の側は、何機来るのかを知らされていない。
c511-2	EL_YOMI 既存	の側→の がわ×1	受け入れる空港の側は、何機来るのかを知らされていない。
c512-2	同形異音語（実績）	方	減り方は、地図の東から西へ移っていった。
c513-1	§6の語（9.11）	駐機場	降ろされた空港の駐機場は、すぐにいっぱいになった。
c513-2	同形異音語（一般）	日	誘導路に止めたまま、その日を終えた空港もある。
c513-2	EL_YOMI 既存	誘導路→ゆうどうろ×1	誘導路に止めたまま、その日を終えた空港もある。
c514-1	同形異音語（一般）	事	画面から点が1つ消えるたびに、1機が無事に地上に降りている。
c514-1	同形異音語（一般）	上	画面から点が1つ消えるたびに、1機が無事に地上に降りている。
c514-1	数詞＋助数詞	1つ	画面から点が1つ消えるたびに、1機が無事に地上に降りている。
c514-2	同形異音語（一般）	日	点が消えることが、この日はじめて良い報せになった。
c514-2	EL_YOMI 既存	報せ→しらせ×1	点が消えることが、この日はじめて良い報せになった。
c515-1	同形異音語（一般）	上	命令からほどなく、民間機はほとんど全部が地上に降りた。
c515-1	EL_YOMI 既存	命令から→めいれいから×1	命令からほどなく、民間機はほとんど全部が地上に降りた。
c516-2	同形異音語（一般）	日	乗客はそこから、何日も動けなくなる。
c517-1	同形異音語（一般）	人	空港の待合室で、そのまま寝泊まりした人も多い。
c517-2	同形異音語（一般）	日	民間機が普通に飛び始めるのは、数日あとのことである。
c518-2	数詞＋助数詞	1件	それでも、降りる途中の事故は1件も起きていない。
c519-1	同形異音語（一般）	事	委員会報告は、このときの管制の仕事ぶりを高く評価している。
c519-1	§6の語（9.11）	委員会報告	委員会報告は、このときの管制の仕事ぶりを高く評価している。
c519-1	§6の語（9.11）	管制	委員会報告は、このときの管制の仕事ぶりを高く評価している。
c519-1	EL_YOMI 既存	管制→かんせい×1	委員会報告は、このときの管制の仕事ぶりを高く評価している。
c519-2	§6の語（9.11）	手引き	手引きに無いことを、その場で決めてやりきった、と書いている。
c520-1	文頭の数字	9	9時25分に離陸を止め、9時42分に全機を降ろす命令を出した。
c520-1	数詞＋助数詞	9時	9時25分に離陸を止め、9時42分に全機を降ろす命令を出した。
c520-1	数詞＋助数詞	25分	9時25分に離陸を止め、9時42分に全機を降ろす命令を出した。
c520-1	数詞＋助数詞	9時	9時25分に離陸を止め、9時42分に全機を降ろす命令を出した。
c520-1	数詞＋助数詞	42分	9時25分に離陸を止め、9時42分に全機を降ろす命令を出した。
c520-3	同形異音語（一般）	日	その日のうちに、空はからになった
c601-1	文頭の数字	9	9時42分の時点で、乗っ取られた便は93便だけである。
c601-1	数詞＋助数詞	9時	9時42分の時点で、乗っ取られた便は93便だけである。
c601-1	数詞＋助数詞	42分	9時42分の時点で、乗っ取られた便は93便だけである。
c602-1	文頭の数字	9	93便は、8時42分にニューアークを離陸していた。
c602-1	数詞＋助数詞	8時	93便は、8時42分にニューアークを離陸していた。
c602-1	数詞＋助数詞	42分	93便は、8時42分にニューアークを離陸していた。
c602-1	§6の語（9.11）	ニューアーク	93便は、8時42分にニューアークを離陸していた。
c602-1	EL_YOMI 既存	93便は→キュウジュウサン便は×1	93便は、8時42分にニューアークを離陸していた。
c602-2	数詞＋助数詞	25分	あの25分あまりの遅れが、この便を最後の1機にしている。
c603-1	文頭の数字	9	9時24分。会社の運航管理者が、93便に文字の警告を送った。
c603-1	数詞＋助数詞	9時	9時24分。会社の運航管理者が、93便に文字の警告を送った。
c603-1	数詞＋助数詞	24分	9時24分。会社の運航管理者が、93便に文字の警告を送った。
c603-2	§6の語（9.11）	操縦室	操縦室への侵入に気をつけろ、という内容である。
c604-1	文頭の数字	9	93便からは、いまの知らせをもう一度確かめたい、と返事が来た。
c604-1	同形異音語（一般）	事	93便からは、いまの知らせをもう一度確かめたい、と返事が来た。
c604-2	数詞＋助数詞	4分	この警告が届いた、そのおよそ4分後に乗っ取りが始まった。
c605-1	文頭の数字	9	9時28分。管制の無線に、争っている音が流れた。
c605-1	数詞＋助数詞	9時	9時28分。管制の無線に、争っている音が流れた。
c605-1	数詞＋助数詞	28分	9時28分。管制の無線に、争っている音が流れた。
c605-1	§6の語（9.11）	管制	9時28分。管制の無線に、争っている音が流れた。
c605-1	§6の語（9.11）	無線	9時28分。管制の無線に、争っている音が流れた。
c605-1	EL_YOMI 既存	管制→かんせい×1	9時28分。管制の無線に、争っている音が流れた。
c606-1	§6の語（9.11）	管制	この音を受けたのは、クリーブランドの管制センターだった。
c606-1	EL_YOMI 既存	管制→かんせい×1	この音を受けたのは、クリーブランドの管制センターだった。
c607-1	文頭の数字	9	9時30分。管制官は、ほかの便に順に問い合わせていく。
c607-1	数詞＋助数詞	9時	9時30分。管制官は、ほかの便に順に問い合わせていく。
c607-1	数詞＋助数詞	30分	9時30分。管制官は、ほかの便に順に問い合わせていく。
c607-1	§6の語（9.11）	管制	9時30分。管制官は、ほかの便に順に問い合わせていく。
c607-1	EL_YOMI 既存	管制官→かんせいかん×1	9時30分。管制官は、ほかの便に順に問い合わせていく。
c608-1	同形異音語（実績）	間	乗っ取りのその瞬間、93便は210メートル、700フィート下がった。
c608-1	同形異音語（一般）	下	乗っ取りのその瞬間、93便は210メートル、700フィート下がった。
c608-1	数詞＋助数詞	210メートル	乗っ取りのその瞬間、93便は210メートル、700フィート下がった。
c608-1	数詞＋助数詞	700フィート	乗っ取りのその瞬間、93便は210メートル、700フィート下がった。
c608-1	EL_YOMI 既存	93便は→キュウジュウサン便は×1	乗っ取りのその瞬間、93便は210メートル、700フィート下がった。
c608-2	同形異音語（一般）	事	何度呼びかけても、返事が無い。
c609-1	文頭の数字	9	9時32分。管制の無線に、3度目の声が流れた。
c609-1	同形異音語（一般）	目	9時32分。管制の無線に、3度目の声が流れた。
c609-1	数詞＋助数詞	9時	9時32分。管制の無線に、3度目の声が流れた。
c609-1	数詞＋助数詞	32分	9時32分。管制の無線に、3度目の声が流れた。
c609-1	§6の語（9.11）	管制	9時32分。管制の無線に、3度目の声が流れた。
