行ID	話者	文	音声記号列	読み	出どころ
c414-1		ただ報告書によれば、この試験の計算に入っていない重さがあった。	た'だ/ほーこくしょに/よれ'ば、この/しけ'んの/けーさんに/は'いっていない/おも'さが/あ'った。	ただほーこくしょによれば、このしけんのけーさんにはいっていないおもさがあった。	auto
c414-2		検査が終わったあとに足された、展示室の飾りの大理石だ。	け'んさが/おわった'あとに/たされた'、てんじ'しつの/かざりの/だいり'せきだ。	けんさがおわったあとにたされた、てんじしつのかざりのだいりせきだ。	auto
c415-1		船の後ろが沈む深さも誤って計算され、船の重さは少なく見積もられていた。	ふ'ねの/うしろが/しずむ/ふか'さも/あやま'って/けーさんされ、ふ'ねの/おも'さわ/すくな'く/みつもられていた'。	ふねのうしろがしずむふかさもあやまってけーさんされ、ふねのおもさわすくなくみつもられていた。	auto
c416-1		では、事故の前の晩。セウォル号は、どれだけの荷を積んでいたのか。	で'わ、じ'この/ま'えの/ばん。せうぉる'ごーわ、ど'れだけの/に'を/つんでいた'のか。	でわ、じこのまえのばん。せうぉるごーわ、どれだけのにをつんでいたのか。	auto
c501-1		沈む20日前のセウォル号。船首の甲板に、コンテナが積まれている。	しずむ/はつかま'えの/せうぉる'ごー。せ'んしゅの/かんぱんに、こんてなが/つまれている'。	しずむはつかまえのせうぉるごー。せんしゅのかんぱんに、こんてながつまれている。	auto
c501-2		事故の日も、そこにコンテナが2段に積まれていた。	じこの'ひも、そこに/こんてなが/に'だんに/つまれていた'。	じこのひも、そこにこんてながにだんにつまれていた。	auto
c502-1		4月15日の夜、セウォル号には、車が185台積まれていた。	しがつ'/じゅーご'にちの/よ'る、せうぉる'ごーにわ、くるまが/ひゃくはちじゅーご'だい/つまれていた'。	しがつじゅーごにちのよる、せうぉるごーにわ、くるまがひゃくはちじゅーごだいつまれていた。	auto
c502-2		トラックや乗用車、ワゴン車など。	とら'っくや/じょーよ'ーしゃ、わご'んしゃなど。	とらっくやじょーよーしゃ、わごんしゃなど。	auto
c503-1		コンテナは、長さ約2.4メートル（8フィート）の箱が60個。	こんてなわ、な'がさ/や'く/にーてんよんめ'ーとる、はちふぃ'ーとの/はこが/ろ'くじゅっこ。	こんてなわ、ながさやくにーてんよんめーとる、はちふぃーとのはこがろくじゅっこ。	auto
c503-2		約3メートル（10フィート）の箱が45個。あわせて105個だ。	や'く/さんめ'ーとる、じゅっふぃ'ーとの/はこが/よんじゅーご'こ。あわ'せて/ひゃくご'こだ。	やくさんめーとる、じゅっふぃーとのはこがよんじゅーごこ。あわせてひゃくごこだ。	auto
c504-1	q	重さにすると、どれくらい？	おも'さにすると、ど'れくらい？	おもさにすると、どれくらい？	auto
c504-2		検察と警察の合同捜査本部の資料などによれば、積み荷は約2143トン。	けんさつと/けーさつの/ごーどーそーさほ'んぶの/し'りょーなどに/よれ'ば、つみにわ/や'く/にせんひゃくよんじゅーさ'んとん。	けんさつとけーさつのごーどーそーさほんぶのしりょーなどによれば、つみにわやくにせんひゃくよんじゅーさんとん。	auto
c504-3		承認された上限は、約987トンだった。	しょーにんされた'/じょーげんわ、や'く/きゅーひゃくはちじゅーなな'とんだった。	しょーにんされたじょーげんわ、やくきゅーひゃくはちじゅーななとんだった。	auto
c505-1		上限を、1100トン以上も超えていたことになる。	じょーげんを、せんひゃく'とん/い'じょーも/こえていた'ことに/な'る。	じょーげんを、せんひゃくとんいじょーもこえていたことになる。	auto
c505-2		積んだ貨物は、上限987トンの2倍超	つんだ'/か'もつわ、じょーげん/きゅーひゃくはちじゅーなな'とんの/にばい'ちょー。	つんだかもつわ、じょーげんきゅーひゃくはちじゅーななとんのにばいちょー。	auto
c506-1		報告書の表6には、どの甲板に何を積んだかが並んでいる。	ほーこくしょの/ひょー'/ろく'にわ、ど'の/かんぱんに/な'にを/つんだ'かが/ならんでいる'。	ほーこくしょのひょーろくにわ、どのかんぱんになにをつんだかがならんでいる。	auto
c506-2		ショベルカーやフォークリフト、鉄の資材まであった。	しょべる'かーや/ふぉーくり'ふと、てつの/し'ざいまで/あ'った。	しょべるかーやふぉーくりふと、てつのしざいまであった。	auto
c507-1	q	バラストの方は？	ばら'すとのほおわ？	ばらすとのほおわ？	auto
c507-2		貨物を987トン積むなら、バラストは約1703トン。	か'もつを/きゅーひゃくはちじゅーなな'とん/つむな'ら、ばら'すとわ/やくせんななひゃくさ'んとん。	かもつをきゅーひゃくはちじゅーななとんつむなら、ばらすとわやくせんななひゃくさんとん。	auto
c507-3		それが、もう1つの条件だった。	それが、も'ー/ひと'つの/じょーけ'んだった。	それが、もーひとつのじょーけんだった。	auto
c508-1		出港のときに入っていたバラストは、約761トンだった。	しゅっこーのと'きに/は'いっていた/ばら'すとわ、や'く/ななひゃくろくじゅーい'っとんだった。	しゅっこーのときにはいっていたばらすとわ、やくななひゃくろくじゅーいっとんだった。	auto
c508-2		バラストは1703トンのはずが761トン	ばら'すとわ/せんななひゃくさ'んとんのはずが/ななひゃくろくじゅーい'っとん。	ばらすとわせんななひゃくさんとんのはずがななひゃくろくじゅーいっとん。	auto
c509-1		報告書によれば、港を出てから事故まで、バラストは調整されなかった。	ほーこくしょに/よれ'ば、みなとを/で'てから/じ'こまで、ばら'すとわ/ちょーせーされ'なかった。	ほーこくしょによれば、みなとをでてからじこまで、ばらすとわちょーせーされなかった。	auto
c509-2		1等航海士と船長は、そのまま船を走らせ続けた。	いっとーこ'ーかいしと/せ'んちょーわ、そのまま'/ふ'ねを/はしらせつずけた'。	いっとーこーかいしとせんちょーわ、そのままふねをはしらせつずけた。	auto
c510-1		荷は、揺れで動かないよう、ベルトや鎖で船に縛りつける。これを固縛という。	に'わ、ゆれで/うごか'ないよー、べるとや/くさりで/ふ'ねに/しばりつけ'る。これを/こばくと/いう。	にわ、ゆれでうごかないよー、べるとやくさりでふねにしばりつける。これをこばくという。	auto
c510-2		車のタイヤには木の止めが当てられたが、縛るベルトは基準より少なかった。	くるまの/たいやに'わ/き'の/とめが/あてら'れたが、しば'る/べるとわ/きじゅんよ'り/すくな'かった。	くるまのたいやにわきのとめがあてられたが、しばるべるとわきじゅんよりすくなかった。	auto
c511-1		乗用車は、前と後ろに2本ずつ使うはずのベルトが、1本ずつ。	じょーよ'ーしゃわ、ま'えと/うしろに/にほんず'つ/つかうはずの/べるとが、いっぽんず'つ。	じょーよーしゃわ、まえとうしろににほんずつつかうはずのべるとが、いっぽんずつ。	auto
c511-2		25トンのトラックは、10本のはずが、鎖4本だけだった。	にじゅーご'とんの/とら'っくわ、じゅ'っぽんのはずが、くさり/よ'んほんだけだった。	にじゅーごとんのとらっくわ、じゅっぽんのはずが、くさりよんほんだけだった。	auto
c511-3	q	そんなに、足りなかったんだ	そんなに'、たりな'かったんだ。	そんなに、たりなかったんだ。	auto
c512-1		霧で出港が遅れたあと、出る直前に、仮ナンバーの乗用車10台ほどが積まれた。	きりで/しゅっこーが/おくれた'あと、で'る/ちょくぜんに、かりな'んばーの/じょーよ'ーしゃ/じゅーだいほどが/つまれた'。	きりでしゅっこーがおくれたあと、でるちょくぜんに、かりなんばーのじょーよーしゃじゅーだいほどがつまれた。	auto
c512-2		この車を特に縛らないまま、船は港を出た。	この/くるまを/と'くに/しばら'ないまま、ふ'ねわ/みなとを/で'た。	このくるまをとくにしばらないまま、ふねわみなとをでた。	auto
c513-1		船首の甲板に2段に積んだコンテナは、専用の留め金を使っていなかった。	せ'んしゅの/かんぱんに/に'だんに/つんだ'/こんてなわ、せんよーの/とめがねを/つかっていな'かった。	せんしゅのかんぱんににだんにつんだこんてなわ、せんよーのとめがねをつかっていなかった。	auto
c513-2		ロープで、コンテナの隅の穴どうしをつないだだけだった。	ろ'ーぷで、こんてなの/す'みの/あなど'ーしを/つないだ'だけだった。	ろーぷで、こんてなのすみのあなどーしをつないだだけだった。	auto
c514-1		しかも、コンテナを積む場所と認められていない、下の甲板。	しか'も、こんてなを/つむ/ばしょと/みとめら'れていない、したの/かんぱん。	しかも、こんてなをつむばしょとみとめられていない、したのかんぱん。	auto
c514-2		そこに、規格の違う約2.4メートルの箱を積んでいた。	そこに、きかくの/ちがう/や'く/にーてんよんめ'ーとるの/はこを/つんでいた'。	そこに、きかくのちがうやくにーてんよんめーとるのはこをつんでいた。	auto
c514-3	q	それだと、何が困るの？	それだ'と、な'にが/こま'るの？	それだと、なにがこまるの？	auto
c515-1		箱の隅の一部が、船の留め具にきちんと留まらなかった。	はこの/す'みの/いち'ぶが、ふ'ねの/とめ'ぐに/きち'んと/とまらな'かった。	はこのすみのいちぶが、ふねのとめぐにきちんととまらなかった。	auto
c515-2		報告書は、この積み方で、船の傾きにくさ、つまり復原力を計算し直している。	ほーこくしょわ、この/つみかたで、ふ'ねの/かたむきにく'さ、つ'まり/ふくげ'んりょくを/けーさんしなお'している。	ほーこくしょわ、このつみかたで、ふねのかたむきにくさ、つまりふくげんりょくをけーさんしなおしている。	auto
c515-3		9つの項目のうち、5つは基準を満たしていた。	ここ'のつの/こーもくのうち、いつ'つわ/きじゅんを/みた'していた。	ここのつのこーもくのうち、いつつわきじゅんをみたしていた。	auto
c516-1		しかし、急に向きを変えたときの傾きなど、残る4つは基準に届かなかった。	しか'し、きゅーに/む'きを/かえた'ときの/かたむきな'ど、のこ'る/よっつ'わ/きじゅんに/とどか'なかった。	しかし、きゅーにむきをかえたときのかたむきなど、のこるよっつわきじゅんにとどかなかった。	auto
c516-2	q	つまり、急に曲がると傾きやすい？	つ'まり、きゅーに/まがる'と/かたむきやす'い？	つまり、きゅーにまがるとかたむきやすい？	auto
c516-3		そう。翌朝、セウォル号は、大きく向きを変えることになる。	そー。よくあさ、せうぉる'ごーわ、お'ーきく/む'きを/かえること'に/な'る。	そー。よくあさ、せうぉるごーわ、おーきくむきをかえることになる。	auto
c601-1		4月16日の朝。セウォル号は、チンドの近くの島々のあいだを、南へ進んでいた。	しがつ'/じゅーろく'にちの/あ'さ。せうぉる'ごーわ、ち'んどの/ち'かくの/しま'じまの/あいだを、みなみえ/すすんでいた'。	しがつじゅーろくにちのあさ。せうぉるごーわ、ちんどのちかくのしまじまのあいだを、みなみえすすんでいた。	auto
c601-2		メンゴル水道と呼ばれる海の道だ。	めんごるす'いどーと/よばれ'る/う'みの/みちだ。	めんごるすいどーとよばれるうみのみちだ。	auto
c602-1	q	誰が、船を動かしてたの？	だ'れが、ふ'ねを/うごかして'たの？	だれが、ふねをうごかしてたの？	auto
c602-2		操舵室で当直をしていたのは、3等航海士と操舵手の2人。	そーだ'しつで/とーちょくをしていた'のわ、さんとーこ'ーかいしと/そーだ'しゅの/ふたり'。	そーだしつでとーちょくをしていたのわ、さんとーこーかいしとそーだしゅのふたり。	auto
c602-3		操舵手とは、航海士の指示を受けて、舵を回す係だ。	そーだ'しゅとわ、こーかい'しの/し'じを/う'けて、か'じを/まわす/か'かりだ。	そーだしゅとわ、こーかいしのしじをうけて、かじをまわすかかりだ。	auto
c603-1		報告書によれば、3等航海士が南へ向かってこの水道を通るのは、初めてだった。	ほーこくしょに/よれ'ば、さんとーこ'ーかいしが/みなみえ/むかって/この/すいどーを/と'ーるのわ、はじ'めてだった。	ほーこくしょによれば、さんとーこーかいしがみなみえむかってこのすいどーをとーるのわ、はじめてだった。	auto
c603-2		船長は、事故の10分あまり前に、操舵室を離れていた。	せ'んちょーわ、じ'この/じゅっぷんあまりま'えに、そーだ'しつを/はな'れていた。	せんちょーわ、じこのじゅっぷんあまりまえに、そーだしつをはなれていた。	auto
c604-1		8時46分、1回目の変針。変針とは、船の進む向きを変えることだ。	はち'じ/よんじゅーろ'っぷん、いっかいめの/へんしん。へんしんと'わ、ふ'ねの/すすむ/む'きを/かえること'だ。	はちじよんじゅーろっぷん、いっかいめのへんしん。へんしんとわ、ふねのすすむむきをかえることだ。	auto
c604-2		右に見えるピョンプンドまでは、約1.7キロ（0.9マイル）だった。	みぎに/みえ'る/ぴょんぷ'んどまでわ、や'く/いってんなな'きろ、れーてんきゅーま'いるだった。	みぎにみえるぴょんぷんどまでわ、やくいってんななきろ、れーてんきゅーまいるだった。	auto
c605-1		3等航海士は、前任の船長の指針どおり、大きな舵を避けていた。	さんとーこ'ーかいしわ、ぜんにんの/せ'んちょーの/ししんど'ーり、お'ーきな/か'じを/さ'けていた。	さんとーこーかいしわ、ぜんにんのせんちょーのししんどーり、おーきなかじをさけていた。	auto
c605-2		向きを変えるのは、5度以内ずつ、2回に分けて。	む'きを/かえる'のわ、ご'ど/いないず'つ、にか'いに/わ'けて。	むきをかえるのわ、ごどいないずつ、にかいにわけて。	auto
c605-3	q	少しずつ、曲げてたってこと？	すこしず'つ、まげて/た'ってこと？	すこしずつ、まげてたってこと？	auto
c606-1		そう。2回目は、南東より少し南の、145度へ。	そー。にかいめわ、なんとーよ'り/すこ'し/みなみの、ひゃくよんじゅーご'どえ。	そー。にかいめわ、なんとーよりすこしみなみの、ひゃくよんじゅーごどえ。	auto
c606-2		報告書の中でも、その時刻は8時48分と8時49分の2通りだ。	ほーこくしょのな'かでも、その/じ'こくわ/はち'じ/よんじゅーは'っぷんと/はち'じ/よんじゅーきゅ'ーふんの/ふたと'ーりだ。	ほーこくしょのなかでも、そのじこくわはちじよんじゅーはっぷんとはちじよんじゅーきゅーふんのふたとーりだ。	auto
c607-1		報告書の注には、そのとき操舵手が口にした言葉が残っている。	ほーこくしょの/ちゅーに'わ、そのと'き/そーだ'しゅが/くちにした'/ことば'が/のこ'っている。	ほーこくしょのちゅーにわ、そのときそーだしゅがくちにしたことばがのこっている。	auto
c607-2		変針の指示の数秒後、操舵手「あ、舵が」	へんしんの/し'じの/すーびょーご'、そーだ'しゅ/あ'、か'じが。	へんしんのしじのすーびょーご、そーだしゅあ、かじが。	auto
c608-1		船は左へ大きく傾き、船首が右へ大きく回り始めた。	ふ'ねわ/ひだりえ/お'ーきく/かたむき、せ'んしゅが/みぎえ/お'ーきく/まわりはじ'めた。	ふねわひだりえおーきくかたむき、せんしゅがみぎえおーきくまわりはじめた。	auto
c608-2		3等航海士は、舵を左に使うよう指示した。それでも、船は右へ回り続けた。	さんとーこ'ーかいしわ、か'じを/ひだりに/つかうよ'ー/し'じした。それで'も、ふ'ねわ/みぎえ/まわりつずけた'。	さんとーこーかいしわ、かじをひだりにつかうよーしじした。それでも、ふねわみぎえまわりつずけた。	auto
c609-1		航跡とは、船の通った跡だ。	こーせきと'わ、ふ'ねの/と'ーった/あ'とだ。	こーせきとわ、ふねのとーったあとだ。	auto
c609-2		報告書の航跡では、8時49分13秒からの43秒で、右へ約79度も回った。	ほーこくしょの/こーせきで'わ、はち'じ/よんじゅーきゅ'ーふん/じゅーさ'んびょーからの/よんじゅーさ'んびょーで、みぎえ/や'く/ななじゅーきゅ'ーども/まわった'。	ほーこくしょのこーせきでわ、はちじよんじゅーきゅーふんじゅーさんびょーからのよんじゅーさんびょーで、みぎえやくななじゅーきゅーどもまわった。	auto
c610-1		速さは、時速約31キロから、約19キロに落ちた。	はや'さわ、じそく/や'く/さんじゅーいち'きろから、やくじゅーきゅ'ーきろに/お'ちた。	はやさわ、じそくやくさんじゅーいちきろから、やくじゅーきゅーきろにおちた。	auto
c610-2		1分にも満たないあいだの出来事だった。	い'っぷんにも/みた'ない/あいだの/でき'ごとだった。	いっぷんにもみたないあいだのできごとだった。	auto
c610-3	q	あっという間だね	あっとゆうまだね。	あっとゆうまだね。	auto
c611-1		場所は、メンゴル水道を抜けた先だった。	ばしょわ、めんごるす'いどーを/ぬけた'/さきだ'った。	ばしょわ、めんごるすいどーをぬけたさきだった。	auto
c611-2		ピョンプンドの北東、約2.4キロ（1.3マイル）の海である。	ぴょんぷ'んどの/ほくとー、や'く/にーてんよ'んきろ、いってんさんま'いるの/う'みである。	ぴょんぷんどのほくとー、やくにーてんよんきろ、いってんさんまいるのうみである。	auto
c612-1		8時50分ごろ。船は左へ、15度から20度ほど傾いた。	はち'じ/ごじゅっぷんご'ろ。ふ'ねわ/ひだりえ、じゅーご'どから/にじゅーどほど/かたむ'いた。	はちじごじゅっぷんごろ。ふねわひだりえ、じゅーごどからにじゅーどほどかたむいた。	auto
c612-2		報告書の推定では、8時50分33秒に約30度。	ほーこくしょの/すいてーで'わ、はち'じ/ごじゅ'っぷん/さんじゅーさ'んびょーに/や'く/さんじゅ'ーど。	ほーこくしょのすいてーでわ、はちじごじゅっぷんさんじゅーさんびょーにやくさんじゅーど。	auto
c612-3		船首の甲板のコンテナが、海へ落ちた。	せ'んしゅの/かんぱんの/こんてなが、う'みえ/お'ちた。	せんしゅのかんぱんのこんてなが、うみえおちた。	auto
c613-1		うまく縛られていなかった荷が、一方へ寄った。	うま'く/しばられていな'かった/に'が、いっぽ'ーえ/よった'。	うまくしばられていなかったにが、いっぽーえよった。	auto
c613-2		傾きは、さらに大きくなった。	かたむきわ、さ'らに/お'ーきくなった。	かたむきわ、さらにおーきくなった。	auto
c614-1		判決によれば、8時52分。船は、左に傾いたまま、動きを止めた。	はんけつに/よれ'ば、はち'じ/ごじゅーに'ふん。ふ'ねわ、ひだりに/かたむ'いたまま、うごき'を/とめた'。	はんけつによれば、はちじごじゅーにふん。ふねわ、ひだりにかたむいたまま、うごきをとめた。	auto
c615-1	q	なんで、急に曲がったの？	な'んで、きゅーに/まが'ったの？	なんで、きゅーにまがったの？	auto
c615-2		操舵手が舵を切りすぎたのか。舵の装置が故障したのか。	そーだ'しゅが/か'じを/きりす'ぎたのか。か'じの/そ'ーちが/こしょーした'のか。	そーだしゅがかじをきりすぎたのか。かじのそーちがこしょーしたのか。	auto
c615-3		その答えは、12年たった今も決まっていない。	その/こた'えわ、じゅーに'ねん/たったい'まも/きまっていな'い。	そのこたえわ、じゅーにねんたったいまもきまっていない。	auto
c616-1		その話は、あとの章で見る。先に、もう1つの問いに向かう。	その/はなし'わ、あ'との/しょ'ーで/み'る。さきに、も'ー/ひと'つの/といに/むかう。	そのはなしわ、あとのしょーでみる。さきに、もーひとつのといにむかう。	auto
c616-2		止まった船の中で、何が起きていたのか。	とまった'/ふ'ねのなかで、な'にが/お'きていたのか。	とまったふねのなかで、なにがおきていたのか。	auto
c701-1		報告書では、8時52分。乗客の生徒が携帯電話で、119番に通報した。	ほーこくしょで'わ、はち'じ/ごじゅーに'ふん。じょーきゃくの/せ'ーとが/けーたいで'んわで、ひゃくじゅーきゅ'ーばんに/つーほーした'。	ほーこくしょでわ、はちじごじゅーにふん。じょーきゃくのせーとがけーたいでんわで、ひゃくじゅーきゅーばんにつーほーした。	auto
c701-2		船の異変が、外へ知らされた最初の電話だった。	ふ'ねの/いへんが、そ'とえ/しらされた'/さいしょの/でんわだ'った。	ふねのいへんが、そとえしらされたさいしょのでんわだった。	auto
c702-1	q	そのころ、船長たちは？	そのこ'ろ、せ'んちょーたちわ？	そのころ、せんちょーたちわ？	auto
c702-2		船長のイ・ジュンソクと、船を操る甲板部の船員たちが、操舵室に集まってきた。	せ'んちょーの/いじゅ'んそくと、ふ'ねを/あやつ'る/かんぱ'んぶの/せんい'んたちが、そーだ'しつに/あつま'ってきた。	せんちょーのいじゅんそくと、ふねをあやつるかんぱんぶのせんいんたちが、そーだしつにあつまってきた。	auto
c703-1		8時55分。1等航海士が、無線でチェジュの海上交通管制センターに助けを求めた。	はち'じ/ごじゅーご'ふん。いっとーこ'ーかいしが、むせんで/ちぇ'じゅの/かいじょーこーつーかんせーせ'んたーに/たすけ'を/もと'めた。	はちじごじゅーごふん。いっとーこーかいしが、むせんでちぇじゅのかいじょーこーつーかんせーせんたーにたすけをもとめた。	auto
c703-2		「本船、危険です。今、船が倒れます」	ほ'んせん、きけんで'す。い'ま、ふ'ねが/たおれま'す。	ほんせん、きけんです。いま、ふねがたおれます。	auto
c704-1		報告書によれば、8時56分。乗務員が自分の判断で、最初の放送をした。	ほーこくしょに/よれ'ば、はち'じ/ごじゅーろ'っぷん。じょーむ'いんが/じぶんの/は'んだんで、さいしょの/ほーそーをした'。	ほーこくしょによれば、はちじごじゅーろっぷん。じょーむいんがじぶんのはんだんで、さいしょのほーそーをした。	auto
c704-2		乗客を落ち着かせるため、今いる場所で待て、という内容だった。	じょーきゃくを/おちつかせ'るため、い'ま/いる/ばしょで/ま'て、と/いう/ないよーだ'った。	じょーきゃくをおちつかせるため、いまいるばしょでまて、というないよーだった。	auto
c705-1		判決によれば、8時58分。船長は2等航海士に、ある放送を指示した。	はんけつに/よれ'ば、はち'じ/ごじゅーは'っぷん。せ'んちょーわ/にとーこ'ーかいしに、あ'る/ほーそーを/し'じした。	はんけつによれば、はちじごじゅーはっぷん。せんちょーわにとーこーかいしに、あるほーそーをしじした。	auto
c705-2		乗客に救命胴衣を着せて、その場で待機させよ、という趣旨だった。	じょーきゃくに/きゅーめーど'ーいを/きせて、その/ばで/たいきさせ'よ、と/いう/しゅ'しだった。	じょーきゃくにきゅーめーどーいをきせて、そのばでたいきさせよ、というしゅしだった。	auto
c706-1		判決は、このときの船長の指示を、こう認めている。	はんけつわ、このと'きの/せ'んちょーの/し'じを、こー/みとめている'。	はんけつわ、このときのせんちょーのしじを、こーみとめている。	auto
c706-2		船長が指示したのは「待機」の放送だけ	せ'んちょーが/し'じしたのわ/た'いきの/ほーそーだけ。	せんちょーがしじしたのわたいきのほーそーだけ。	auto
c707-1	q	つまり、逃がす準備はなし？	つ'まり、にが'す/じゅ'んびわ/な'し？	つまり、にがすじゅんびわなし？	auto
c707-2		判決の12頁。8時58分の指示に、退船の準備は入っていなかった。	はんけつの/じゅーにぺ'ーじ。はち'じ/ごじゅーは'っぷんの/し'じに、たいせんの/じゅ'んびわ/は'いっていなかった。	はんけつのじゅーにぺーじ。はちじごじゅーはっぷんのしじに、たいせんのじゅんびわはいっていなかった。	auto
c708-1		待機の放送が始まった時刻は、記録の中で3つに分かれる。	た'いきの/ほーそーが/はじまった'/じ'こくわ、きろくのな'かで/みっつ'に/わかれ'る。	たいきのほーそーがはじまったじこくわ、きろくのなかでみっつにわかれる。	auto
c708-2		8時52分、8時56分、8時58分だ。	はち'じ/ごじゅーに'ふん、はち'じ/ごじゅーろ'っぷん、はち'じ/ごじゅーは'っぷんだ。	はちじごじゅーにふん、はちじごじゅーろっぷん、はちじごじゅーはっぷんだ。	auto
c709-1		3階の案内デスクの乗務員たちは、詳しい事情を知らないまま、放送した。	さんがいの/あんないで'すくの/じょーむ'いんたちわ、くわし'い/じじょーを/しらな'いまま、ほーそーした'。	さんがいのあんないですくのじょーむいんたちわ、くわしいじじょーをしらないまま、ほーそーした。	auto
c709-2		今いる場所から絶対に動かず、その場で待て、という趣旨だった。	い'ま/いる/ばしょから'/ぜったいに/うごか'ず、その/ばで/ま'て、と/いう/しゅ'しだった。	いまいるばしょからぜったいにうごかず、そのばでまて、というしゅしだった。	auto
c710-1	q	つまり、ただ待て、と？	つ'まり、た'だ/ま'て、と？	つまり、ただまて、と？	auto
c710-2		沈みかけていることも、助けがどう来るかも、説明はなかった。	しずみか'けていることも、たすけ'が/ど'ー/く'るかも、せつめーわ/な'かった。	しずみかけていることも、たすけがどーくるかも、せつめーわなかった。	auto
c710-3		乗務員たちは操舵室からの次の指示を待ちながら、同じ放送をくり返した。	じょーむ'いんたちわ/そーだ'しつからの/つぎ'の/し'じを/まちな'がら、おなじ/ほーそーを/くりかえした'。	じょーむいんたちわそーだしつからのつぎのしじをまちながら、おなじほーそーをくりかえした。	auto
c711-1		報告書に時刻つきで残る放送は、8時56分、9時10分、9時30分、9時50分。	ほーこくしょに/じこくつきで/のこ'る/ほーそーわ、はち'じ/ごじゅーろ'っぷん、く'じ/じゅ'っぷん、く'じ/さんじゅ'っぷん、く'じ/ごじゅ'っぷん。	ほーこくしょにじこくつきでのこるほーそーわ、はちじごじゅーろっぷん、くじじゅっぷん、くじさんじゅっぷん、くじごじゅっぷん。	auto
c711-2		そのほかに、助けが来るという放送も何回か流れた。	その'ほかに、たすけ'が/く'ると/いう/ほーそーも/な'んかいか/なが'れた。	そのほかに、たすけがくるというほーそーもなんかいかながれた。	auto
c712-1	q	そのあいだ、船員たちは？	その/あいだ、せんい'んたちわ？	そのあいだ、せんいんたちわ？	auto
c712-2		判決によれば、甲板部は、操舵室にとどまったままだった。	はんけつに/よれ'ば、かんぱ'んぶわ、そーだ'しつに/とどま'ったままだった。	はんけつによれば、かんぱんぶわ、そーだしつにとどまったままだった。	auto
c712-3		エンジン係の機関部は、乗客の待機を知りながら、自分たちが逃げる備えだけをした。	えんじんが'かりの/きかん'ぶわ、じょーきゃくの/た'いきを/しりな'がら、じぶ'んたちが/にげ'る/そなえ'だけをした。	えんじんがかりのきかんぶわ、じょーきゃくのたいきをしりながら、じぶんたちがにげるそなえだけをした。	auto
c713-1		機関部は、救命いかだもシューターも下ろさなかった。	きかん'ぶわ、きゅーめーい'かだも/しゅ'ーたーも/おろさ'なかった。	きかんぶわ、きゅーめーいかだもしゅーたーもおろさなかった。	auto
c713-2		乗客を、助けを受けやすい甲板へ導くこともなかった。	じょーきゃくを、たすけ'を/うけやす'い/かんぱんえ/みちび'くことも/な'かった。	じょーきゃくを、たすけをうけやすいかんぱんえみちびくこともなかった。	auto
c714-1		判決は、船の傾きとエンジンの停止を挙げて、こう書く。	はんけつわ、ふ'ねの/かたむきと/え'んじんの/てーしを/あげて、こー/か'く。	はんけつわ、ふねのかたむきとえんじんのてーしをあげて、こーかく。	auto
c714-2		8時58分、乗客は自分で甲板に出られた	はち'じ/ごじゅーは'っぷん、じょーきゃくわ/じぶんで/かんぱんに/でら'れた。	はちじごじゅーはっぷん、じょーきゃくわじぶんでかんぱんにでられた。	auto
c715-1	q	じゃあ、なぜ船内に？	じゃ'ー、な'ぜ/せ'んないに？	じゃー、なぜせんないに？	auto
c715-2		待機の放送が、くり返されていたからだ。	た'いきの/ほーそーが、くりかえされていた'/からだ。	たいきのほーそーが、くりかえされていたからだ。	auto
c716-1		この日は晴れて、波は穏やかだった。	この'ひわ/は'れて、なみ'わ/おだ'やかだった。	このひわはれて、なみわおだやかだった。	auto
c716-2		助けの船が近いうちに着くことも、交信から十分に予想できた。	たすけ'の/ふ'ねが/ちか'いうちに/つ'くことも、こーしんから'/じゅーぶ'んに/よそー/で'きた。	たすけのふねがちかいうちにつくことも、こーしんからじゅーぶんによそーできた。	auto
c717-1		だから船員たちは、乗客が安全に船を出られるよう、準備をしておくべきだった。	だ'から/せんい'んたちわ、じょーきゃくが/あんぜんに/ふ'ねを/でられ'るよー、じゅ'んびをしておくべきだった。	だからせんいんたちわ、じょーきゃくがあんぜんにふねをでられるよー、じゅんびをしておくべきだった。	auto
c717-2		判決は、そう述べている。	はんけつわ、そー/の'べている。	はんけつわ、そーのべている。	auto
c718-1		けれども、船内の放送は「待機」のまま変わらなかった。	け'れども、せ'んないの/ほーそーわ/た'いきのまま/かわらな'かった。	けれども、せんないのほーそーわたいきのままかわらなかった。	auto
c718-2	q	操舵室のほうは？	そーだ'しつのほーわ？	そーだしつのほーわ？	auto
c718-3		無線に、外からの呼びかけが続いていた。	むせんに、そ'とからの/よびかけが/つずいていた'。	むせんに、そとからのよびかけがつずいていた。	auto
c801-1		9時6分。チンドの海上交通管制センターが、無線でセウォル号を呼んだ。	く'じ/ろ'っぷん。ち'んどの/かいじょーこーつーかんせーせ'んたーが、むせんで/せうぉる'ごーを/よんだ'。	くじろっぷん。ちんどのかいじょーこーつーかんせーせんたーが、むせんでせうぉるごーをよんだ。	auto
c801-2		船は沈みかけているのか、と尋ねた。	ふ'ねわ/しずみか'けているのか、と/たず'ねた。	ふねわしずみかけているのか、とたずねた。	auto
c802-1	q	管制センターって？	かんせーせ'んたーって？	かんせーせんたーって？	auto
